,HomeTeam,Score,AwayTeam,Date,Ground
0,Italy,20 - 21,Scotland,22 Feb 2014,"Stadio Olimpico Rome, Italy"
1,Italy,13 - 6,Scotland,17 Mar 2012,"Stadio Olimpico Rome, Italy"
2,Italy,16 - 12,Scotland,27 Feb 2010,"Stadio Flaminio Rome, Italy"
3,Italy,23 - 20,Scotland,15 Mar 2008,"Stadio Flaminio Rome, Italy"
4,Italy,10 - 13,Scotland,18 Mar 2006,"Stadio Flaminio Rome, Italy"
5,Italy,20 - 14,Scotland,06 Mar 2004,"Stadio Flaminio Rome, Italy"
6,Italy,12 - 29,Scotland,16 Feb 2002,"Stadio Flaminio Rome, Italy"
7,Italy,34 - 20,Scotland,05 Feb 2000,"Stadio Flaminio Rome, Italy"
8,Italy,25 - 21,Scotland,24 Jan 1998,"Stadio di Monigo Treviso, Italy"
9,Italy,12 - 16,Scotland,22 Aug 2015,
10,Italy,20 - 36,Scotland,27 Feb 2016,
11,Italy,27 - 29,Scotland,17 Mar 2018,
12,Italy,13 - 34,Scotland,10 Jun 2017,
13,Scotland,30 - 29,Italy,22 Jun 2013,
14,Scotland,34 - 10,Italy,09 Feb 2013,"Murrayfield Edinburgh, Scotland"
15,Scotland,23 - 12,Italy,20 Aug 2011,"Murrayfield Edinburgh, Scotland"
16,Scotland,21 - 8,Italy,19 Mar 2011,"Murrayfield Edinburgh, Scotland"
17,Scotland,26 - 6,Italy,28 Feb 2009,"Murrayfield Edinburgh, Scotland"
18,Scotland,18 - 16,Italy,29 Sep 2007,"Stade Geoffroy-Guichard St Etienne, France"
19,Scotland,17 - 37,Italy,24 Feb 2007,"Murrayfield Edinburgh, Scotland"
20,Scotland,18 - 10,Italy,26 Feb 2005,"Murrayfield Edinburgh, Scotland"
21,Scotland,47 - 15,Italy,23 Aug 2003,"Murrayfield Edinburgh, Scotland"
22,Scotland,33 - 25,Italy,29 Mar 2003,"Murrayfield Edinburgh, Scotland"
23,Scotland,23 - 19,Italy,17 Mar 2001,"Murrayfield Edinburgh, Scotland"
24,Scotland,30 - 12,Italy,06 Mar 1999,"Murrayfield Edinburgh, Scotland"
25,Scotland,29 - 22,Italy,14 Dec 1996,"Murrayfield Edinburgh, Scotland"
26,Scotland,19 - 22,Italy,28 Feb 2015,
27,Scotland,48 - 7,Italy,29 Aug 2015,
28,Scotland,29 - 0,Italy,18 Mar 2017,
