,File,Date,Matchup,Home,Away,HScore,AScore,Highest +/-,+/- (Optional),Team (Optional)
0,[2017-10-18]-0021700006-PHI@WAS.csv,2017-10-18,PHI@WAS,WAS,PHI,,,,,
1,[2017-10-18]-0021700008-NOP@MEM.csv,2017-10-18,NOP@MEM,MEM,NOP,,,,,
2,[2017-10-23]-0021700042-ATL@MIA.csv,2017-10-23,ATL@MIA,MIA,ATL,,,,,
3,[2017-10-23]-0021700046-TOR@SAS.csv,2017-10-23,TOR@SAS,SAS,TOR,,,,,
4,[2017-10-24]-0021700053-NOP@POR.csv,2017-10-24,NOP@POR,POR,NOP,,,,,
5,[2017-10-25]-0021700058-CLE@BKN.csv,2017-10-25,CLE@BKN,BKN,CLE,,,,,
6,[2017-10-25]-0021700061-MEM@DAL.csv,2017-10-25,MEM@DAL,DAL,MEM,,,,,
7,[2017-10-26]-0021700066-DAL@MEM.csv,2017-10-26,DAL@MEM,MEM,DAL,,,,,
8,[2017-10-29]-0021700087-DEN@BKN.csv,2017-10-29,DEN@BKN,BKN,DEN,,,,,
9,[2017-10-30]-0021700095-PHI@HOU.csv,2017-10-30,PHI@HOU,HOU,PHI,,,,,
10,[2017-10-30]-0021700097-ORL@NOP.csv,2017-10-30,ORL@NOP,NOP,ORL,,,,,
11,[2017-11-01]-0021700105-MIL@CHA.csv,2017-11-01,MIL@CHA,CHA,MIL,,,,,
12,[2017-11-03]-0021700130-BKN@LAL.csv,2017-11-03,BKN@LAL,LAL,BKN,,,,,
13,[2017-11-05]-0021700141-PHX@SAS.csv,2017-11-05,PHX@SAS,SAS,PHX,,,,,
14,[2017-11-07]-0021700152-CHA@NYK.csv,2017-11-07,CHA@NYK,NYK,CHA,,,,,
15,[2017-11-08]-0021700161-LAL@BOS.csv,2017-11-08,LAL@BOS,BOS,LAL,,,,,
16,[2017-11-09]-0021700164-LAL@WAS.csv,2017-11-09,LAL@WAS,WAS,LAL,,,,,
17,[2017-11-09]-0021700165-NOP@TOR.csv,2017-11-09,NOP@TOR,TOR,NOP,,,,,
