game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Anthony Davis,Marc Gasol,,,,,,,Marc Gasol,,JaMychal Green,,,,jump ball,,,,,,Jump Ball Gasol vs. Davis: Tip to Green
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,0,3,00:11:41,00:00:19,00:00:19,7,MEM,shot,JaMychal Green,,,,,,,,,James Ennis III,3,,,made,,Jump Shot,23,231,14,48.1,87.6,Ennis III  3PT Jump Shot (3 PTS) (Green 1 AST)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,2,3,00:11:22,00:00:38,00:00:19,9,NOP,shot,E'Twaun Moore,,,,,,,,,Anthony Davis,2,,,made,,Driving Hook Shot,9,-38,78,28.8,12.8,Davis 9' Driving Hook Shot (2 PTS) (Moore 1 AST)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,2,3,00:11:02,00:00:58,00:00:20,13,MEM,foul,,,,,,,,DeMarcus Cousins,,JaMychal Green,,,p.foul,,,p.foul,,,,,,Green P.FOUL (P1.T1) (S.Corbin)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,2,3,00:11:01,00:00:59,00:00:01,11,MEM,miss,,,,DeMarcus Cousins,,,,,,JaMychal Green,0,,,missed,,unknown,3,-4,31,24.6,85.9,"Cousins BLOCK (1 BLK), MISS Green 3' Driving Layup"
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,2,3,00:11:01,00:00:59,00:00:00,15,NOP,rebound,,,,,,,,,,DeMarcus Cousins,,,,,,rebound defensive,,,,,,Cousins REBOUND (Off:0 Def:1)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,2,3,00:10:45,00:01:15,00:00:16,16,NOP,miss,,,,,,,,,,Anthony Davis,0,,,missed,,Fadeaway Jumper,18,-158,83,40.8,13.3,MISS Davis 18' Fadeaway Jumper
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,2,3,00:10:42,00:01:18,00:00:03,17,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,2,3,00:10:39,00:01:21,00:00:03,18,NOP,foul,,,,,,,,Mike Conley,,Jrue Holiday,,,s.foul,,,s.foul,,,,,,Holiday S.FOUL (P1.T1) (S.Twardoski)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,2,4,00:10:39,00:01:21,00:00:00,20,MEM,free throw,,,,,,,1,,2,Mike Conley,1,,,made,,Free Throw 1 of 2,,,,,,Conley Free Throw 1 of 2 (1 PTS)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,2,5,00:10:39,00:01:21,00:00:00,21,MEM,free throw,,,,,,,2,,2,Mike Conley,1,,,made,,Free Throw 2 of 2,,,,,,Conley Free Throw 2 of 2 (2 PTS)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,2,5,00:10:28,00:01:32,00:00:11,22,MEM,foul,,,,,,,,DeMarcus Cousins,,Marc Gasol,,,s.foul,,,s.foul,,,,,,Gasol S.FOUL (P1.T2) (S.Twardoski)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,3,5,00:10:28,00:01:32,00:00:00,24,NOP,free throw,,,,,,,1,,2,DeMarcus Cousins,1,,,made,,Free Throw 1 of 2,,,,,,Cousins Free Throw 1 of 2 (1 PTS)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,4,5,00:10:28,00:01:32,00:00:00,25,NOP,free throw,,,,,,,2,,2,DeMarcus Cousins,1,,,made,,Free Throw 2 of 2,,,,,,Cousins Free Throw 2 of 2 (2 PTS)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,4,5,00:10:17,00:01:43,00:00:11,26,MEM,turnover,,,,,,,,,,Marc Gasol,,,traveling ,,,traveling ,,,,,,Gasol Traveling Turnover (P1.T1)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,7,5,00:10:04,00:01:56,00:00:13,27,NOP,shot,Jrue Holiday,,,,,,,,,DeMarcus Cousins,3,,,made,,Jump Shot,26,117,236,13.3,28.6,Cousins 26' 3PT Jump Shot (5 PTS) (Holiday 1 AST)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,7,5,00:09:43,00:02:17,00:00:21,29,NOP,foul,,,,,,,,Marc Gasol,,Anthony Davis,,,p.foul,,,p.foul,,,,,,Davis P.FOUL (P1.T2) (G.Zielinski)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,7,5,00:09:31,00:02:29,00:00:12,31,MEM,miss,,,,,,,,,,Andrew Harrison,0,,,missed,,Pullup Jump Shot,22,-109,194,14.1,69.6,MISS Harrison 22' Pullup Jump Shot
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,7,5,00:09:27,00:02:33,00:00:04,32,NOP,rebound,,,,,,,,,,Dante Cunningham,,,,,,rebound defensive,,,,,,Cunningham REBOUND (Off:0 Def:1)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,7,5,00:09:22,00:02:38,00:00:05,33,NOP,miss,,,,,,,,,,Dante Cunningham,0,,,missed,,Running Jump Shot,26,-104,238,35.4,28.8,MISS Cunningham 26' 3PT Running Jump Shot
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,7,5,00:09:17,00:02:43,00:00:05,34,MEM,rebound,,,,,,,,,,Andrew Harrison,,,,,,rebound defensive,,,,,,Harrison REBOUND (Off:0 Def:1)
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,7,5,00:09:14,00:02:46,00:00:03,35,MEM,miss,,,,DeMarcus Cousins,,,,,,Andrew Harrison,0,,,missed,,Running Layup,1,3,9,25.3,88.1,"Cousins BLOCK (2 BLK), MISS Harrison 1' Running Layup"
"=""0021700008""",2017-2018 Regular Season,2017-10-18,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,James Ennis III,JaMychal Green,Marc Gasol,Andrew Harrison,Mike Conley,1,7,5,00:09:14,00:02:46,00:00:00,37,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound offensive,,,,,,Gasol REBOUND (Off:1 Def:1)
