game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,4,NYK,jump ball,,Kristaps Porzingis,Steven Adams,,,,,,,Steven Adams,,Enes Kanter,,,,jump ball,,,,,,Jump Ball Adams vs. Porzingis: Tip to Kanter
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,0,00:11:46,00:00:14,00:00:14,7,OKC,foul,,,,,,,,Tim Hardaway Jr.,,Carmelo Anthony,,,p.foul,,,p.foul,,,,,,Anthony P.FOUL (P1.T1) (J.Capers)
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,0,00:11:34,00:00:26,00:00:12,9,NYK,miss,,,,,,,,,,Tim Hardaway Jr.,0,,,missed,,Step Back Jump Shot,26,135,223,11.5,27.3,MISS Hardaway Jr. 26' 3PT Step Back Jump Shot
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,0,00:11:32,00:00:28,00:00:02,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,THUNDER Rebound
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,0,00:11:20,00:00:40,00:00:12,11,OKC,miss,,,,,,,,,,Paul George,0,,,missed,,Jump Shot,23,-225,10,2.5,88.0,MISS George  3PT Jump Shot
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,0,00:11:20,00:00:40,00:00:00,29,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,Knicks Turnover: Shot Clock (T#1)
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,0,00:11:15,00:00:45,00:00:05,12,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound offensive,,,,,,Westbrook REBOUND (Off:1 Def:0)
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,3,00:11:14,00:00:46,00:00:01,13,OKC,shot,Russell Westbrook,,,,,,,,,Carmelo Anthony,3,,,made,,Jump Shot,26,114,229,36.4,66.1,Anthony 26' 3PT Jump Shot (3 PTS) (Westbrook 1 AST)
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,3,00:10:52,00:01:08,00:00:22,15,NYK,miss,,,,,,,,,,Enes Kanter,0,,,missed,,Turnaround Hook Shot,5,18,43,23.2,9.3,MISS Kanter 5' Turnaround Hook Shot
"=""0021700015""",2017-2018 Regular Season,2017-10-19,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Paul George,Carmelo Anthony,Steven Adams,Andre Roberson,Russell Westbrook,1,0,3,00:10:52,00:01:08,00:00:00,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,THUNDER Rebound
