game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
21700026,2017-2018 Regular Season,10/20/2017,Corey Brewer,Larry Nance Jr.,Brook Lopez,Brandon Ingram,Lonzo Ball,TJ Warren,Josh Jackson,Tyson Chandler,Devin Booker,Eric Bledsoe,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
21700026,2017-2018 Regular Season,10/20/2017,Corey Brewer,Larry Nance Jr.,Brook Lopez,Brandon Ingram,Lonzo Ball,TJ Warren,Josh Jackson,Tyson Chandler,Devin Booker,Eric Bledsoe,1,0,0,0:12:00,0:00:00,0:00:00,4,LAL,jump ball,,Brook Lopez,Tyson Chandler,,,,,,,Tyson Chandler,,Larry Nance Jr.,,,,jump ball,,,,,,Jump Ball Chandler vs. Lopez: Tip to Nance Jr.
21700026,2017-2018 Regular Season,10/20/2017,Corey Brewer,Larry Nance Jr.,Brook Lopez,Brandon Ingram,Lonzo Ball,TJ Warren,Josh Jackson,Tyson Chandler,Devin Booker,Eric Bledsoe,1,2,0,0:11:44,0:00:16,0:00:16,7,LAL,shot,,,,,,,,,,Brandon Ingram,2,,,made,,unknown,1,7,5,24.3,5.5,Ingram 1' Driving Layup (2 PTS)
21700026,2017-2018 Regular Season,10/20/2017,Corey Brewer,Larry Nance Jr.,Brook Lopez,Brandon Ingram,Lonzo Ball,TJ Warren,Josh Jackson,Tyson Chandler,Devin Booker,Eric Bledsoe,1,2,0,0:11:24,0:00:36,0:00:20,8,PHX,miss,,,,,,,,,,Devin Booker,0,,,missed,,Jump Bank Shot,8,-78,20,17.2,87,MISS Booker 8' Jump Bank Shot
21700026,2017-2018 Regular Season,10/20/2017,Corey Brewer,Larry Nance Jr.,Brook Lopez,Brandon Ingram,Lonzo Ball,TJ Warren,Josh Jackson,Tyson Chandler,Devin Booker,Eric Bledsoe,1,2,0,0:11:21,0:00:39,0:00:03,9,LAL,rebound,,,,,,,,,,Brook Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
21700026,2017-2018 Regular Season,10/20/2017,Corey Brewer,Larry Nance Jr.,Brook Lopez,Brandon Ingram,Lonzo Ball,TJ Warren,Josh Jackson,Tyson Chandler,Devin Booker,Eric Bledsoe,1,4,0,0:11:11,0:00:49,0:00:10,10,LAL,shot,,,,,,,,,,Brandon Ingram,2,,,made,,Floating Jump Shot,8,-38,69,28.8,11.9,Ingram 8' Floating Jump Shot (4 PTS)
21700026,2017-2018 Regular Season,10/20/2017,Corey Brewer,Larry Nance Jr.,Brook Lopez,Brandon Ingram,Lonzo Ball,TJ Warren,Josh Jackson,Tyson Chandler,Devin Booker,Eric Bledsoe,1,4,0,0:10:50,0:01:10,0:00:21,12,PHX,miss,,,,,,,,,,Josh Jackson,0,,,missed,,Driving Finger Roll Layup,1,-5,13,24.5,87.7,MISS Jackson 1' Driving Finger Roll Layup
21700026,2017-2018 Regular Season,10/20/2017,Corey Brewer,Larry Nance Jr.,Brook Lopez,Brandon Ingram,Lonzo Ball,TJ Warren,Josh Jackson,Tyson Chandler,Devin Booker,Eric Bledsoe,1,4,0,0:10:50,0:01:10,0:00:00,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Lakers Rebound
21700026,2017-2018 Regular Season,10/20/2017,Corey Brewer,Larry Nance Jr.,Brook Lopez,Brandon Ingram,Lonzo Ball,TJ Warren,Josh Jackson,Tyson Chandler,Devin Booker,Eric Bledsoe,1,6,0,0:10:38,0:01:22,0:00:12,14,LAL,shot,,,,,,,,,,Brook Lopez,2,,,made,,unknown,1,1,9,24.9,5.9,Lopez 1' Driving Layup (2 PTS)
21700026,2017-2018 Regular Season,10/20/2017,Corey Brewer,Larry Nance Jr.,Brook Lopez,Brandon Ingram,Lonzo Ball,TJ Warren,Josh Jackson,Tyson Chandler,Devin Booker,Eric Bledsoe,1,6,0,0:10:38,0:01:22,0:00:00,15,PHX,foul,,,,,,,,Brook Lopez,,Tyson Chandler,,,s.foul,,,s.foul,,,,,,Chandler S.FOUL (P1.T1) (J.Sterling)
