game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700041""",2017-2018 Regular Season,2017-10-23,JJ Redick,Robert Covington,Joel Embiid,Jerryd Bayless,Ben Simmons,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700041""",2017-2018 Regular Season,2017-10-23,JJ Redick,Robert Covington,Joel Embiid,Jerryd Bayless,Ben Simmons,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Joel Embiid,Andre Drummond,,,,,,,Andre Drummond,,Robert Covington,,,,jump ball,,,,,,Jump Ball Drummond vs. Embiid: Tip to Covington
"=""0021700041""",2017-2018 Regular Season,2017-10-23,JJ Redick,Robert Covington,Joel Embiid,Jerryd Bayless,Ben Simmons,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,00:11:31,00:00:29,00:00:29,7,PHI,miss,,,,,,,,,,Ben Simmons,0,,,missed,,Jump Shot,11,-92,58,34.2,10.8,MISS Simmons 11' Jump Shot
"=""0021700041""",2017-2018 Regular Season,2017-10-23,JJ Redick,Robert Covington,Joel Embiid,Jerryd Bayless,Ben Simmons,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,00:11:29,00:00:31,00:00:02,8,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound offensive,,,,,,Simmons REBOUND (Off:1 Def:0)
"=""0021700041""",2017-2018 Regular Season,2017-10-23,JJ Redick,Robert Covington,Joel Embiid,Jerryd Bayless,Ben Simmons,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:11:28,00:00:32,00:00:01,9,PHI,shot,Ben Simmons,,,,,,,,,Joel Embiid,2,,,made,,Layup,1,5,6,24.5,5.6,Embiid 1' Layup (2 PTS) (Simmons 1 AST)
"=""0021700041""",2017-2018 Regular Season,2017-10-23,JJ Redick,Robert Covington,Joel Embiid,Jerryd Bayless,Ben Simmons,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:11:07,00:00:53,00:00:21,12,DET,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,27,154,216,40.4,67.4,MISS Harris 27' 3PT Jump Shot
"=""0021700041""",2017-2018 Regular Season,2017-10-23,JJ Redick,Robert Covington,Joel Embiid,Jerryd Bayless,Ben Simmons,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:11:03,00:00:57,00:00:04,13,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:1 Def:1)
"=""0021700041""",2017-2018 Regular Season,2017-10-23,JJ Redick,Robert Covington,Joel Embiid,Jerryd Bayless,Ben Simmons,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:56,00:01:04,00:00:07,14,PHI,miss,,,,,,,,,,Jerryd Bayless,0,,,missed,,Floating Jump Shot,10,73,73,17.7,12.3,MISS Bayless 10' Floating Jump Shot
"=""0021700041""",2017-2018 Regular Season,2017-10-23,JJ Redick,Robert Covington,Joel Embiid,Jerryd Bayless,Ben Simmons,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:53,00:01:07,00:00:03,15,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021700041""",2017-2018 Regular Season,2017-10-23,JJ Redick,Robert Covington,Joel Embiid,Jerryd Bayless,Ben Simmons,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:43,00:01:17,00:00:10,16,DET,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Layup,4,24,27,27.4,86.3,MISS Harris 4' Layup
