game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700051""",2017-2018 Regular Season,2017-10-24,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700051""",2017-2018 Regular Season,2017-10-24,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Kristaps Porzingis,Al Horford,,,,,,,Al Horford,,Aron Baynes,,,,jump ball,,,,,,Jump Ball Horford vs. Porzingis: Tip to Baynes
"=""0021700051""",2017-2018 Regular Season,2017-10-24,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:48,00:00:12,00:00:12,7,BOS,turnover,,,,,,,,,,Al Horford,,,bad pass ,,Courtney Lee,bad pass ,,,,,,"Lee STEAL (1 STL), Horford Bad Pass Turnover (P1.T1)"
"=""0021700051""",2017-2018 Regular Season,2017-10-24,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:30,00:00:30,00:00:18,9,NYK,miss,,,,,,,,,,Kristaps Porzingis,0,,,missed,,Step Back Jump Shot,27,36,269,21.4,31.9,MISS Porzingis 27' 3PT Step Back Jump Shot
"=""0021700051""",2017-2018 Regular Season,2017-10-24,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:26,00:00:34,00:00:04,10,BOS,rebound,,,,,,,,,,Jaylen Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
"=""0021700051""",2017-2018 Regular Season,2017-10-24,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:15,00:00:45,00:00:11,11,BOS,miss,,,,,,,,,,Jayson Tatum,0,,,missed,,Jump Shot,23,-230,-22,2.0,91.2,MISS Tatum  3PT Jump Shot
"=""0021700051""",2017-2018 Regular Season,2017-10-24,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:11:12,00:00:48,00:00:03,12,NYK,rebound,,,,,,,,,,Ramon Sessions,,,,,,rebound defensive,,,,,,Sessions REBOUND (Off:0 Def:1)
"=""0021700051""",2017-2018 Regular Season,2017-10-24,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:11:06,00:00:54,00:00:06,13,NYK,shot,,,,,,,,,,Ramon Sessions,2,,,made,,Driving Hook Shot,4,3,40,24.7,9.0,Sessions 4' Driving Hook Shot (2 PTS)
"=""0021700051""",2017-2018 Regular Season,2017-10-24,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:10:48,00:01:12,00:00:18,14,BOS,miss,,,,,,,,,,Aron Baynes,0,,,missed,,Jump Bank Shot,14,127,53,37.7,83.7,MISS Baynes 14' Jump Bank Shot
"=""0021700051""",2017-2018 Regular Season,2017-10-24,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Ramon Sessions,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:10:48,00:01:12,00:00:00,15,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound offensive,,,,,,Tatum REBOUND (Off:1 Def:0)
