game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Domantas Sabonis,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Taj Gibson,,,,jump ball,,,,,,Jump Ball Towns vs. Sabonis: Tip to Gibson
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,0,0,00:11:45,00:00:15,00:00:15,7,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Jump Shot,26,98,237,34.8,65.3,MISS Wiggins 26' 3PT Jump Shot
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,0,0,00:11:42,00:00:18,00:00:03,8,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound defensive,,,,,,Sabonis REBOUND (Off:0 Def:1)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,0,0,00:11:25,00:00:35,00:00:17,9,IND,miss,,,,,,,,,,Darren Collison,0,,,missed,,Jump Shot,23,-229,-3,47.9,4.7,MISS Collison  3PT Jump Shot
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,0,0,00:11:21,00:00:39,00:00:04,10,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,0,0,00:11:18,00:00:42,00:00:03,11,MIN,miss,,,,,,,,,,Shabazz Muhammad,0,,,missed,,unknown,1,0,8,25.0,88.2,MISS Muhammad 1' Driving Layup
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,0,0,00:11:15,00:00:45,00:00:03,12,IND,rebound,,,,,,,,,,Victor Oladipo,,,,,,rebound defensive,,,,,,Oladipo REBOUND (Off:0 Def:1)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,2,0,00:11:11,00:00:49,00:00:04,13,IND,shot,,,,,,,,,,Victor Oladipo,2,,,made,,Driving Reverse Layup,1,-3,-5,25.3,4.5,Oladipo 1' Driving Reverse Layup (2 PTS)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,2,2,00:10:58,00:01:02,00:00:13,14,MIN,shot,Jeff Teague,,,,,,,,,Taj Gibson,2,,,made,,Jump Shot,14,32,141,28.2,74.9,Gibson 14' Jump Shot (2 PTS) (Teague 1 AST)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,2,2,00:10:41,00:01:19,00:00:17,16,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Layup,2,-6,17,25.6,6.7,MISS Young 2' Layup
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,2,2,00:10:36,00:01:24,00:00:05,18,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound offensive,,,,,,Sabonis REBOUND (Off:1 Def:1)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,5,2,00:10:36,00:01:24,00:00:00,19,IND,shot,Domantas Sabonis,,,,,,,,,Bojan Bogdanovic,3,,,made,,Jump Shot,26,-153,207,40.3,25.7,Bogdanovic 26' 3PT Jump Shot (3 PTS) (Sabonis 1 AST)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,5,4,00:10:14,00:01:46,00:00:22,21,MIN,shot,,,,,,,,,,Karl-Anthony Towns,2,,,made,,unknown,4,27,26,27.7,86.4,Towns 4' Driving Floating Bank Jump Shot (2 PTS)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,5,4,00:10:14,00:01:46,00:00:00,22,IND,foul,,,,,,,,Karl-Anthony Towns,,Domantas Sabonis,,,s.foul,,,s.foul,,,,,,Sabonis S.FOUL (P1.T1) (T.Brothers)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,5,5,00:10:14,00:01:46,00:00:00,24,MIN,free throw,,,,,,,1,,1,Karl-Anthony Towns,1,,,made,,Free Throw 1 of 1,,,,,,Towns Free Throw 1 of 1 (3 PTS)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,7,5,00:10:05,00:01:55,00:00:09,25,IND,shot,Darren Collison,,,,,,,,,Thaddeus Young,2,,,made,,unknown,5,-39,32,28.9,8.2,Young 5' Cutting Layup Shot (2 PTS) (Collison 1 AST)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,7,5,00:09:53,00:02:07,00:00:12,27,MIN,miss,,,,,,,,,,Jeff Teague,0,,,missed,,unknown,1,-6,5,24.4,88.5,MISS Teague 1' Driving Layup
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,7,5,00:09:50,00:02:10,00:00:03,28,IND,rebound,,,,,,,,,,Domantas Sabonis,,,,,,rebound defensive,,,,,,Sabonis REBOUND (Off:1 Def:2)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,9,5,00:09:47,00:02:13,00:00:03,29,IND,shot,Darren Collison,,,,,,,,,Victor Oladipo,2,,,made,,Alley Oop Layup,2,2,16,24.8,6.6,Oladipo 2' Alley Oop Layup (4 PTS) (Collison 2 AST)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,9,5,00:09:35,00:02:25,00:00:12,31,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Jump Shot,26,-62,248,18.8,64.2,MISS Towns 26' 3PT Jump Shot
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,9,5,00:09:33,00:02:27,00:00:02,32,IND,rebound,,,,,,,,,,Darren Collison,,,,,,rebound defensive,,,,,,Collison REBOUND (Off:0 Def:1)
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,9,5,00:09:24,00:02:36,00:00:09,33,IND,turnover,,,,,,,,,,Domantas Sabonis,,,lost ball ,,Jeff Teague,lost ball ,,,,,,"Sabonis Lost Ball Turnover (P1.T1), Teague STEAL (1 STL)"
"=""0021700052""",2017-2018 Regular Season,2017-10-24,Bojan Bogdanovic,Thaddeus Young,Domantas Sabonis,Victor Oladipo,Darren Collison,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Shabazz Muhammad,Jeff Teague,1,9,7,00:09:19,00:02:41,00:00:05,35,MIN,shot,Jeff Teague,,,,,,,,,Shabazz Muhammad,2,,,made,,Alley Oop Dunk,1,-5,11,24.5,87.9,Muhammad 1' Alley Oop Dunk (2 PTS) (Teague 2 AST)
