game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700053""",2017-2018 Regular Season,2017-10-24,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700053""",2017-2018 Regular Season,2017-10-24,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Anthony Davis,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,DeMarcus Cousins,,,,jump ball,,,,,,Jump Ball Nurkic vs. Davis: Tip to Cousins
"=""0021700053""",2017-2018 Regular Season,2017-10-24,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:46,00:00:14,00:00:14,7,POR,foul,,,,,,,,Anthony Davis,,Maurice Harkless,,,p.foul,,,p.foul,,,,,,Harkless P.FOUL (P1.T1) (M.Ayotte)
"=""0021700053""",2017-2018 Regular Season,2017-10-24,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:32,00:00:28,00:00:14,9,NOP,turnover,,,,,,,,,,Jrue Holiday,,,lost ball ,,Jusuf Nurkic,lost ball ,,,,,,"Holiday Lost Ball Turnover (P1.T1), Nurkic STEAL (1 STL)"
"=""0021700053""",2017-2018 Regular Season,2017-10-24,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:11:13,00:00:47,00:00:19,11,NOP,foul,,,,,,,,Maurice Harkless,,Dante Cunningham,,,shooting block foul,,,shooting block foul,,,,,,Cunningham Shooting Block Foul (P1.T1) (M.Ayotte)
"=""0021700053""",2017-2018 Regular Season,2017-10-24,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,1,00:11:13,00:00:47,00:00:00,13,POR,free throw,,,,,,,1,,2,Maurice Harkless,1,,,made,,Free Throw 1 of 2,,,,,,Harkless Free Throw 1 of 2 (1 PTS)
"=""0021700053""",2017-2018 Regular Season,2017-10-24,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,2,00:11:13,00:00:47,00:00:00,14,POR,free throw,,,,,,,2,,2,Maurice Harkless,1,,,made,,Free Throw 2 of 2,,,,,,Harkless Free Throw 2 of 2 (2 PTS)
"=""0021700053""",2017-2018 Regular Season,2017-10-24,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:11:06,00:00:54,00:00:07,15,NOP,shot,Jrue Holiday,,,,,,,,,DeMarcus Cousins,2,,,made,,unknown,1,-3,5,25.3,5.5,Cousins 1' Driving Layup (2 PTS) (Holiday 1 AST)
"=""0021700053""",2017-2018 Regular Season,2017-10-24,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,4,00:10:47,00:01:13,00:00:19,18,POR,shot,Al-Farouq Aminu,,,,,,,,,Jusuf Nurkic,2,,,made,,Turnaround Hook Shot,11,-61,91,18.9,79.9,Nurkic 11' Turnaround Hook Shot (2 PTS) (Aminu 1 AST)
"=""0021700053""",2017-2018 Regular Season,2017-10-24,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,4,00:10:30,00:01:30,00:00:17,20,NOP,shot,,,,,,,,,,Jrue Holiday,2,,,made,,unknown,4,33,13,21.7,6.3,Holiday 4' Driving Floating Bank Jump Shot (2 PTS)
