game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700055""",2017-2018 Regular Season,2017-10-25,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Jeremy Lamb,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700055""",2017-2018 Regular Season,2017-10-25,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Jeremy Lamb,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Paul Millsap,Dwight Howard,,,,,,,Dwight Howard,,Marvin Williams,,,,jump ball,,,,,,Jump Ball Howard vs. Millsap: Tip to Williams
"=""0021700055""",2017-2018 Regular Season,2017-10-25,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Jeremy Lamb,Kemba Walker,1,0,0,00:11:33,00:00:27,00:00:27,7,CHA,miss,,,,,,,,,,Jeremy Lamb,0,,,missed,,Jump Shot,16,-112,120,13.8,77.0,MISS Lamb 16' Jump Shot
"=""0021700055""",2017-2018 Regular Season,2017-10-25,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Jeremy Lamb,Kemba Walker,1,0,0,00:11:29,00:00:31,00:00:04,8,DEN,rebound,,,,,,,,,,Paul Millsap,,,,,,rebound defensive,,,,,,Millsap REBOUND (Off:0 Def:1)
"=""0021700055""",2017-2018 Regular Season,2017-10-25,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Jeremy Lamb,Kemba Walker,1,0,0,00:11:26,00:00:34,00:00:03,9,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,Pullup Jump Shot,25,-129,213,37.9,26.3,MISS Murray 25' 3PT Pullup Jump Shot
"=""0021700055""",2017-2018 Regular Season,2017-10-25,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Jeremy Lamb,Kemba Walker,1,0,0,00:11:22,00:00:38,00:00:04,10,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound offensive,,,,,,Jokic REBOUND (Off:1 Def:0)
"=""0021700055""",2017-2018 Regular Season,2017-10-25,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Jeremy Lamb,Kemba Walker,1,0,0,00:11:16,00:00:44,00:00:06,11,DEN,miss,,,,,,,,,,Gary Harris,0,,,missed,,Jump Shot,26,-117,232,36.7,28.2,MISS Harris 26' 3PT Jump Shot
"=""0021700055""",2017-2018 Regular Season,2017-10-25,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Jeremy Lamb,Kemba Walker,1,0,0,00:11:11,00:00:49,00:00:05,12,CHA,rebound,,,,,,,,,,Dwight Howard,,,,,,rebound defensive,,,,,,Howard REBOUND (Off:0 Def:1)
"=""0021700055""",2017-2018 Regular Season,2017-10-25,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Jeremy Lamb,Kemba Walker,1,0,0,00:11:02,00:00:58,00:00:09,13,CHA,miss,,,,,,,,,,Michael Kidd-Gilchrist,0,,,missed,,Layup,2,18,16,26.8,87.4,MISS Kidd-Gilchrist 2' Layup
"=""0021700055""",2017-2018 Regular Season,2017-10-25,Wilson Chandler,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Jeremy Lamb,Kemba Walker,1,0,0,00:10:57,00:01:03,00:00:05,14,CHA,rebound,,,,,,,,,,Dwight Howard,,,,,,rebound offensive,,,,,,Howard REBOUND (Off:1 Def:1)
