game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700065""",2017-2018 Regular Season,2017-10-26,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Malcolm Delaney,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Jerian Grant,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700065""",2017-2018 Regular Season,2017-10-26,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Malcolm Delaney,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Jerian Grant,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Dewayne Dedmon,Robin Lopez,,,,,,,Robin Lopez,,Malcolm Delaney,,,,jump ball,,,,,,Jump Ball Lopez vs. Dedmon: Tip to Delaney
"=""0021700065""",2017-2018 Regular Season,2017-10-26,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Malcolm Delaney,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Jerian Grant,1,2,0,00:11:41,00:00:19,00:00:19,8,ATL,shot,Malcolm Delaney,,,,,,,,,Dewayne Dedmon,2,,,made,,Jump Shot,15,-149,42,39.9,9.2,Dedmon 15' Jump Shot (2 PTS) (Delaney 1 AST)
"=""0021700065""",2017-2018 Regular Season,2017-10-26,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Malcolm Delaney,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Jerian Grant,1,2,3,00:11:18,00:00:42,00:00:23,10,CHI,shot,Denzel Valentine,,,,,,,,,Lauri Markkanen,3,,,made,,Jump Shot,27,-177,200,7.3,69.0,Markkanen 27' 3PT Jump Shot (3 PTS) (Valentine 1 AST)
"=""0021700065""",2017-2018 Regular Season,2017-10-26,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Malcolm Delaney,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Jerian Grant,1,2,3,00:10:52,00:01:08,00:00:26,12,ATL,miss,,,,,,,,,,Malcolm Delaney,0,,,missed,,Fadeaway Jumper,16,-147,66,39.7,11.6,MISS Delaney 16' Fadeaway Jumper
"=""0021700065""",2017-2018 Regular Season,2017-10-26,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Malcolm Delaney,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Jerian Grant,1,2,3,00:10:50,00:01:10,00:00:02,13,CHI,rebound,,,,,,,,,,Lauri Markkanen,,,,,,rebound defensive,,,,,,Markkanen REBOUND (Off:0 Def:1)
"=""0021700065""",2017-2018 Regular Season,2017-10-26,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Malcolm Delaney,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Jerian Grant,1,2,3,00:10:37,00:01:23,00:00:13,14,CHI,miss,,,,,,,,,,Lauri Markkanen,0,,,missed,,Jump Shot,26,-82,244,16.8,64.6,MISS Markkanen 26' 3PT Jump Shot
"=""0021700065""",2017-2018 Regular Season,2017-10-26,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Malcolm Delaney,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Jerian Grant,1,2,3,00:10:30,00:01:30,00:00:07,15,ATL,rebound,,,,,,,,,,Kent Bazemore,,,,,,rebound defensive,,,,,,Bazemore REBOUND (Off:0 Def:1)
"=""0021700065""",2017-2018 Regular Season,2017-10-26,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Malcolm Delaney,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Jerian Grant,1,2,3,00:10:22,00:01:38,00:00:08,16,ATL,miss,,,,,,,,,,Dewayne Dedmon,0,,,missed,,Jump Shot,18,158,78,9.2,12.8,MISS Dedmon 18' Jump Shot
"=""0021700065""",2017-2018 Regular Season,2017-10-26,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Malcolm Delaney,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Jerian Grant,1,2,3,00:10:20,00:01:40,00:00:02,17,CHI,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
