game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,DeMarcus Cousins,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Jrue Holiday,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Cousins: Tip to Holiday
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,0,00:11:38,00:00:22,00:00:22,7,NOP,shot,Jrue Holiday,,,,,,,,,DeMarcus Cousins,2,,,made,,unknown,2,-7,17,25.7,6.7,Cousins 2' Cutting Dunk Shot (2 PTS) (Holiday 1 AST)
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,0,00:11:21,00:00:39,00:00:17,9,NOP,foul,,,,,,,,,,Dante Cunningham,,,t.foul def. 3 sec,,,t.foul def. 3 sec,,,,,,Pelicans T.Foul (Def. 3 Sec Cunningham ) (S.Corbin)
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,1,00:11:21,00:00:39,00:00:00,10,SAC,free throw,,,,,,,1,,1,Buddy Hield,1,,,made,,Free Throw Technical,,,,,,Hield Free Throw Technical (1 PTS)
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,1,00:11:06,00:00:54,00:00:15,11,SAC,miss,,,,DeMarcus Cousins,,,,,,Zach Randolph,0,,,missed,,Hook Shot,6,-29,55,22.1,83.5,"Cousins BLOCK (1 BLK), MISS Randolph 6' Hook Shot"
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,1,00:11:06,00:00:54,00:00:00,12,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound offensive,,,,,,Randolph REBOUND (Off:1 Def:0)
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,1,00:11:05,00:00:55,00:00:01,51,,turnover,,,,,,,,,,,,,turnover: shot clock,,,turnover: shot clock,,,,,,KINGS Turnover: Shot Clock (T#1)
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,1,00:10:46,00:01:14,00:00:19,14,NOP,miss,,,,Zach Randolph,,,,,,DeMarcus Cousins,0,,,missed,,Jump Shot,6,-16,57,26.6,10.7,"MISS Cousins 6' Jump Shot, Randolph BLOCK (1 BLK)"
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,1,00:10:46,00:01:14,00:00:00,16,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:1 Def:1)
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,3,00:10:38,00:01:22,00:00:08,17,SAC,shot,,,,,,,,,,Buddy Hield,2,,,made,,Layup,2,-9,14,24.1,87.6,Hield 2' Layup (3 PTS)
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,3,00:10:21,00:01:39,00:00:17,18,NOP,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Jump Shot,26,-114,233,36.4,28.3,MISS Cousins 26' 3PT Jump Shot
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,3,00:10:17,00:01:43,00:00:04,19,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:1 Def:2)
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,6,00:10:12,00:01:48,00:00:05,20,SAC,shot,George Hill,,,,,,,,,Zach Randolph,3,,,made,,Jump Shot,26,89,239,33.9,65.1,Randolph 26' 3PT Jump Shot (3 PTS) (G. Hill 1 AST)
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,6,00:09:54,00:02:06,00:00:18,22,NOP,miss,,,,,,,,,,Darius Miller,0,,,missed,,Jump Shot,23,220,54,3.0,10.4,MISS Miller  3PT Jump Shot
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,6,00:09:54,00:02:06,00:00:00,23,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:1 Def:3)
"=""0021700069""",2017-2018 Regular Season,2017-10-26,Dante Cunningham,Darius Miller,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,Justin Jackson,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,1,2,9,00:09:41,00:02:19,00:00:13,24,SAC,shot,Willie Cauley-Stein,,,,,,,,,Justin Jackson,3,,,made,,Jump Shot,25,-179,174,7.1,71.6,Jackson 25' 3PT Jump Shot (3 PTS) (Cauley-Stein 1 AST)
