game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700082""",2017-2018 Regular Season,2017-10-28,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Rodney Hood,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700082""",2017-2018 Regular Season,2017-10-28,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Rodney Hood,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Brook Lopez,Rudy Gobert,,,,,,,Rudy Gobert,,Lonzo Ball,,,,jump ball,,,,,,Jump Ball Gobert vs. Lopez: Tip to Ball
"=""0021700082""",2017-2018 Regular Season,2017-10-28,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Rodney Hood,Ricky Rubio,1,0,0,00:11:46,00:00:14,00:00:14,7,UTA,foul,,,,,,,,Brook Lopez,,Ricky Rubio,,,p.foul,,,p.foul,,,,,,Rubio P.FOUL (P1.T1) (M.Lindsay)
"=""0021700082""",2017-2018 Regular Season,2017-10-28,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Rodney Hood,Ricky Rubio,1,0,0,00:11:38,00:00:22,00:00:08,9,LAL,miss,,,,,,,,,,Brandon Ingram,0,,,missed,,Pullup Jump Shot,16,-105,116,35.5,16.6,MISS Ingram 16' Pullup Jump Shot
"=""0021700082""",2017-2018 Regular Season,2017-10-28,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Rodney Hood,Ricky Rubio,1,0,0,00:11:33,00:00:27,00:00:05,10,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound defensive,,,,,,Favors REBOUND (Off:0 Def:1)
"=""0021700082""",2017-2018 Regular Season,2017-10-28,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Rodney Hood,Ricky Rubio,1,0,0,00:11:29,00:00:31,00:00:04,11,UTA,miss,,,,Brook Lopez,,,,,,Rodney Hood,0,,,missed,,unknown,3,21,18,27.1,87.2,"Lopez BLOCK (1 BLK), MISS Hood 3' Driving Layup"
"=""0021700082""",2017-2018 Regular Season,2017-10-28,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Rodney Hood,Ricky Rubio,1,0,0,00:11:29,00:00:31,00:00:00,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,JAZZ Rebound
"=""0021700082""",2017-2018 Regular Season,2017-10-28,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Rodney Hood,Ricky Rubio,1,0,2,00:11:20,00:00:40,00:00:09,15,UTA,shot,Rodney Hood,,,,,,,,,Derrick Favors,2,,,made,,Jump Shot,18,76,159,32.6,73.1,Favors 18' Jump Shot (2 PTS) (Hood 1 AST)
"=""0021700082""",2017-2018 Regular Season,2017-10-28,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Rodney Hood,Ricky Rubio,1,2,2,00:11:03,00:00:57,00:00:17,17,LAL,shot,,,,,,,,,,Brook Lopez,2,,,made,,Floating Jump Shot,9,-82,26,33.2,7.6,Lopez 9' Floating Jump Shot (2 PTS)
"=""0021700082""",2017-2018 Regular Season,2017-10-28,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Joe Ingles,Derrick Favors,Rudy Gobert,Rodney Hood,Ricky Rubio,1,2,2,00:10:48,00:01:12,00:00:15,18,UTA,miss,,,,,,,,,,Rodney Hood,0,,,missed,,Jump Shot,25,-218,113,3.2,77.7,MISS Hood 25' 3PT Jump Shot
