game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Clint Capela,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Dennis Schroder,,,,jump ball,,,,,,Jump Ball Dedmon vs. Capela: Tip to Schroder
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:11:43,00:00:17,00:00:17,7,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Jump Shot,19,105,163,35.5,72.7,MISS Prince 19' Jump Shot
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:11:40,00:00:20,00:00:03,8,HOU,rebound,,,,,,,,,,Eric Gordon,,,,,,rebound defensive,,,,,,Gordon REBOUND (Off:0 Def:1)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:11:29,00:00:31,00:00:11,9,HOU,miss,,,,,,,,,,Ryan Anderson,0,,,missed,,Jump Shot,25,163,183,8.7,23.3,MISS Anderson 25' 3PT Jump Shot
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:11:29,00:00:31,00:00:00,10,ATL,rebound,,,,,,,,,,Taurean Prince,,,,,,rebound defensive,,,,,,Prince REBOUND (Off:0 Def:1)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,2,00:11:12,00:00:48,00:00:17,11,ATL,shot,,,,,,,,,,Kent Bazemore,2,,,made,,Reverse Layup,2,14,6,26.4,88.4,Bazemore 2' Reverse Layup (2 PTS)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,2,00:10:52,00:01:08,00:00:20,12,ATL,violation,,,,,,,,,,Mike Muscala,,,,,,violation:kicked ball,,,,,,Muscala Violation:Kicked Ball (.)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,3,2,00:10:45,00:01:15,00:00:07,13,HOU,shot,James Harden,,,,,,,,,Eric Gordon,3,,,made,,Jump Shot,26,87,248,16.3,29.8,Gordon 26' 3PT Jump Shot (3 PTS) (Harden 1 AST)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,3,2,00:10:24,00:01:36,00:00:21,15,ATL,foul,,,,,,,,Eric Gordon,,Dennis Schroder,,,offensive charge foul,,,offensive charge foul,,,,,,Schroder Offensive Charge Foul (P1.T1) (S.Corbin)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,3,2,00:10:24,00:01:36,00:00:00,17,ATL,turnover,,,,,,,,,,Dennis Schroder,,,offensive foul turnover,,,offensive foul turnover,,,,,,Schroder Offensive Foul Turnover (P1.T1)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,5,2,00:10:05,00:01:55,00:00:19,18,HOU,shot,,,,,,,,,,James Harden,2,,,made,,unknown,5,-11,53,26.1,10.3,Harden 5' Driving Floating Jump Shot (2 PTS)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,5,2,00:09:54,00:02:06,00:00:11,19,ATL,miss,,,,,,,,,,Dennis Schroder,0,,,missed,,Jump Shot,26,-85,241,16.5,64.9,MISS Schroder 26' 3PT Jump Shot
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,5,2,00:09:48,00:02:12,00:00:06,20,HOU,rebound,,,,,,,,,,Ryan Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:1)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,5,2,00:09:36,00:02:24,00:00:12,21,HOU,miss,,,,,,,,,,Trevor Ariza,0,,,missed,,Jump Shot,24,-231,59,48.1,10.9,MISS Ariza 24' 3PT Jump Shot
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,5,2,00:09:31,00:02:29,00:00:05,22,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,5,4,00:09:23,00:02:37,00:00:08,23,ATL,shot,,,,,,,,,,Taurean Prince,2,,,made,,Layup,2,9,19,25.9,87.1,Prince 2' Layup (2 PTS)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,7,4,00:09:12,00:02:48,00:00:11,25,HOU,shot,Clint Capela,,,,,,,,,Trevor Ariza,2,,,made,,Dunk,1,-2,11,25.2,6.1,Ariza 1' Dunk (2 PTS) (Capela 1 AST)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,7,4,00:08:56,00:03:04,00:00:16,27,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Jump Shot,26,-106,236,14.4,65.4,MISS Prince 26' 3PT Jump Shot
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,7,4,00:08:53,00:03:07,00:00:03,28,HOU,rebound,,,,,,,,,,Ryan Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:2)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,7,4,00:08:51,00:03:09,00:00:02,29,ATL,foul,,,,,,,,Clint Capela,,Mike Muscala,,,s.foul,,,s.foul,,,,,,Muscala S.FOUL (P1.T2) (M.Lindsay)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,8,4,00:08:51,00:03:09,00:00:00,31,HOU,free throw,,,,,,,1,,2,Clint Capela,1,,,made,,Free Throw 1 of 2,,,,,,Capela Free Throw 1 of 2 (1 PTS)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,9,4,00:08:51,00:03:09,00:00:00,32,HOU,free throw,,,,,,,2,,2,Clint Capela,1,,,made,,Free Throw 2 of 2,,,,,,Capela Free Throw 2 of 2 (2 PTS)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,9,6,00:08:41,00:03:19,00:00:10,33,ATL,shot,,,,,,,,,,Dennis Schroder,2,,,made,,unknown,2,12,16,26.2,87.4,Schroder 2' Driving Layup (2 PTS)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,12,6,00:08:31,00:03:29,00:00:10,34,HOU,shot,,,,,,,,,,Eric Gordon,3,,,made,,Jump Shot,26,132,219,11.8,26.9,Gordon 26' 3PT Jump Shot (6 PTS)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,12,6,00:08:31,00:03:29,00:00:00,39,,unknown,,,,,,,,,,,,,,,,uknown,,,,,,
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,12,6,00:08:16,00:03:44,00:00:15,35,ATL,turnover,,,,,,,,,,Dennis Schroder,,,bad pass ,,Trevor Ariza,bad pass ,,,,,,"Ariza STEAL (1 STL), Schroder Bad Pass Turnover (P2.T2)"
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,12,6,00:08:13,00:03:47,00:00:03,38,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,HAWKS Timeout: Regular (Full 1 Short 0)
"=""0021700123""",2017-2018 Regular Season,2017-11-03,Trevor Ariza,Ryan Anderson,Clint Capela,Eric Gordon,James Harden,Taurean Prince,Mike Muscala,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,14,6,00:08:12,00:03:48,00:00:01,37,HOU,shot,,,,,,,,,,Trevor Ariza,2,,,made,,Running Layup,1,-13,7,26.3,5.7,Ariza 1' Running Layup (4 PTS)
