game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:12:00,00:00:00,00:00:00,4,DAL,jump ball,,Harrison Barnes,Marcin Gortat,,,,,,,Marcin Gortat,,Wesley Matthews,,,,jump ball,,,,,,Jump Ball Gortat vs. Barnes: Tip to Matthews
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,2,0,00:11:45,00:00:15,00:00:15,7,DAL,shot,Wesley Matthews,,,,,,,,,Dennis Smith Jr.,2,,,made,,Alley Oop Dunk,1,3,14,24.7,6.4,Smith Jr. 1' Alley Oop Dunk (2 PTS) (Matthews 1 AST)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,2,0,00:11:21,00:00:39,00:00:24,9,WAS,turnover,,,,,,,,,,Bradley Beal,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Beal Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,4,0,00:11:07,00:00:53,00:00:14,10,DAL,shot,Dennis Smith Jr.,,,,,,,,,Dirk Nowitzki,2,,,made,,Layup,3,29,17,22.1,6.7,Nowitzki 3' Layup (2 PTS) (Smith Jr. 1 AST)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,4,0,00:10:49,00:01:11,00:00:18,12,WAS,miss,,,,,,,,,,Markieff Morris,0,,,missed,,Jump Shot,11,107,32,35.7,85.8,MISS Mark Morris 11' Jump Shot
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,4,0,00:10:46,00:01:14,00:00:03,13,DAL,rebound,,,,,,,,,,Wesley Matthews,,,,,,rebound defensive,,,,,,Matthews REBOUND (Off:0 Def:1)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,6,0,00:10:41,00:01:19,00:00:05,14,DAL,shot,,,,,,,,,,Dennis Smith Jr.,2,,,made,,Pullup Jump Shot,16,63,143,18.7,19.3,Smith Jr. 16' Pullup Jump Shot (4 PTS)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,6,0,00:10:40,00:01:20,00:00:01,15,WAS,foul,,,,,,,,Dennis Smith Jr.,,Bradley Beal,,,s.foul,,,s.foul,,,,,,Beal S.FOUL (P1.T1) (L.Richardson)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,7,0,00:10:40,00:01:20,00:00:00,17,DAL,free throw,,,,,,,1,,1,Dennis Smith Jr.,1,,,made,,Free Throw 1 of 1,,,,,,Smith Jr. Free Throw 1 of 1 (5 PTS)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,7,2,00:10:28,00:01:32,00:00:12,18,WAS,shot,John Wall,,,,,,,,,Bradley Beal,2,,,made,,Jump Shot,21,129,164,37.9,72.6,Beal 21' Jump Shot (2 PTS) (Wall 1 AST)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,7,2,00:10:13,00:01:47,00:00:15,20,DAL,miss,,,,,,,,,,Wesley Matthews,0,,,missed,,unknown,10,-69,67,31.9,11.7,MISS Matthews 10' Driving Floating Jump Shot
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,7,2,00:10:11,00:01:49,00:00:02,21,WAS,rebound,,,,,,,,,,Otto Porter Jr.,,,,,,rebound defensive,,,,,,Porter Jr. REBOUND (Off:0 Def:1)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,7,2,00:10:06,00:01:54,00:00:05,22,WAS,miss,,,,,,,,,,Bradley Beal,0,,,missed,,Layup,2,3,21,25.3,86.9,MISS Beal 2' Layup
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,7,2,00:09:58,00:02:02,00:00:08,23,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,rebound defensive,,,,,,Nowitzki REBOUND (Off:0 Def:1)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,9,2,00:09:49,00:02:11,00:00:09,24,DAL,shot,,,,,,,,,,Dennis Smith Jr.,2,,,made,,Pullup Jump Shot,18,-68,162,31.8,21.2,Smith Jr. 18' Pullup Jump Shot (7 PTS)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,9,4,00:09:28,00:02:32,00:00:21,25,WAS,shot,,,,,,,,,,Otto Porter Jr.,2,,,made,,Turnaround Fadeaway ,14,136,6,38.6,88.4,Porter Jr. 14' Turnaround Fadeaway (2 PTS)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,9,4,00:09:09,00:02:51,00:00:19,26,DAL,turnover,,,,,,,,,,Dirk Nowitzki,,,step out of bounds turnover,,,step out of bounds turnover,,,,,,Nowitzki Step Out of Bounds Turnover (P1.T1)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,9,4,00:09:00,00:03:00,00:00:09,27,DAL,foul,,,,,,,,John Wall,,Dirk Nowitzki,,,s.foul,,,s.foul,,,,,,Nowitzki S.FOUL (P1.T1) (L.Richardson)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,9,5,00:09:00,00:03:00,00:00:00,29,WAS,free throw,,,,,,,1,,2,John Wall,1,,,made,,Free Throw 1 of 2,,,,,,Wall Free Throw 1 of 2 (1 PTS)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,9,6,00:09:00,00:03:00,00:00:00,30,WAS,free throw,,,,,,,2,,2,John Wall,1,,,made,,Free Throw 2 of 2,,,,,,Wall Free Throw 2 of 2 (2 PTS)
"=""0021700151""",2017-2018 Regular Season,2017-11-07,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Dennis Smith Jr.,Yogi Ferrell,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,9,6,00:08:41,00:03:19,00:00:19,31,DAL,miss,,,,,,,,,,Yogi Ferrell,0,,,missed,,Pullup Jump Shot,27,-107,250,35.7,30.0,MISS Ferrell 27' 3PT Pullup Jump Shot
