game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Nikola Vucevic,Alex Len,,,,,,,Alex Len,,Elfrid Payton,,,,jump ball,,,,,,Jump Ball Len vs. Vucevic: Tip to Payton
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,2,0,00:11:48,00:00:12,00:00:12,7,ORL,shot,Nikola Vucevic,,,,,,,,,Elfrid Payton,2,,,made,,unknown,2,1,19,24.9,6.9,Payton 2' Cutting Dunk Shot (2 PTS) (Vucevic 1 AST)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,2,0,00:11:24,00:00:36,00:00:24,9,ORL,foul,,,,,,,,Marquese Chriss,,Elfrid Payton,,,p.foul,,,p.foul,,,,,,Payton P.FOUL (P1.T1) (J.Van Duyne)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,2,2,00:11:17,00:00:43,00:00:07,11,PHX,shot,,,,,,,,,,Marquese Chriss,2,,,made,,unknown,1,-10,-1,24.0,89.1,Chriss 1' Driving Layup (2 PTS)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,5,2,00:11:04,00:00:56,00:00:13,12,ORL,shot,Evan Fournier,,,,,,,,,Terrence Ross,3,,,made,,Jump Shot,23,-230,-12,48.0,3.8,Ross  3PT Jump Shot (3 PTS) (Fournier 1 AST)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,5,2,00:10:51,00:01:09,00:00:13,14,PHX,turnover,,,,,,,,,,Alex Len,,,bad pass ,,Terrence Ross,bad pass ,,,,,,"Ross STEAL (1 STL), Len Bad Pass Turnover (P1.T1)"
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,7,2,00:10:47,00:01:13,00:00:04,16,ORL,shot,Terrence Ross,,,,,,,,,Nikola Vucevic,2,,,made,,Dunk,0,3,1,24.7,5.1,Vucevic  Dunk (2 PTS) (Ross 1 AST)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,7,2,00:10:46,00:01:14,00:00:01,18,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,SUNS Timeout: Regular (Full 1 Short 0)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,7,2,00:10:37,00:01:23,00:00:09,19,PHX,turnover,,,,,,,,,,Alex Len,,,bad pass ,,,bad pass ,,,,,,Len Bad Pass Turnover (P2.T2)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,7,2,00:10:25,00:01:35,00:00:12,20,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Jump Shot,12,121,17,12.9,6.7,MISS Vucevic 12' Jump Shot
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,7,2,00:10:25,00:01:35,00:00:00,21,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,SUNS Rebound
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,7,2,00:10:25,00:01:35,00:00:00,22,ORL,foul,,,,,,,,Marquese Chriss,,Aaron Gordon,,,l.b.foul,,,l.b.foul,,,,,,Gordon L.B.FOUL (P1.T2) (B.Adams)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,7,2,00:10:19,00:01:41,00:00:06,24,PHX,miss,,,,,,,,,,Devin Booker,0,,,missed,,Jump Shot,19,67,179,31.7,71.1,MISS Booker 19' Jump Shot
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,7,2,00:10:14,00:01:46,00:00:05,25,PHX,rebound,,,,,,,,,,Marquese Chriss,,,,,,rebound offensive,,,,,,Chriss REBOUND (Off:1 Def:0)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,7,4,00:10:14,00:01:46,00:00:00,26,PHX,shot,,,,,,,,,,Marquese Chriss,2,,,made,,unknown,1,0,-6,25.0,89.6,Chriss 1' Tip Dunk Shot (4 PTS)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,9,4,00:10:01,00:01:59,00:00:13,27,ORL,shot,Elfrid Payton,,,,,,,,,Terrence Ross,2,,,made,,unknown,0,3,3,24.7,5.3,Ross  Cutting Layup Shot (5 PTS) (Payton 1 AST)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,9,4,00:09:46,00:02:14,00:00:15,29,PHX,miss,,,,,,,,,,Mike James,0,,,missed,,Jump Shot,28,-9,278,24.1,61.2,MISS James 28' 3PT Jump Shot
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,9,4,00:09:43,00:02:17,00:00:03,30,ORL,rebound,,,,,,,,,,Terrence Ross,,,,,,rebound defensive,,,,,,Ross REBOUND (Off:0 Def:1)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,9,4,00:09:34,00:02:26,00:00:09,31,ORL,miss,,,,,,,,,,Terrence Ross,0,,,missed,,Jump Shot,25,228,110,2.2,16.0,MISS Ross 25' 3PT Jump Shot
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,9,4,00:09:31,00:02:29,00:00:03,32,PHX,rebound,,,,,,,,,,Alex Len,,,,,,rebound defensive,,,,,,Len REBOUND (Off:0 Def:1)
"=""0021700174""",2017-2018 Regular Season,2017-11-10,Evan Fournier,Aaron Gordon,Nikola Vucevic,Terrence Ross,Elfrid Payton,TJ Warren,Marquese Chriss,Alex Len,Devin Booker,Mike James,1,9,6,00:09:11,00:02:49,00:00:20,33,PHX,shot,,,,,,,,,,TJ Warren,2,,,made,,unknown,11,22,111,27.2,77.9,Warren 11' Driving Floating Jump Shot (2 PTS)
