game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021700189,2017-2018 Regular Season,11/12/2017,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021700189,2017-2018 Regular Season,11/12/2017,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,0:12:00,0:00:00,0:00:00,4,DET,jump ball,,Hassan Whiteside,Andre Drummond,,,,,,,Andre Drummond,,Tobias Harris,,,,jump ball,,,,,,Jump Ball Drummond vs. Whiteside: Tip to Harris
0021700189,2017-2018 Regular Season,11/12/2017,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,0:11:35,0:00:25,0:00:25,7,DET,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Floating Jump Shot,5,22,43,27.2,84.7,MISS Bradley 5' Floating Jump Shot
0021700189,2017-2018 Regular Season,11/12/2017,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,0:11:30,0:00:30,0:00:05,8,MIA,rebound,,,,,,,,,,Josh Richardson,,,,,,rebound defensive,,,,,,Richardson REBOUND (Off:0 Def:1)
0021700189,2017-2018 Regular Season,11/12/2017,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,0:11:11,0:00:49,0:00:19,10,MIA,turnover,,,,,,,,,,Goran Dragic,,,lost ball ,,,lost ball ,,,,,,Dragic Lost Ball Turnover (P1.T1)
0021700189,2017-2018 Regular Season,11/12/2017,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,0:10:56,0:01:04,0:00:15,11,DET,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,28,51,278,30.1,61.2,MISS Harris 28' 3PT Jump Shot
0021700189,2017-2018 Regular Season,11/12/2017,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,0:10:53,0:01:07,0:00:03,12,MIA,rebound,,,,,,,,,,Dion Waiters,,,,,,rebound defensive,,,,,,Waiters REBOUND (Off:0 Def:1)
0021700189,2017-2018 Regular Season,11/12/2017,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,3,0,0:10:45,0:01:15,0:00:08,13,MIA,shot,Dion Waiters,,,,,,,,,Josh Richardson,3,,,made,,Jump Shot,25,239,56,1.1,10.6,Richardson 25' 3PT Jump Shot (3 PTS) (Waiters 1 AST)
0021700189,2017-2018 Regular Season,11/12/2017,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,3,0,0:10:31,0:01:29,0:00:14,15,DET,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Pullup Jump Shot,20,113,164,36.3,72.6,MISS Bradley 20' Pullup Jump Shot
0021700189,2017-2018 Regular Season,11/12/2017,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,3,0,0:10:28,0:01:32,0:00:03,16,MIA,rebound,,,,,,,,,,Justise Winslow,,,,,,rebound defensive,,,,,,Winslow REBOUND (Off:0 Def:1)
