game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700195""",2017-2018 Regular Season,2017-11-13,Taurean Prince,Luke Babbitt,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700195""",2017-2018 Regular Season,2017-11-13,Taurean Prince,Luke Babbitt,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,1,0,0,00:11:45,00:00:15,00:00:15,6,NOP,jump ball,,Dewayne Dedmon,Anthony Davis,,,,,,,Anthony Davis,,DeMarcus Cousins,,,,jump ball,,,,,,Jump Ball Davis vs. Dedmon: Tip to Cousins
"=""0021700195""",2017-2018 Regular Season,2017-11-13,Taurean Prince,Luke Babbitt,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,1,0,0,00:11:45,00:00:15,00:00:00,9,ATL,foul,,,,,,,,DeMarcus Cousins,,Dewayne Dedmon,,,s.foul,,,s.foul,,,,,,Dedmon S.FOUL (P1.T1) (L.Wood)
"=""0021700195""",2017-2018 Regular Season,2017-11-13,Taurean Prince,Luke Babbitt,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,1,0,0,00:11:45,00:00:15,00:00:00,11,NOP,free throw,,,,,,,1,,2,DeMarcus Cousins,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Cousins Free Throw 1 of 2
"=""0021700195""",2017-2018 Regular Season,2017-11-13,Taurean Prince,Luke Babbitt,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,1,0,0,00:11:45,00:00:15,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,PELICANS Rebound
"=""0021700195""",2017-2018 Regular Season,2017-11-13,Taurean Prince,Luke Babbitt,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,1,0,1,00:11:45,00:00:15,00:00:00,13,NOP,free throw,,,,,,,2,,2,DeMarcus Cousins,1,,,made,,Free Throw 2 of 2,,,,,,Cousins Free Throw 2 of 2 (1 PTS)
"=""0021700195""",2017-2018 Regular Season,2017-11-13,Taurean Prince,Luke Babbitt,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,1,0,1,00:11:32,00:00:28,00:00:13,14,ATL,miss,,,,,,,,,,Kent Bazemore,0,,,missed,,Jump Shot,19,0,191,25.0,24.1,MISS Bazemore 19' Jump Shot
"=""0021700195""",2017-2018 Regular Season,2017-11-13,Taurean Prince,Luke Babbitt,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,1,0,1,00:11:27,00:00:33,00:00:05,15,NOP,rebound,,,,,,,,,,DeMarcus Cousins,,,,,,rebound defensive,,,,,,Cousins REBOUND (Off:0 Def:1)
"=""0021700195""",2017-2018 Regular Season,2017-11-13,Taurean Prince,Luke Babbitt,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,1,0,1,00:11:22,00:00:38,00:00:05,16,NOP,turnover,,,,,,,,,,Anthony Davis,,,lost ball ,,Taurean Prince,lost ball ,,,,,,"Prince STEAL (1 STL), Davis Lost Ball Turnover (P1.T1)"
"=""0021700195""",2017-2018 Regular Season,2017-11-13,Taurean Prince,Luke Babbitt,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,Dante Cunningham,Anthony Davis,DeMarcus Cousins,E'Twaun Moore,Jrue Holiday,1,2,1,00:11:16,00:00:44,00:00:06,18,ATL,shot,Dewayne Dedmon,,,,,,,,,Taurean Prince,2,,,made,,Layup,1,-5,11,25.5,6.1,Prince 1' Layup (2 PTS) (Dedmon 1 AST)
