game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700201""",2017-2018 Regular Season,2017-11-14,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,DeMarre Carroll,Rondae Hollis-Jefferson,Trevor Booker,Allen Crabbe,Spencer Dinwiddie,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700201""",2017-2018 Regular Season,2017-11-14,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,DeMarre Carroll,Rondae Hollis-Jefferson,Trevor Booker,Allen Crabbe,Spencer Dinwiddie,1,0,0,00:11:47,00:00:13,00:00:13,9,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,unknown,9,-90,3,34.0,5.3,MISS Irving 9' Driving Floating Jump Shot
"=""0021700201""",2017-2018 Regular Season,2017-11-14,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,DeMarre Carroll,Rondae Hollis-Jefferson,Trevor Booker,Allen Crabbe,Spencer Dinwiddie,1,0,0,00:11:46,00:00:14,00:00:01,10,BKN,rebound,,,,,,,,,,Rondae Hollis-Jefferson,,,,,,rebound defensive,,,,,,Hollis-Jefferson REBOUND (Off:0 Def:1)
"=""0021700201""",2017-2018 Regular Season,2017-11-14,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,DeMarre Carroll,Rondae Hollis-Jefferson,Trevor Booker,Allen Crabbe,Spencer Dinwiddie,1,0,0,00:11:43,00:00:17,00:00:03,6,BOS,jump ball,,Al Horford,Trevor Booker,,,,,,,Trevor Booker,,Kyrie Irving,,,,jump ball,,,,,,Jump Ball Booker vs. Horford: Tip to Irving
"=""0021700201""",2017-2018 Regular Season,2017-11-14,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,DeMarre Carroll,Rondae Hollis-Jefferson,Trevor Booker,Allen Crabbe,Spencer Dinwiddie,1,0,2,00:11:40,00:00:20,00:00:03,11,BKN,shot,,,,,,,,,,Rondae Hollis-Jefferson,2,,,made,,Running Layup,2,-19,15,23.1,87.5,Hollis-Jefferson 2' Running Layup (2 PTS)
"=""0021700201""",2017-2018 Regular Season,2017-11-14,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,DeMarre Carroll,Rondae Hollis-Jefferson,Trevor Booker,Allen Crabbe,Spencer Dinwiddie,1,3,2,00:11:23,00:00:37,00:00:17,12,BOS,shot,Marcus Morris,,,,,,,,,Jayson Tatum,3,,,made,,Jump Shot,24,201,132,4.9,18.2,Tatum 24' 3PT Jump Shot (3 PTS) (Marc Morris 1 AST)
"=""0021700201""",2017-2018 Regular Season,2017-11-14,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,DeMarre Carroll,Rondae Hollis-Jefferson,Trevor Booker,Allen Crabbe,Spencer Dinwiddie,1,3,2,00:11:04,00:00:56,00:00:19,14,BOS,foul,,,,,,,,Allen Crabbe,,Jaylen Brown,,,p.foul,,,p.foul,,,,,,Brown P.FOUL (P1.T1) (K.Cutler)
"=""0021700201""",2017-2018 Regular Season,2017-11-14,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,DeMarre Carroll,Rondae Hollis-Jefferson,Trevor Booker,Allen Crabbe,Spencer Dinwiddie,1,3,2,00:10:58,00:01:02,00:00:06,16,BKN,miss,,,,,,,,,,Spencer Dinwiddie,0,,,missed,,Jump Shot,26,-109,237,14.1,65.3,MISS Dinwiddie 26' 3PT Jump Shot
"=""0021700201""",2017-2018 Regular Season,2017-11-14,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,DeMarre Carroll,Rondae Hollis-Jefferson,Trevor Booker,Allen Crabbe,Spencer Dinwiddie,1,3,2,00:10:58,00:01:02,00:00:00,17,BOS,rebound,,,,,,,,,,Jaylen Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
"=""0021700201""",2017-2018 Regular Season,2017-11-14,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,DeMarre Carroll,Rondae Hollis-Jefferson,Trevor Booker,Allen Crabbe,Spencer Dinwiddie,1,5,2,00:10:38,00:01:22,00:00:20,18,BOS,shot,,,,,,,,,,Al Horford,2,,,made,,Hook Shot,12,-22,116,27.2,16.6,Horford 12' Hook Shot (2 PTS)
