game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700203""",2017-2018 Regular Season,2017-11-14,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Patty Mills,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Yogi Ferrell,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700203""",2017-2018 Regular Season,2017-11-14,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Patty Mills,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Yogi Ferrell,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Pau Gasol,Harrison Barnes,,,,,,,Harrison Barnes,,LaMarcus Aldridge,,,,jump ball,,,,,,Jump Ball Barnes vs. Gasol: Tip to Aldridge
"=""0021700203""",2017-2018 Regular Season,2017-11-14,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Patty Mills,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Yogi Ferrell,Dennis Smith Jr.,1,0,0,00:11:37,00:00:23,00:00:23,8,SAS,miss,,,,,,,,,,Kyle Anderson,0,,,missed,,Jump Shot,21,151,143,9.9,19.3,MISS Anderson 21' Jump Shot
"=""0021700203""",2017-2018 Regular Season,2017-11-14,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Patty Mills,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Yogi Ferrell,Dennis Smith Jr.,1,0,0,00:11:35,00:00:25,00:00:02,9,DAL,rebound,,,,,,,,,,Yogi Ferrell,,,,,,rebound defensive,,,,,,Ferrell REBOUND (Off:0 Def:1)
"=""0021700203""",2017-2018 Regular Season,2017-11-14,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Patty Mills,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Yogi Ferrell,Dennis Smith Jr.,1,0,0,00:11:25,00:00:35,00:00:10,10,DAL,turnover,,,,,,,,,,Dennis Smith Jr.,,,lost ball ,,Patty Mills,lost ball ,,,,,,"Mills STEAL (1 STL), Smith Jr. Lost Ball Turnover (P1.T1)"
"=""0021700203""",2017-2018 Regular Season,2017-11-14,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Patty Mills,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Yogi Ferrell,Dennis Smith Jr.,1,0,0,00:11:20,00:00:40,00:00:05,12,SAS,turnover,,,,,,,,,,Danny Green,,,bad pass ,,Yogi Ferrell,bad pass ,,,,,,"Green Bad Pass Turnover (P1.T1), Ferrell STEAL (1 STL)"
"=""0021700203""",2017-2018 Regular Season,2017-11-14,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Patty Mills,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Yogi Ferrell,Dennis Smith Jr.,1,0,3,00:11:01,00:00:59,00:00:19,14,DAL,shot,Dennis Smith Jr.,,,,,,,,,Wesley Matthews,3,,,made,,Jump Shot,25,74,243,32.4,64.7,Matthews 25' 3PT Jump Shot (3 PTS) (Smith Jr. 1 AST)
"=""0021700203""",2017-2018 Regular Season,2017-11-14,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Patty Mills,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Yogi Ferrell,Dennis Smith Jr.,1,2,3,00:10:45,00:01:15,00:00:16,16,SAS,shot,Patty Mills,,,,,,,,,Pau Gasol,2,,,made,,Jump Shot,22,-95,202,34.5,25.2,Gasol 22' Jump Shot (2 PTS) (Mills 1 AST)
"=""0021700203""",2017-2018 Regular Season,2017-11-14,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Patty Mills,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Yogi Ferrell,Dennis Smith Jr.,1,2,5,00:10:33,00:01:27,00:00:12,18,DAL,shot,Wesley Matthews,,,,,,,,,Harrison Barnes,2,,,made,,Jump Shot,19,-147,126,10.3,76.4,Barnes 19' Jump Shot (2 PTS) (Matthews 1 AST)
"=""0021700203""",2017-2018 Regular Season,2017-11-14,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Patty Mills,Wesley Matthews,Harrison Barnes,Dirk Nowitzki,Yogi Ferrell,Dennis Smith Jr.,1,2,5,00:10:21,00:01:39,00:00:12,20,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Turnaround Jump Shot,9,-18,92,26.8,14.2,MISS Aldridge 9' Turnaround Jump Shot
