game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700232""",2017-2018 Regular Season,2017-11-18,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700232""",2017-2018 Regular Season,2017-11-18,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Clint Capela,Marc Gasol,,,,,,,Marc Gasol,,JaMychal Green,,,,jump ball,,,,,,Jump Ball Gasol vs. Capela: Tip to Green
"=""0021700232""",2017-2018 Regular Season,2017-11-18,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,00:11:43,00:00:17,00:00:17,7,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Jump Shot,10,-101,27,14.9,86.3,MISS Gasol 10' Jump Shot
"=""0021700232""",2017-2018 Regular Season,2017-11-18,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,00:11:39,00:00:21,00:00:04,8,HOU,rebound,,,,,,,,,,Chris Paul,,,,,,rebound defensive,,,,,,Paul REBOUND (Off:0 Def:1)
"=""0021700232""",2017-2018 Regular Season,2017-11-18,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,3,0,00:11:33,00:00:27,00:00:06,9,HOU,shot,Chris Paul,,,,,,,,,Ryan Anderson,3,,,made,,Jump Shot,23,230,-21,2.0,2.9,Anderson  3PT Jump Shot (3 PTS) (Paul 1 AST)
"=""0021700232""",2017-2018 Regular Season,2017-11-18,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,3,2,00:11:22,00:00:38,00:00:11,11,MEM,shot,Marc Gasol,,,,,,,,,Dillon Brooks,2,,,made,,unknown,1,-4,8,24.6,88.2,Brooks 1' Driving Layup (2 PTS) (Gasol 1 AST)
"=""0021700232""",2017-2018 Regular Season,2017-11-18,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,6,2,00:11:04,00:00:56,00:00:18,13,HOU,shot,James Harden,,,,,,,,,Chris Paul,3,,,made,,Jump Shot,26,120,226,13.0,27.6,Paul 26' 3PT Jump Shot (3 PTS) (Harden 1 AST)
"=""0021700232""",2017-2018 Regular Season,2017-11-18,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,6,4,00:10:41,00:01:19,00:00:23,15,MEM,shot,Mario Chalmers,,,,,,,,,Chandler Parsons,2,,,made,,Driving Finger Roll Layup,2,13,10,26.3,88.0,Parsons 2' Driving Finger Roll Layup (2 PTS) (Chalmers 1 AST)
"=""0021700232""",2017-2018 Regular Season,2017-11-18,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,6,4,00:10:17,00:01:43,00:00:24,17,HOU,miss,,,,,,,,,,Clint Capela,0,,,missed,,Fadeaway Jumper,15,-152,-13,40.2,3.7,MISS Capela 15' Fadeaway Jumper
"=""0021700232""",2017-2018 Regular Season,2017-11-18,Trevor Ariza,Ryan Anderson,Clint Capela,James Harden,Chris Paul,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,6,4,00:10:14,00:01:46,00:00:03,18,MEM,rebound,,,,,,,,,,Chandler Parsons,,,,,,rebound defensive,,,,,,Parsons REBOUND (Off:0 Def:1)
