game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,0:12:00,0:00:00,0:00:00,4,POR,jump ball,,Jusuf Nurkic,Marc Gasol,,,,,,,Marc Gasol,,Maurice Harkless,,,,jump ball,,,,,,Jump Ball Gasol vs. Nurkic: Tip to Harkless
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,0:11:35,0:00:25,0:00:25,7,POR,miss,,,,,,,,,,Noah Vonleh,0,,,missed,,Jump Shot,12,-120,22,37,7.2,MISS Vonleh 12' Jump Shot
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,0:11:32,0:00:28,0:00:03,8,MEM,rebound,,,,,,,,,,Chandler Parsons,,,,,,rebound defensive,,,,,,Parsons REBOUND (Off:0 Def:1)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,0:11:23,0:00:37,0:00:09,9,MEM,miss,,,,Jusuf Nurkic,,,,,,Mario Chalmers,0,,,missed,,unknown,4,-19,39,23.1,85.1,"Nurkic BLOCK (1 BLK), MISS Chalmers 4' Driving Layup"
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,0:11:22,0:00:38,0:00:01,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Trail Blazers Rebound
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,0,0:11:06,0:00:54,0:00:16,12,POR,turnover,,,,,,,,,,Noah Vonleh,,,traveling ,,,traveling ,,,,,,Vonleh Traveling Turnover (P1.T1)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,2,0:10:50,0:01:10,0:00:16,13,MEM,shot,Dillon Brooks,,,,,,,,,JaMychal Green,2,,,made,,unknown,2,-14,15,23.6,87.5,Green 2' Cutting Layup Shot (2 PTS) (Brooks 1 AST)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,2,0:10:50,0:01:10,0:00:00,15,POR,foul,,,,,,,,JaMychal Green,,Noah Vonleh,,,s.foul,,,s.foul,,,,,,Vonleh S.FOUL (P1.T1) (T.Brothers)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,3,0:10:50,0:01:10,0:00:00,17,MEM,free throw,,,,,,,1,,1,JaMychal Green,1,,,made,,Free Throw 1 of 1,,,,,,Green Free Throw 1 of 1 (3 PTS)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,3,0:10:41,0:01:19,0:00:09,18,POR,miss,,,,,,,,,,Damian Lillard,0,,,missed,,Jump Shot,25,-147,203,39.7,25.3,MISS Lillard 25' 3PT Jump Shot
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,3,0:10:38,0:01:22,0:00:03,19,MEM,rebound,,,,,,,,,,Mario Chalmers,,,,,,rebound defensive,,,,,,Chalmers REBOUND (Off:0 Def:1)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,3,0:10:32,0:01:28,0:00:06,20,POR,foul,,,,,,,,Mario Chalmers,,Damian Lillard,,,s.foul,,,s.foul,,,,,,Lillard S.FOUL (P1.T2) (M.Lindsay)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,4,0:10:32,0:01:28,0:00:00,22,MEM,free throw,,,,,,,1,,2,Mario Chalmers,1,,,made,,Free Throw 1 of 2,,,,,,Chalmers Free Throw 1 of 2 (1 PTS)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,5,0:10:32,0:01:28,0:00:00,23,MEM,free throw,,,,,,,2,,2,Mario Chalmers,1,,,made,,Free Throw 2 of 2,,,,,,Chalmers Free Throw 2 of 2 (2 PTS)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,5,0:10:21,0:01:39,0:00:11,24,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,Pullup Jump Shot,16,134,93,11.6,14.3,MISS McCollum 16' Pullup Jump Shot
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,5,0:10:19,0:01:41,0:00:02,25,MEM,rebound,,,,,,,,,,Mario Chalmers,,,,,,rebound defensive,,,,,,Chalmers REBOUND (Off:0 Def:2)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,5,0:10:06,0:01:54,0:00:13,26,MEM,turnover,,,,,,,,,,Marc Gasol,,,traveling ,,,traveling ,,,,,,Gasol Traveling Turnover (P1.T1)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,5,0:09:48,0:02:12,0:00:18,27,MEM,foul,,,,,,,,Jusuf Nurkic,,Marc Gasol,,,p.foul,,,p.foul,,,,,,Gasol P.FOUL (P1.T1) (J.Goble)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,5,0:09:43,0:02:17,0:00:05,29,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Hook Shot,11,-86,67,33.6,11.7,MISS Nurkic 11' Hook Shot
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,5,0:09:40,0:02:20,0:00:03,30,POR,rebound,,,,,,,,,,Maurice Harkless,,,,,,rebound offensive,,,,,,Harkless REBOUND (Off:1 Def:0)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,0,5,0:09:37,0:02:23,0:00:03,31,MEM,foul,,,,,,,,Jusuf Nurkic,,Chandler Parsons,,,s.foul,,,s.foul,,,,,,Parsons S.FOUL (P1.T2) (T.Brothers)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:09:37,0:02:23,0:00:00,33,POR,free throw,,,,,,,1,,2,Jusuf Nurkic,1,,,made,,Free Throw 1 of 2,,,,,,Nurkic Free Throw 1 of 2 (1 PTS)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:09:37,0:02:23,0:00:00,34,POR,free throw,,,,,,,2,,2,Jusuf Nurkic,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Nurkic Free Throw 2 of 2
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:09:35,0:02:25,0:00:02,35,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:09:24,0:02:36,0:00:11,36,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Turnaround Jump Shot,13,-61,113,18.9,77.7,MISS Gasol 13' Turnaround Jump Shot
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:09:21,0:02:39,0:00:03,37,POR,rebound,,,,,,,,,,CJ McCollum,,,,,,rebound defensive,,,,,,McCollum REBOUND (Off:0 Def:1)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:09:15,0:02:45,0:00:06,38,POR,miss,,,,,,,,,,Damian Lillard,0,,,missed,,Floating Jump Shot,12,63,106,18.7,15.6,MISS Lillard 12' Floating Jump Shot
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:09:13,0:02:47,0:00:02,39,MEM,rebound,,,,,,,,,,JaMychal Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:08:59,0:03:01,0:00:14,40,MEM,miss,,,,,,,,,,Chandler Parsons,0,,,missed,,Jump Shot,25,138,212,38.8,67.8,MISS Parsons 25' 3PT Jump Shot
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:08:56,0:03:04,0:00:03,41,POR,rebound,,,,,,,,,,Damian Lillard,,,,,,rebound defensive,,,,,,Lillard REBOUND (Off:0 Def:1)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:08:53,0:03:07,0:00:03,42,POR,foul,,,,,,,,Chandler Parsons,,Maurice Harkless,,,offensive charge foul,,,offensive charge foul,,,,,,Harkless Offensive Charge Foul (P1.T3) (J.Goble)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:08:53,0:03:07,0:00:00,44,POR,turnover,,,,,,,,,,Maurice Harkless,,,offensive foul turnover,,,offensive foul turnover,,,,,,Harkless Offensive Foul Turnover (P1.T2)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:08:35,0:03:25,0:00:18,45,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Jump Shot,21,-34,205,21.6,68.5,MISS Gasol 21' Jump Shot
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,1,5,0:08:32,0:03:28,0:00:03,46,POR,rebound,,,,,,,,,,CJ McCollum,,,,,,rebound defensive,,,,,,McCollum REBOUND (Off:0 Def:2)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,3,5,0:08:26,0:03:34,0:00:06,47,POR,shot,,,,,,,,,,CJ McCollum,2,,,made,,Fadeaway Jumper,16,160,36,9,8.6,McCollum 16' Fadeaway Jumper (2 PTS)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,3,5,0:08:10,0:03:50,0:00:16,48,MEM,miss,,,,,,,,,,Mario Chalmers,0,,,missed,,Jump Shot,23,233,-14,48.3,90.4,MISS Chalmers  3PT Jump Shot
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,3,5,0:08:07,0:03:53,0:00:03,49,POR,rebound,,,,,,,,,,Noah Vonleh,,,,,,rebound defensive,,,,,,Vonleh REBOUND (Off:0 Def:1)
0021700246,2017-2018 Regular Season,11/20/2017,Maurice Harkless,Noah Vonleh,Jusuf Nurkic,CJ McCollum,Damian Lillard,Chandler Parsons,JaMychal Green,Marc Gasol,Dillon Brooks,Mario Chalmers,1,3,5,0:08:00,0:04:00,0:00:07,50,POR,miss,,,,,,,,,,Damian Lillard,0,,,missed,,Driving Reverse Layup,1,-3,10,25.3,6,MISS Lillard 1' Driving Reverse Layup
