game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Tyler Zeller,Kevin Love,,,,,,,Kevin Love,,JR Smith,,,,jump ball,,,,,,Jump Ball Love vs. Zeller: Tip to Smith
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,0,00:11:44,00:00:16,00:00:16,7,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Jump Shot,23,-227,-5,2.3,89.5,MISS Love  3PT Jump Shot
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,0,00:11:41,00:00:19,00:00:03,8,BKN,rebound,,,,,,,,,,Rondae Hollis-Jefferson,,,,,,rebound defensive,,,,,,Hollis-Jefferson REBOUND (Off:0 Def:1)
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,0,00:11:18,00:00:42,00:00:23,9,BKN,miss,,,,,,,,,,Rondae Hollis-Jefferson,0,,,missed,,Jump Shot,26,-214,154,46.4,20.4,MISS Hollis-Jefferson 26' 3PT Jump Shot
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,0,00:11:16,00:00:44,00:00:02,10,CLE,rebound,,,,,,,,,,LeBron James,,,,,,rebound defensive,,,,,,James REBOUND (Off:0 Def:1)
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,2,00:11:00,00:01:00,00:00:16,11,CLE,shot,,,,,,,,,,Jose Calderon,2,,,made,,Jump Shot,16,-123,98,12.7,79.2,Calderon 16' Jump Shot (2 PTS)
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,3,2,00:10:45,00:01:15,00:00:15,12,BKN,shot,Rondae Hollis-Jefferson,,,,,,,,,Allen Crabbe,3,,,made,,Jump Shot,25,46,243,20.4,29.3,Crabbe 25' 3PT Jump Shot (3 PTS) (Hollis-Jefferson 1 AST)
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,3,4,00:10:30,00:01:30,00:00:15,14,CLE,shot,LeBron James,,,,,,,,,Kevin Love,2,,,made,,Jump Shot,17,-122,114,12.8,77.6,Love 17' Jump Shot (2 PTS) (James 1 AST)
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,3,4,00:10:13,00:01:47,00:00:17,16,BKN,foul,,,,,,,,JR Smith,,Spencer Dinwiddie,,,off.foul,,,off.foul,,,,,,Dinwiddie OFF.Foul (P1) (M.Smith)
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,3,4,00:10:13,00:01:47,00:00:00,18,BKN,turnover,,,,,,,,,,Spencer Dinwiddie,,,offensive foul turnover,,,offensive foul turnover,,,,,,Dinwiddie Offensive Foul Turnover (P1.T1)
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,3,4,00:09:59,00:02:01,00:00:14,19,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Hook Shot,10,46,89,29.6,80.1,MISS Love 10' Hook Shot
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,3,4,00:09:57,00:02:03,00:00:02,20,BKN,rebound,,,,,,,,,,Rondae Hollis-Jefferson,,,,,,rebound defensive,,,,,,Hollis-Jefferson REBOUND (Off:0 Def:2)
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,5,4,00:09:50,00:02:10,00:00:07,21,BKN,shot,Rondae Hollis-Jefferson,,,,,,,,,Allen Crabbe,2,,,made,,unknown,1,5,12,24.5,6.2,Crabbe 1' Driving Layup (5 PTS) (Hollis-Jefferson 2 AST)
"=""0021700254""",2017-2018 Regular Season,2017-11-22,DeMarre Carroll,Rondae Hollis-Jefferson,Tyler Zeller,Allen Crabbe,Spencer Dinwiddie,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,5,6,00:09:30,00:02:30,00:00:20,23,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,unknown,2,-22,1,22.8,88.9,James 2' Driving Layup (2 PTS)
