game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700257""",2017-2018 Regular Season,2017-11-22,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700257""",2017-2018 Regular Season,2017-11-22,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Al Horford,Hassan Whiteside,,,,,,,Hassan Whiteside,,Goran Dragic,,,,jump ball,,,,,,Jump Ball Whiteside vs. Horford: Tip to Dragic
"=""0021700257""",2017-2018 Regular Season,2017-11-22,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,1,0,0,00:11:34,00:00:26,00:00:26,7,MIA,miss,,,,,,,,,,Hassan Whiteside,0,,,missed,,Layup,1,-12,3,23.8,88.7,MISS Whiteside 1' Layup
"=""0021700257""",2017-2018 Regular Season,2017-11-22,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,1,0,0,00:11:31,00:00:29,00:00:03,8,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0021700257""",2017-2018 Regular Season,2017-11-22,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,1,2,0,00:11:29,00:00:31,00:00:02,9,BOS,shot,,,,,,,,,,Kyrie Irving,2,,,made,,unknown,1,9,5,24.1,5.5,Irving 1' Driving Layup (2 PTS)
"=""0021700257""",2017-2018 Regular Season,2017-11-22,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,1,2,0,00:11:11,00:00:49,00:00:18,10,MIA,miss,,,,,,,,,,Goran Dragic,0,,,missed,,Pullup Jump Shot,10,42,94,29.2,79.6,MISS Dragic 10' Pullup Jump Shot
"=""0021700257""",2017-2018 Regular Season,2017-11-22,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,1,2,0,00:11:07,00:00:53,00:00:04,11,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:2)
"=""0021700257""",2017-2018 Regular Season,2017-11-22,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,1,2,0,00:10:55,00:01:05,00:00:12,12,BOS,miss,,,,,,,,,,Jaylen Brown,0,,,missed,,Jump Shot,17,172,-6,7.8,4.4,MISS Brown 17' Jump Shot
"=""0021700257""",2017-2018 Regular Season,2017-11-22,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,1,2,0,00:10:53,00:01:07,00:00:02,13,MIA,rebound,,,,,,,,,,Justise Winslow,,,,,,rebound defensive,,,,,,Winslow REBOUND (Off:0 Def:1)
"=""0021700257""",2017-2018 Regular Season,2017-11-22,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Josh Richardson,Justise Winslow,Hassan Whiteside,Dion Waiters,Goran Dragic,1,2,0,00:10:48,00:01:12,00:00:05,14,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Jump Shot,24,226,65,47.6,82.5,MISS Richardson 24' 3PT Jump Shot
