game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700268""",2017-2018 Regular Season,2017-11-24,Tim Hardaway Jr.,Kristaps Porzingis,Kyle O'Quinn,Courtney Lee,Jarrett Jack,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700268""",2017-2018 Regular Season,2017-11-24,Tim Hardaway Jr.,Kristaps Porzingis,Kyle O'Quinn,Courtney Lee,Jarrett Jack,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,4,NYK,jump ball,,Kristaps Porzingis,Dewayne Dedmon,,,,,,,Dewayne Dedmon,,Kyle O'Quinn,,,,jump ball,,,,,,Jump Ball Dedmon vs. Porzingis: Tip to O'Quinn
"=""0021700268""",2017-2018 Regular Season,2017-11-24,Tim Hardaway Jr.,Kristaps Porzingis,Kyle O'Quinn,Courtney Lee,Jarrett Jack,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:11:42,00:00:18,00:00:18,7,NYK,miss,,,,,,,,,,Kristaps Porzingis,0,,,missed,,Jump Shot,25,-121,217,37.1,26.7,MISS Porzingis 25' 3PT Jump Shot
"=""0021700268""",2017-2018 Regular Season,2017-11-24,Tim Hardaway Jr.,Kristaps Porzingis,Kyle O'Quinn,Courtney Lee,Jarrett Jack,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:11:39,00:00:21,00:00:03,8,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound defensive,,,,,,Dedmon REBOUND (Off:0 Def:1)
"=""0021700268""",2017-2018 Regular Season,2017-11-24,Tim Hardaway Jr.,Kristaps Porzingis,Kyle O'Quinn,Courtney Lee,Jarrett Jack,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:11:21,00:00:39,00:00:18,9,ATL,miss,,,,Kyle O'Quinn,,,,,,Dewayne Dedmon,0,,,missed,,Layup,3,34,8,28.4,88.2,"O'Quinn BLOCK (1 BLK), MISS Dedmon 3' Layup"
"=""0021700268""",2017-2018 Regular Season,2017-11-24,Tim Hardaway Jr.,Kristaps Porzingis,Kyle O'Quinn,Courtney Lee,Jarrett Jack,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,0,00:11:20,00:00:40,00:00:01,11,ATL,rebound,,,,,,,,,,Dewayne Dedmon,,,,,,rebound offensive,,,,,,Dedmon REBOUND (Off:1 Def:1)
"=""0021700268""",2017-2018 Regular Season,2017-11-24,Tim Hardaway Jr.,Kristaps Porzingis,Kyle O'Quinn,Courtney Lee,Jarrett Jack,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,2,00:11:18,00:00:42,00:00:02,13,ATL,shot,Kent Bazemore,,,,,,,,,Dennis Schroder,2,,,made,,Jump Shot,12,123,-15,37.3,90.5,Schroder 12' Jump Shot (2 PTS) (Bazemore 1 AST)
"=""0021700268""",2017-2018 Regular Season,2017-11-24,Tim Hardaway Jr.,Kristaps Porzingis,Kyle O'Quinn,Courtney Lee,Jarrett Jack,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,2,00:11:11,00:00:49,00:00:07,15,NYK,turnover,,,,,,,,,,Kyle O'Quinn,,,traveling ,,,traveling ,,,,,,O'Quinn Traveling Turnover (P1.T1)
"=""0021700268""",2017-2018 Regular Season,2017-11-24,Tim Hardaway Jr.,Kristaps Porzingis,Kyle O'Quinn,Courtney Lee,Jarrett Jack,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,2,00:11:03,00:00:57,00:00:08,16,ATL,foul,,,,,,,,Kristaps Porzingis,,Dewayne Dedmon,,,off.foul,,,off.foul,,,,,,Dedmon OFF.Foul (P1) (K.Fitzgerald)
"=""0021700268""",2017-2018 Regular Season,2017-11-24,Tim Hardaway Jr.,Kristaps Porzingis,Kyle O'Quinn,Courtney Lee,Jarrett Jack,Taurean Prince,John Collins,Dewayne Dedmon,Kent Bazemore,Dennis Schroder,1,0,2,00:11:03,00:00:57,00:00:00,18,ATL,turnover,,,,,,,,,,Dewayne Dedmon,,,offensive foul turnover,,,offensive foul turnover,,,,,,Dedmon Offensive Foul Turnover (P1.T1)
