game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700286""",2017-2018 Regular Season,2017-11-25,Wesley Johnson,Blake Griffin,DeAndre Jordan,Lou Williams,Austin Rivers,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700286""",2017-2018 Regular Season,2017-11-25,Wesley Johnson,Blake Griffin,DeAndre Jordan,Lou Williams,Austin Rivers,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,DeAndre Jordan,Skal Labissiere,,,,,,,Skal Labissiere,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Labissiere vs. Jordan: Tip to Griffin
"=""0021700286""",2017-2018 Regular Season,2017-11-25,Wesley Johnson,Blake Griffin,DeAndre Jordan,Lou Williams,Austin Rivers,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:11:39,00:00:21,00:00:21,7,LAC,miss,,,,,,,,,,Austin Rivers,0,,,missed,,Jump Shot,25,210,137,4.0,18.7,MISS Rivers 25' 3PT Jump Shot
"=""0021700286""",2017-2018 Regular Season,2017-11-25,Wesley Johnson,Blake Griffin,DeAndre Jordan,Lou Williams,Austin Rivers,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:11:35,00:00:25,00:00:04,8,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
"=""0021700286""",2017-2018 Regular Season,2017-11-25,Wesley Johnson,Blake Griffin,DeAndre Jordan,Lou Williams,Austin Rivers,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:11:25,00:00:35,00:00:10,9,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,bad pass ,,Austin Rivers,bad pass ,,,,,,"Rivers STEAL (1 STL), Fox Bad Pass Turnover (P1.T1)"
"=""0021700286""",2017-2018 Regular Season,2017-11-25,Wesley Johnson,Blake Griffin,DeAndre Jordan,Lou Williams,Austin Rivers,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:11:20,00:00:40,00:00:05,11,LAC,miss,,,,,,,,,,Lou Williams,0,,,missed,,Layup,2,13,17,23.7,6.7,MISS Williams 2' Layup
"=""0021700286""",2017-2018 Regular Season,2017-11-25,Wesley Johnson,Blake Griffin,DeAndre Jordan,Lou Williams,Austin Rivers,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:11:15,00:00:45,00:00:05,12,LAC,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound offensive,,,,,,Griffin REBOUND (Off:1 Def:0)
"=""0021700286""",2017-2018 Regular Season,2017-11-25,Wesley Johnson,Blake Griffin,DeAndre Jordan,Lou Williams,Austin Rivers,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,2,0,00:11:15,00:00:45,00:00:00,13,LAC,shot,,,,,,,,,,Blake Griffin,2,,,made,,unknown,1,0,-6,25.0,4.4,Griffin 1' Tip Layup Shot (2 PTS)
"=""0021700286""",2017-2018 Regular Season,2017-11-25,Wesley Johnson,Blake Griffin,DeAndre Jordan,Lou Williams,Austin Rivers,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,2,0,00:11:13,00:00:47,00:00:02,14,SAC,miss,,,,DeAndre Jordan,,,,,,De'Aaron Fox,0,,,missed,,unknown,2,16,13,26.6,87.7,"Jordan BLOCK (1 BLK), MISS Fox 2' Driving Layup"
"=""0021700286""",2017-2018 Regular Season,2017-11-25,Wesley Johnson,Blake Griffin,DeAndre Jordan,Lou Williams,Austin Rivers,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,2,0,00:11:13,00:00:47,00:00:00,16,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,KINGS Rebound
