game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Kevin Love,Joel Embiid,,,,,,,Joel Embiid,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Embiid vs. Love: Tip to Simmons
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:38,00:00:22,00:00:22,7,PHI,shot,,,,,,,,,,JJ Redick,2,,,made,,unknown,7,-27,67,22.3,82.3,Redick 7' Driving Floating Jump Shot (2 PTS)
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:21,00:00:39,00:00:17,8,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Jump Shot,21,81,189,16.9,23.9,MISS Love 21' Jump Shot
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,2,00:11:20,00:00:40,00:00:01,9,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,4,00:11:11,00:00:49,00:00:09,10,PHI,shot,,,,,,,,,,Joel Embiid,2,,,made,,Turnaround Fadeaway ,12,-23,119,22.7,77.1,Embiid 12' Turnaround Fadeaway (2 PTS)
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,4,00:10:57,00:01:03,00:00:14,11,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,Jump Shot,25,-195,163,44.5,21.3,MISS Love 25' 3PT Jump Shot
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,4,00:10:54,00:01:06,00:00:03,12,PHI,rebound,,,,,,,,,,Dario Saric,,,,,,rebound defensive,,,,,,Saric REBOUND (Off:0 Def:1)
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,4,00:10:44,00:01:16,00:00:10,13,PHI,miss,,,,,,,,,,Joel Embiid,0,,,missed,,Jump Shot,8,-84,0,16.6,89.0,MISS Embiid 8' Jump Shot
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,4,00:10:42,00:01:18,00:00:02,14,CLE,rebound,,,,,,,,,,LeBron James,,,,,,rebound defensive,,,,,,James REBOUND (Off:0 Def:1)
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,4,00:10:40,00:01:20,00:00:02,665,CLE,miss,,,,Ben Simmons,,,,,,LeBron James,0,,,missed,,unknown,7,-49,43,29.9,9.3,"MISS James 7' Driving Layup, Simmons BLOCK (1 BLK)"
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,0,4,00:10:40,00:01:20,00:00:00,667,CLE,rebound,,,,,,,,,,LeBron James,,,,,,rebound offensive,,,,,,James REBOUND (Off:1 Def:1)
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,2,4,00:10:36,00:01:24,00:00:04,15,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,Layup,2,14,-7,23.6,4.3,James 2' Layup (2 PTS)
"=""0021700291""",2017-2018 Regular Season,2017-11-27,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,Robert Covington,Dario Saric,Joel Embiid,JJ Redick,Ben Simmons,1,2,4,00:10:29,00:01:31,00:00:07,16,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Jump Shot,1,-7,1,24.3,88.9,MISS Redick 1' Jump Shot
