game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700292""",2017-2018 Regular Season,2017-11-27,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700292""",2017-2018 Regular Season,2017-11-27,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Andre Drummond,Al Horford,,,,,,,Al Horford,,Reggie Jackson,,,,jump ball,,,,,,Jump Ball Horford vs. Drummond: Tip to Jackson
"=""0021700292""",2017-2018 Regular Season,2017-11-27,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,1,2,0,00:11:44,00:00:16,00:00:16,7,DET,shot,Andre Drummond,,,,,,,,,Avery Bradley,2,,,made,,unknown,16,-5,163,25.5,21.3,Bradley 16' Driving Floating Jump Shot (2 PTS) (Drummond 1 AST)
"=""0021700292""",2017-2018 Regular Season,2017-11-27,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,1,2,0,00:11:29,00:00:31,00:00:15,9,DET,violation,,,,,,,,,,Andre Drummond,,,,,,violation:kicked ball,,,,,,Drummond Violation:Kicked Ball (T.Brown)
"=""0021700292""",2017-2018 Regular Season,2017-11-27,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,1,2,0,00:11:23,00:00:37,00:00:06,10,BOS,turnover,,,,,,,,,,Kyrie Irving,,,bad pass ,,Andre Drummond,bad pass ,,,,,,"Drummond STEAL (1 STL), Irving Bad Pass Turnover (P1.T1)"
"=""0021700292""",2017-2018 Regular Season,2017-11-27,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,1,2,0,00:11:20,00:00:40,00:00:03,12,DET,turnover,,,,,,,,,,Andre Drummond,,,,,,unknown,,,,,,Drummond Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021700292""",2017-2018 Regular Season,2017-11-27,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,1,2,2,00:11:07,00:00:53,00:00:13,13,BOS,shot,Kyrie Irving,,,,,,,,,Al Horford,2,,,made,,Jump Shot,17,174,-4,42.4,89.4,Horford 17' Jump Shot (2 PTS) (Irving 1 AST)
"=""0021700292""",2017-2018 Regular Season,2017-11-27,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,1,2,2,00:10:50,00:01:10,00:00:17,16,DET,miss,,,,,,,,,,Tobias Harris,0,,,missed,,unknown,2,-16,16,26.6,6.6,MISS Harris 2' Driving Layup
"=""0021700292""",2017-2018 Regular Season,2017-11-27,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,1,2,2,00:10:46,00:01:14,00:00:04,17,BOS,rebound,,,,,,,,,,Marcus Morris,,,,,,rebound defensive,,,,,,Marc Morris REBOUND (Off:0 Def:1)
"=""0021700292""",2017-2018 Regular Season,2017-11-27,Stanley Johnson,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Jayson Tatum,Marcus Morris,Al Horford,Jaylen Brown,Kyrie Irving,1,2,4,00:10:43,00:01:17,00:00:03,18,BOS,shot,,,,,,,,,,Kyrie Irving,2,,,made,,unknown,1,-5,7,24.5,88.3,Irving 1' Driving Layup (2 PTS)
