game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700302""",2017-2018 Regular Season,2017-11-28,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700302""",2017-2018 Regular Season,2017-11-28,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:11:51,00:00:09,00:00:09,4,SAC,jump ball,,John Henson,Skal Labissiere,,,,,,,Skal Labissiere,,George Hill,,,,jump ball,,,,,,Jump Ball Labissiere vs. Henson: Tip to G. Hill
"=""0021700302""",2017-2018 Regular Season,2017-11-28,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,2,00:11:35,00:00:25,00:00:16,7,SAC,shot,,,,,,,,,,Zach Randolph,2,,,made,,Turnaround Hook Shot,7,-68,15,18.2,87.5,Randolph 7' Turnaround Hook Shot (2 PTS)
"=""0021700302""",2017-2018 Regular Season,2017-11-28,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,2,00:11:14,00:00:46,00:00:21,8,MIL,miss,,,,,,,,,,John Henson,0,,,missed,,Hook Shot,8,-71,39,32.1,8.9,MISS Henson 8' Hook Shot
"=""0021700302""",2017-2018 Regular Season,2017-11-28,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,2,00:11:12,00:00:48,00:00:02,9,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
"=""0021700302""",2017-2018 Regular Season,2017-11-28,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,4,00:10:57,00:01:03,00:00:15,10,SAC,shot,,,,,,,,,,Garrett Temple,2,,,made,,unknown,2,-24,3,22.6,88.7,Temple 2' Driving Layup (2 PTS)
"=""0021700302""",2017-2018 Regular Season,2017-11-28,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,2,4,00:10:42,00:01:18,00:00:15,11,MIL,shot,Eric Bledsoe,,,,,,,,,John Henson,2,,,made,,unknown,2,-6,17,25.6,6.7,Henson 2' Cutting Dunk Shot (2 PTS) (Bledsoe 1 AST)
"=""0021700302""",2017-2018 Regular Season,2017-11-28,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,2,4,00:10:20,00:01:40,00:00:22,13,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Jump Shot,25,-166,188,8.4,70.2,MISS Fox 25' 3PT Jump Shot
"=""0021700302""",2017-2018 Regular Season,2017-11-28,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,2,4,00:10:16,00:01:44,00:00:04,14,MIL,rebound,,,,,,,,,,Eric Bledsoe,,,,,,rebound defensive,,,,,,Bledsoe REBOUND (Off:0 Def:1)
"=""0021700302""",2017-2018 Regular Season,2017-11-28,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,2,4,00:10:13,00:01:47,00:00:03,15,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Jump Shot,18,25,180,22.5,23.0,MISS Bledsoe 18' Jump Shot
