game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700306""",2017-2018 Regular Season,2017-11-29,Josh Richardson,Justise Winslow,Bam Adebayo,Dion Waiters,Goran Dragic,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700306""",2017-2018 Regular Season,2017-11-29,Josh Richardson,Justise Winslow,Bam Adebayo,Dion Waiters,Goran Dragic,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:12:00,00:00:00,00:00:00,4,NYK,jump ball,,Bam Adebayo,Kristaps Porzingis,,,,,,,Kristaps Porzingis,,Enes Kanter,,,,jump ball,,,,,,Jump Ball Porzingis vs. Adebayo: Tip to Kanter
"=""0021700306""",2017-2018 Regular Season,2017-11-29,Josh Richardson,Justise Winslow,Bam Adebayo,Dion Waiters,Goran Dragic,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,2,00:11:42,00:00:18,00:00:18,7,NYK,shot,Jarrett Jack,,,,,,,,,Kristaps Porzingis,2,,,made,,Jump Shot,21,-136,165,11.4,72.5,Porzingis 21' Jump Shot (2 PTS) (Jack 1 AST)
"=""0021700306""",2017-2018 Regular Season,2017-11-29,Josh Richardson,Justise Winslow,Bam Adebayo,Dion Waiters,Goran Dragic,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,1,3,2,00:11:23,00:00:37,00:00:19,9,MIA,shot,Dion Waiters,,,,,,,,,Josh Richardson,3,,,made,,Jump Shot,26,-100,237,35.0,28.7,Richardson 26' 3PT Jump Shot (3 PTS) (Waiters 1 AST)
"=""0021700306""",2017-2018 Regular Season,2017-11-29,Josh Richardson,Justise Winslow,Bam Adebayo,Dion Waiters,Goran Dragic,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,1,3,4,00:11:06,00:00:54,00:00:17,11,NYK,shot,Jarrett Jack,,,,,,,,,Kristaps Porzingis,2,,,made,,Jump Shot,20,-100,178,15.0,71.2,Porzingis 20' Jump Shot (4 PTS) (Jack 2 AST)
"=""0021700306""",2017-2018 Regular Season,2017-11-29,Josh Richardson,Justise Winslow,Bam Adebayo,Dion Waiters,Goran Dragic,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,1,3,4,00:10:48,00:01:12,00:00:18,13,MIA,miss,,,,,,,,,,Dion Waiters,0,,,missed,,Jump Shot,26,63,255,18.7,30.5,MISS Waiters 26' 3PT Jump Shot
"=""0021700306""",2017-2018 Regular Season,2017-11-29,Josh Richardson,Justise Winslow,Bam Adebayo,Dion Waiters,Goran Dragic,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,1,3,4,00:10:45,00:01:15,00:00:03,14,NYK,rebound,,,,,,,,,,Courtney Lee,,,,,,rebound defensive,,,,,,Lee REBOUND (Off:0 Def:1)
"=""0021700306""",2017-2018 Regular Season,2017-11-29,Josh Richardson,Justise Winslow,Bam Adebayo,Dion Waiters,Goran Dragic,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,1,3,4,00:10:38,00:01:22,00:00:07,15,NYK,miss,,,,,,,,,,Courtney Lee,0,,,missed,,unknown,1,8,-1,25.8,89.1,MISS Lee 1' Driving Layup
"=""0021700306""",2017-2018 Regular Season,2017-11-29,Josh Richardson,Justise Winslow,Bam Adebayo,Dion Waiters,Goran Dragic,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,1,3,4,00:10:36,00:01:24,00:00:02,16,MIA,rebound,,,,,,,,,,Justise Winslow,,,,,,rebound defensive,,,,,,Winslow REBOUND (Off:0 Def:1)
"=""0021700306""",2017-2018 Regular Season,2017-11-29,Josh Richardson,Justise Winslow,Bam Adebayo,Dion Waiters,Goran Dragic,Tim Hardaway Jr.,Kristaps Porzingis,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,4,00:10:32,00:01:28,00:00:04,17,MIA,shot,Justise Winslow,,,,,,,,,Bam Adebayo,2,,,made,,Alley Oop Dunk,1,3,9,24.7,5.9,Adebayo 1' Alley Oop Dunk (2 PTS) (Winslow 1 AST)
