game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700311""",2017-2018 Regular Season,2017-11-29,Ben McLemore,JaMychal Green,Marc Gasol,Dillon Brooks,Tyreke Evans,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700311""",2017-2018 Regular Season,2017-11-29,Ben McLemore,JaMychal Green,Marc Gasol,Dillon Brooks,Tyreke Evans,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Marc Gasol,Pau Gasol,,,,,,,Pau Gasol,,Ben McLemore,,,,jump ball,,,,,,Jump Ball Gasol vs. Gasol: Tip to McLemore
"=""0021700311""",2017-2018 Regular Season,2017-11-29,Ben McLemore,JaMychal Green,Marc Gasol,Dillon Brooks,Tyreke Evans,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,2,0,00:11:53,00:00:07,00:00:07,7,MEM,shot,,,,,,,,,,Ben McLemore,2,,,made,,Finger Roll Layup,3,-9,29,25.9,7.9,McLemore 3' Finger Roll Layup (2 PTS)
"=""0021700311""",2017-2018 Regular Season,2017-11-29,Ben McLemore,JaMychal Green,Marc Gasol,Dillon Brooks,Tyreke Evans,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,2,0,00:11:29,00:00:31,00:00:24,8,SAS,miss,,,,,,,,,,Pau Gasol,0,,,missed,,Pullup Jump Shot,16,-82,134,16.8,75.6,MISS Gasol 16' Pullup Jump Shot
"=""0021700311""",2017-2018 Regular Season,2017-11-29,Ben McLemore,JaMychal Green,Marc Gasol,Dillon Brooks,Tyreke Evans,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,2,0,00:11:27,00:00:33,00:00:02,9,MEM,rebound,,,,,,,,,,JaMychal Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021700311""",2017-2018 Regular Season,2017-11-29,Ben McLemore,JaMychal Green,Marc Gasol,Dillon Brooks,Tyreke Evans,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,2,0,00:11:08,00:00:52,00:00:19,10,MEM,miss,,,,,,,,,,Dillon Brooks,0,,,missed,,Pullup Jump Shot,15,125,80,12.5,13.0,MISS Brooks 15' Pullup Jump Shot
"=""0021700311""",2017-2018 Regular Season,2017-11-29,Ben McLemore,JaMychal Green,Marc Gasol,Dillon Brooks,Tyreke Evans,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,2,0,00:11:06,00:00:54,00:00:02,11,SAS,rebound,,,,,,,,,,Pau Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0021700311""",2017-2018 Regular Season,2017-11-29,Ben McLemore,JaMychal Green,Marc Gasol,Dillon Brooks,Tyreke Evans,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,2,3,00:10:54,00:01:06,00:00:12,12,SAS,shot,Danny Green,,,,,,,,,LaMarcus Aldridge,3,,,made,,Jump Shot,23,230,-11,48.0,90.1,Aldridge  3PT Jump Shot (3 PTS) (Green 1 AST)
"=""0021700311""",2017-2018 Regular Season,2017-11-29,Ben McLemore,JaMychal Green,Marc Gasol,Dillon Brooks,Tyreke Evans,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,2,3,00:10:39,00:01:21,00:00:15,14,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Turnaround Jump Shot,14,12,141,23.8,19.1,MISS Gasol 14' Turnaround Jump Shot
"=""0021700311""",2017-2018 Regular Season,2017-11-29,Ben McLemore,JaMychal Green,Marc Gasol,Dillon Brooks,Tyreke Evans,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,2,3,00:10:35,00:01:25,00:00:04,15,SAS,rebound,,,,,,,,,,Kyle Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:1)
