game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Pau Gasol,Marc Gasol,,,,,,,Marc Gasol,,Kyle Anderson,,,,jump ball,,,,,,Jump Ball Gasol vs. Gasol: Tip to Anderson
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,3,0,00:11:35,00:00:25,00:00:25,7,SAS,shot,Tony Parker,,,,,,,,,LaMarcus Aldridge,3,,,made,,Jump Shot,23,-232,3,48.2,5.3,Aldridge  3PT Jump Shot (3 PTS) (Parker 1 AST)
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,3,0,00:11:15,00:00:45,00:00:20,9,MEM,miss,,,,,,,,,,Marc Gasol,0,,,missed,,Pullup Jump Shot,13,-5,125,24.5,76.5,MISS Gasol 13' Pullup Jump Shot
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,3,0,00:11:12,00:00:48,00:00:03,10,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,3,0,00:10:57,00:01:03,00:00:15,11,MEM,foul,,,,,,,,Pau Gasol,,Tyreke Evans,,,s.foul,,,s.foul,,,,,,Evans S.FOUL (P1.T1) (S.Wall)
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,4,0,00:10:57,00:01:03,00:00:00,13,SAS,free throw,,,,,,,1,,2,Pau Gasol,1,,,made,,Free Throw 1 of 2,,,,,,Gasol Free Throw 1 of 2 (1 PTS)
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,4,0,00:10:57,00:01:03,00:00:00,14,SAS,free throw,,,,,,,2,,2,Pau Gasol,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Gasol Free Throw 2 of 2
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,4,0,00:10:54,00:01:06,00:00:03,15,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,4,2,00:10:39,00:01:21,00:00:15,16,MEM,shot,Dillon Brooks,,,,,,,,,Marc Gasol,2,,,made,,Jump Shot,17,-51,167,19.9,72.3,Gasol 17' Jump Shot (2 PTS) (Brooks 1 AST)
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,6,2,00:10:14,00:01:46,00:00:25,18,SAS,shot,Danny Green,,,,,,,,,Pau Gasol,2,,,made,,Jump Shot,21,-93,185,34.3,23.5,Gasol 21' Jump Shot (3 PTS) (Green 1 AST)
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,6,4,00:09:49,00:02:11,00:00:25,20,MEM,shot,,,,,,,,,,JaMychal Green,2,,,made,,Pullup Jump Shot,16,-163,-17,8.7,90.7,Green 16' Pullup Jump Shot (2 PTS)
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,6,4,00:09:21,00:02:39,00:00:28,21,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Fadeaway Jumper,24,235,0,1.5,5.0,MISS Aldridge 24' 3PT Fadeaway Jumper
"=""0021700323""",2017-2018 Regular Season,2017-12-01,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Dillon Brooks,JaMychal Green,Marc Gasol,Ben McLemore,Tyreke Evans,1,6,4,00:09:20,00:02:40,00:00:01,22,MEM,rebound,,,,,,,,,,Tyreke Evans,,,,,,rebound defensive,,,,,,Evans REBOUND (Off:0 Def:1)
