game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700339""",2017-2018 Regular Season,2017-12-04,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,Elfrid Payton,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700339""",2017-2018 Regular Season,2017-12-04,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,Elfrid Payton,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Nikola Vucevic,Dwight Howard,,,,,,,Dwight Howard,,Marvin Williams,,,,jump ball,,,,,,Jump Ball Howard vs. Vucevic: Tip to Williams
"=""0021700339""",2017-2018 Regular Season,2017-12-04,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,Elfrid Payton,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:44,00:00:16,00:00:16,7,CHA,miss,,,,,,,,,,Nicolas Batum,0,,,missed,,Jump Shot,19,69,174,31.9,71.6,MISS Batum 19' Jump Shot
"=""0021700339""",2017-2018 Regular Season,2017-12-04,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,Elfrid Payton,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:40,00:00:20,00:00:04,8,ORL,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound defensive,,,,,,Payton REBOUND (Off:0 Def:1)
"=""0021700339""",2017-2018 Regular Season,2017-12-04,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,Elfrid Payton,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:11:36,00:00:24,00:00:04,9,ORL,shot,Elfrid Payton,,,,,,,,,Nikola Vucevic,2,,,made,,Jump Shot,19,-15,190,26.5,24.0,Vucevic 19' Jump Shot (2 PTS) (Payton 1 AST)
"=""0021700339""",2017-2018 Regular Season,2017-12-04,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,Elfrid Payton,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:11:17,00:00:43,00:00:19,11,CHA,miss,,,,,,,,,,Dwight Howard,0,,,missed,,Layup,6,-24,55,22.6,83.5,MISS Howard 6' Layup
"=""0021700339""",2017-2018 Regular Season,2017-12-04,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,Elfrid Payton,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:11:15,00:00:45,00:00:02,12,ORL,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound defensive,,,,,,Payton REBOUND (Off:0 Def:2)
"=""0021700339""",2017-2018 Regular Season,2017-12-04,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,Elfrid Payton,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:11:11,00:00:49,00:00:04,13,ORL,miss,,,,Kemba Walker,,,,,,Elfrid Payton,0,,,missed,,Layup,2,7,24,24.3,7.4,"MISS Payton 3' Layup, Walker BLOCK (1 BLK)"
"=""0021700339""",2017-2018 Regular Season,2017-12-04,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,Elfrid Payton,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,0,00:11:07,00:00:53,00:00:04,15,CHA,rebound,,,,,,,,,,Michael Kidd-Gilchrist,,,,,,rebound defensive,,,,,,Kidd-Gilchrist REBOUND (Off:0 Def:1)
"=""0021700339""",2017-2018 Regular Season,2017-12-04,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,Elfrid Payton,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,3,00:10:56,00:01:04,00:00:11,16,CHA,shot,,,,,,,,,,Kemba Walker,3,,,made,,Jump Shot,25,122,223,37.2,66.7,Walker 25' 3PT Jump Shot (3 PTS)
