game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,John Henson,Al Horford,,,,,,,Al Horford,,Kyrie Irving,,,,jump ball,,,,,,Jump Ball Horford vs. Henson: Tip to Irving
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,2,00:11:37,00:00:23,00:00:23,7,BOS,shot,,,,,,,,,,Kyrie Irving,2,,,made,,unknown,3,10,31,26.0,85.9,Irving 3' Driving Floating Bank Jump Shot (2 PTS)
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,2,00:11:21,00:00:39,00:00:16,8,MIL,miss,,,,,,,,,,Tony Snell,0,,,missed,,Pullup Jump Shot,15,49,145,20.1,19.5,MISS Snell 15' Pullup Jump Shot
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,2,00:11:19,00:00:41,00:00:02,9,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,5,00:11:10,00:00:50,00:00:09,10,BOS,shot,Jaylen Brown,,,,,,,,,Jayson Tatum,3,,,made,,Jump Shot,26,-186,188,6.4,70.2,Tatum 26' 3PT Jump Shot (3 PTS) (Brown 1 AST)
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,5,00:10:50,00:01:10,00:00:20,12,MIL,shot,,,,,,,,,,Eric Bledsoe,2,,,made,,unknown,3,7,25,24.3,7.5,Bledsoe 3' Driving Layup (2 PTS)
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,5,00:10:27,00:01:33,00:00:23,13,BOS,miss,,,,,,,,,,Jaylen Brown,0,,,missed,,Jump Shot,25,151,203,40.1,68.7,MISS Brown 25' 3PT Jump Shot
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,5,00:10:24,00:01:36,00:00:03,14,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:0 Def:1)
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,5,00:10:21,00:01:39,00:00:03,15,BOS,foul,,,,,,,,Khris Middleton,,Jaylen Brown,,,s.foul,,,s.foul,,,,,,Brown S.FOUL (P1.T1) (B.Barnaky)
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,3,5,00:10:21,00:01:39,00:00:00,17,MIL,free throw,,,,,,,1,,2,Khris Middleton,1,,,made,,Free Throw 1 of 2,,,,,,Middleton Free Throw 1 of 2 (1 PTS)
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,4,5,00:10:21,00:01:39,00:00:00,18,MIL,free throw,,,,,,,2,,2,Khris Middleton,1,,,made,,Free Throw 2 of 2,,,,,,Middleton Free Throw 2 of 2 (2 PTS)
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,4,5,00:10:07,00:01:53,00:00:14,19,BOS,turnover,,,,,,,,,,Al Horford,,,lost ball ,,Khris Middleton,lost ball ,,,,,,"Middleton STEAL (1 STL), Horford Lost Ball Turnover (P1.T1)"
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,6,5,00:10:04,00:01:56,00:00:03,21,MIL,shot,Khris Middleton,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Running Dunk,0,1,4,24.9,5.4,Antetokounmpo  Running Dunk (2 PTS) (Middleton 1 AST)
"=""0021700343""",2017-2018 Regular Season,2017-12-04,Khris Middleton,Giannis Antetokounmpo,John Henson,Tony Snell,Eric Bledsoe,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,6,5,00:09:53,00:02:07,00:00:11,23,MIL,foul,,,,,,,,Aron Baynes,,Tony Snell,,,s.foul,,,s.foul,,,,,,Snell S.FOUL (P1.T1) (S.Wright)
