game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700348""",2017-2018 Regular Season,2017-12-04,Anthony Tolliver,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700348""",2017-2018 Regular Season,2017-12-04,Anthony Tolliver,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Andre Drummond,Pau Gasol,,,,,,,Pau Gasol,,Tony Parker,,,,jump ball,,,,,,Jump Ball Gasol vs. Drummond: Tip to Parker
"=""0021700348""",2017-2018 Regular Season,2017-12-04,Anthony Tolliver,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,0,0,00:11:45,00:00:15,00:00:15,7,SAS,turnover,,,,,,,,,,Tony Parker,,,bad pass ,,Reggie Jackson,bad pass ,,,,,,"Jackson STEAL (1 STL), Parker Bad Pass Turnover (P1.T1)"
"=""0021700348""",2017-2018 Regular Season,2017-12-04,Anthony Tolliver,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,3,0,00:11:39,00:00:21,00:00:06,9,DET,shot,Reggie Jackson,,,,,,,,,Tobias Harris,3,,,made,,unknown,26,142,219,10.8,26.9,Harris 26' 3PT Running Pull-Up Jump Shot (3 PTS) (Jackson 1 AST)
"=""0021700348""",2017-2018 Regular Season,2017-12-04,Anthony Tolliver,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,3,2,00:11:21,00:00:39,00:00:18,11,SAS,shot,Rudy Gay,,,,,,,,,Tony Parker,2,,,made,,Driving Finger Roll Layup,4,-13,42,23.7,84.8,Parker 4' Driving Finger Roll Layup (2 PTS) (Gay 1 AST)
"=""0021700348""",2017-2018 Regular Season,2017-12-04,Anthony Tolliver,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,3,2,00:11:03,00:00:57,00:00:18,13,DET,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Jump Shot,21,-19,206,26.9,25.6,MISS Bradley 21' Jump Shot
"=""0021700348""",2017-2018 Regular Season,2017-12-04,Anthony Tolliver,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,3,2,00:10:59,00:01:01,00:00:04,14,SAS,rebound,,,,,,,,,,Pau Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0021700348""",2017-2018 Regular Season,2017-12-04,Anthony Tolliver,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,3,5,00:10:52,00:01:08,00:00:07,15,SAS,shot,Tony Parker,,,,,,,,,Rudy Gay,3,,,made,,Jump Shot,23,232,-4,48.2,89.4,Gay  3PT Jump Shot (3 PTS) (Parker 1 AST)
"=""0021700348""",2017-2018 Regular Season,2017-12-04,Anthony Tolliver,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,6,5,00:10:29,00:01:31,00:00:23,17,DET,shot,Avery Bradley,,,,,,,,,Reggie Jackson,3,,,made,,Jump Shot,28,158,231,9.2,28.1,Jackson 28' 3PT Jump Shot (3 PTS) (Bradley 1 AST)
"=""0021700348""",2017-2018 Regular Season,2017-12-04,Anthony Tolliver,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,Rudy Gay,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,1,6,5,00:10:05,00:01:55,00:00:24,19,SAS,miss,,,,,,,,,,Danny Green,0,,,missed,,unknown,8,-11,83,23.9,80.7,MISS Green 8' Driving Floating Jump Shot
