game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,Marcin Gortat,Rudy Gobert,,,,,,,Rudy Gobert,,Tim Frazier,,,,jump ball,,,,,,Jump Ball Gobert vs. Gortat: Tip to Frazier
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,0,00:11:38,00:00:22,00:00:22,7,WAS,shot,Marcin Gortat,,,,,,,,,Markieff Morris,2,,,made,,Reverse Layup,3,-27,5,27.7,5.5,Mark Morris 3' Reverse Layup (2 PTS) (Gortat 1 AST)
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:11:14,00:00:46,00:00:24,9,UTA,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,unknown,2,-17,10,23.3,88.0,Mitchell 2' Driving Layup (2 PTS)
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:10:59,00:01:01,00:00:15,10,WAS,miss,,,,,,,,,,Marcin Gortat,0,,,missed,,Jump Shot,11,-5,110,25.5,16.0,MISS Gortat 11' Jump Shot
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:10:56,00:01:04,00:00:03,11,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:10:39,00:01:21,00:00:17,12,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Floating Jump Shot,12,69,96,31.9,79.4,MISS Favors 12' Floating Jump Shot
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:10:39,00:01:21,00:00:00,13,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound offensive,,,,,,Gobert REBOUND (Off:1 Def:1)
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:10:39,00:01:21,00:00:00,49,UTA,miss,,,,,,,,,,Rudy Gobert,0,,,missed,,unknown,2,16,7,26.6,88.3,MISS Gobert 2' Tip Layup Shot
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:10:39,00:01:21,00:00:00,50,WAS,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound defensive,,,,,,Gortat REBOUND (Off:0 Def:1)
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:10:25,00:01:35,00:00:14,14,WAS,miss,,,,,,,,,,Bradley Beal,0,,,missed,,Layup,2,-20,13,27.0,6.3,MISS Beal 2' Layup
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,2,00:10:22,00:01:38,00:00:03,15,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:1 Def:2)
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,2,4,00:10:16,00:01:44,00:00:06,16,UTA,shot,Rudy Gobert,,,,,,,,,Derrick Favors,2,,,made,,Layup,1,-13,6,23.7,88.4,Favors 1' Layup (2 PTS) (Gobert 1 AST)
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,4,00:09:47,00:02:13,00:00:29,18,WAS,shot,Marcin Gortat,,,,,,,,,Bradley Beal,2,,,made,,Pullup Jump Shot,21,133,167,11.7,21.7,Beal 21' Pullup Jump Shot (2 PTS) (Gortat 2 AST)
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,6,00:09:36,00:02:24,00:00:11,20,UTA,shot,Derrick Favors,,,,,,,,,Donovan Mitchell,2,,,made,,unknown,10,-44,88,20.6,80.2,Mitchell 10' Driving Floating Jump Shot (4 PTS) (Favors 1 AST)
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,6,00:09:20,00:02:40,00:00:16,22,WAS,miss,,,,,,,,,,Bradley Beal,0,,,missed,,Jump Shot,26,199,164,5.1,21.4,MISS Beal 26' 3PT Jump Shot
"=""0021700349""",2017-2018 Regular Season,2017-12-04,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,4,6,00:09:18,00:02:42,00:00:02,23,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,JAZZ Rebound
