game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700353""",2017-2018 Regular Season,2017-12-06,Garrett Temple,Zach Randolph,JaKarr Sampson,George Hill,De'Aaron Fox,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700353""",2017-2018 Regular Season,2017-12-06,Garrett Temple,Zach Randolph,JaKarr Sampson,George Hill,De'Aaron Fox,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,JaKarr Sampson,Kevin Love,,,,,,,Kevin Love,,Zach Randolph,,,,jump ball,,,,,,Jump Ball Love vs. Sampson: Tip to Randolph
"=""0021700353""",2017-2018 Regular Season,2017-12-06,Garrett Temple,Zach Randolph,JaKarr Sampson,George Hill,De'Aaron Fox,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,0,00:11:36,00:00:24,00:00:24,8,SAC,miss,,,,,,,,,,Garrett Temple,0,,,missed,,Step Back Jump Shot,23,229,38,2.1,8.8,MISS Temple  3PT Step Back Jump Shot
"=""0021700353""",2017-2018 Regular Season,2017-12-06,Garrett Temple,Zach Randolph,JaKarr Sampson,George Hill,De'Aaron Fox,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,0,00:11:33,00:00:27,00:00:03,9,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound defensive,,,,,,Love REBOUND (Off:0 Def:1)
"=""0021700353""",2017-2018 Regular Season,2017-12-06,Garrett Temple,Zach Randolph,JaKarr Sampson,George Hill,De'Aaron Fox,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,0,2,00:11:21,00:00:39,00:00:12,10,CLE,shot,LeBron James,,,,,,,,,Kevin Love,2,,,made,,Reverse Layup,0,-2,2,24.8,88.8,Love  Reverse Layup (2 PTS) (James 1 AST)
"=""0021700353""",2017-2018 Regular Season,2017-12-06,Garrett Temple,Zach Randolph,JaKarr Sampson,George Hill,De'Aaron Fox,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,2,2,00:11:10,00:00:50,00:00:11,12,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,unknown,5,-52,8,30.2,5.8,Fox 5' Driving Floating Bank Jump Shot (2 PTS)
"=""0021700353""",2017-2018 Regular Season,2017-12-06,Garrett Temple,Zach Randolph,JaKarr Sampson,George Hill,De'Aaron Fox,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,2,2,00:11:00,00:01:00,00:00:10,13,CLE,miss,,,,De'Aaron Fox,,,,,,Jose Calderon,0,,,missed,,unknown,3,13,26,26.3,86.4,"Fox BLOCK (1 BLK), MISS Calderon 3' Cutting Layup Shot"
"=""0021700353""",2017-2018 Regular Season,2017-12-06,Garrett Temple,Zach Randolph,JaKarr Sampson,George Hill,De'Aaron Fox,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,2,2,00:10:56,00:01:04,00:00:04,15,SAC,rebound,,,,,,,,,,JaKarr Sampson,,,,,,rebound defensive,,,,,,Sampson REBOUND (Off:0 Def:1)
"=""0021700353""",2017-2018 Regular Season,2017-12-06,Garrett Temple,Zach Randolph,JaKarr Sampson,George Hill,De'Aaron Fox,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,2,2,00:10:41,00:01:19,00:00:15,16,SAC,foul,,,,,,,,Jose Calderon,,De'Aaron Fox,,,off.foul,,,off.foul,,,,,,Fox OFF.Foul (P1) (C.Blair)
"=""0021700353""",2017-2018 Regular Season,2017-12-06,Garrett Temple,Zach Randolph,JaKarr Sampson,George Hill,De'Aaron Fox,LeBron James,Jae Crowder,Kevin Love,JR Smith,Jose Calderon,1,2,2,00:10:41,00:01:19,00:00:00,18,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,offensive foul turnover,,,offensive foul turnover,,,,,,Fox Offensive Foul Turnover (P1.T1)
