game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Maxi Kleber,John Henson,,,,,,,John Henson,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Henson vs. Kleber: Tip to Antetokounmpo
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,0,2,00:11:47,00:00:13,00:00:13,7,MIL,shot,,,,,,,,,,Eric Bledsoe,2,,,made,,Jump Shot,19,-99,160,15.1,73.0,Bledsoe 19' Jump Shot (2 PTS)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,0,2,00:11:34,00:00:26,00:00:13,9,DAL,miss,,,,,,,,,,Dirk Nowitzki,0,,,missed,,Jump Shot,22,19,218,23.1,26.8,MISS Nowitzki 22' Jump Shot
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,0,2,00:11:34,00:00:26,00:00:00,10,MIL,rebound,,,,,,,,,,Gary Payton II,,,,,,rebound defensive,,,,,,Payton II REBOUND (Off:0 Def:1)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,0,2,00:11:23,00:00:37,00:00:11,11,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Jump Shot,13,-17,127,23.3,76.3,MISS Bledsoe 13' Jump Shot
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,0,2,00:11:23,00:00:37,00:00:00,12,MIL,rebound,,,,,,,,,,Eric Bledsoe,,,,,,rebound offensive,,,,,,Bledsoe REBOUND (Off:1 Def:0)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,0,2,00:11:10,00:00:50,00:00:13,13,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,Jump Shot,20,-3,204,24.7,68.6,MISS Middleton 20' Jump Shot
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,0,2,00:11:10,00:00:50,00:00:00,14,DAL,rebound,,,,,,,,,,Wesley Matthews,,,,,,rebound defensive,,,,,,Matthews REBOUND (Off:0 Def:1)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,0,2,00:11:00,00:01:00,00:00:10,15,MIL,foul,,,,,,,,,,Giannis Antetokounmpo,,,t.foul def. 3 sec,,,t.foul def. 3 sec,,,,,,BUCKS T.Foul (Def. 3 Sec Antetokounmpo ) (D.Guthrie)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,2,00:11:00,00:01:00,00:00:00,16,DAL,free throw,,,,,,,1,,1,Dirk Nowitzki,1,,,made,,Free Throw Technical,,,,,,Nowitzki Free Throw Technical (1 PTS)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,2,00:10:49,00:01:11,00:00:11,17,DAL,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Jump Shot,27,100,248,15.0,29.8,MISS Barnes 27' 3PT Jump Shot
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,2,00:10:45,00:01:15,00:00:04,18,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:1)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,2,00:10:32,00:01:28,00:00:13,19,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,unknown,2,6,17,25.6,87.3,MISS Antetokounmpo 2' Driving Layup
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,2,00:10:32,00:01:28,00:00:00,20,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,BUCKS Rebound
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,2,00:10:27,00:01:33,00:00:05,21,MIL,jump ball,,Yogi Ferrell,Giannis Antetokounmpo,,,,,,,Giannis Antetokounmpo,,Gary Payton II,,,,jump ball,,,,,,Jump Ball Antetokounmpo vs. Ferrell: Tip to Payton II
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,4,00:10:21,00:01:39,00:00:06,24,MIL,shot,,,,,,,,,,Eric Bledsoe,2,,,made,,unknown,1,5,7,25.5,88.3,Bledsoe 1' Driving Layup (4 PTS)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,4,00:10:12,00:01:48,00:00:09,25,MIL,foul,,,,,,,,Wesley Matthews,,Gary Payton II,,,p.foul,,,p.foul,,,,,,Payton II P.FOUL (P1.T1) (M.Callahan)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,4,00:10:05,00:01:55,00:00:07,27,DAL,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Hook Shot,8,3,79,24.7,12.9,MISS Barnes 8' Hook Shot
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,4,00:10:02,00:01:58,00:00:03,28,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:2)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,4,00:09:56,00:02:04,00:00:06,29,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,Jump Shot,18,178,43,42.8,84.7,MISS Antetokounmpo 18' Jump Shot
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,1,4,00:09:54,00:02:06,00:00:02,30,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Mavericks Rebound
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,4,4,00:09:40,00:02:20,00:00:14,31,DAL,shot,Harrison Barnes,,,,,,,,,Wesley Matthews,3,,,made,,Jump Shot,28,65,273,18.5,32.3,Matthews 28' 3PT Jump Shot (3 PTS) (Barnes 1 AST)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,4,4,00:09:27,00:02:33,00:00:13,33,DAL,foul,,,,,,,,Eric Bledsoe,,Yogi Ferrell,,,p.foul,,,p.foul,,,,,,Ferrell P.FOUL (P1.T1) (D.Guthrie)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,4,6,00:09:23,00:02:37,00:00:04,35,MIL,shot,Khris Middleton,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Alley Oop Dunk,1,6,10,25.6,88.0,Antetokounmpo 1' Alley Oop Dunk (2 PTS) (Middleton 1 AST)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,6,6,00:09:03,00:02:57,00:00:20,37,DAL,shot,,,,,,,,,,Wesley Matthews,2,,,made,,Jump Shot,8,22,80,22.8,13.0,Matthews 8' Jump Shot (5 PTS)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,6,8,00:08:53,00:03:07,00:00:10,38,MIL,shot,,,,,,,,,,Khris Middleton,2,,,made,,Pullup Jump Shot,15,122,86,37.2,80.4,Middleton 15' Pullup Jump Shot (2 PTS)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,6,8,00:08:28,00:03:32,00:00:25,39,DAL,miss,,,,,,,,,,Dirk Nowitzki,0,,,missed,,Jump Shot,15,-147,43,39.7,9.3,MISS Nowitzki 15' Jump Shot
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,6,8,00:08:26,00:03:34,00:00:02,40,MIL,rebound,,,,,,,,,,John Henson,,,,,,rebound defensive,,,,,,Henson REBOUND (Off:0 Def:1)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,6,8,00:08:20,00:03:40,00:00:06,41,MIL,miss,,,,,,,,,,Gary Payton II,0,,,missed,,Jump Shot,23,228,18,47.8,87.2,MISS Payton II  3PT Jump Shot
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,6,8,00:08:17,00:03:43,00:00:03,42,DAL,rebound,,,,,,,,,,Yogi Ferrell,,,,,,rebound defensive,,,,,,Ferrell REBOUND (Off:0 Def:1)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,6,8,00:08:06,00:03:54,00:00:11,43,DAL,miss,,,,Eric Bledsoe,,,,,,Yogi Ferrell,0,,,missed,,unknown,4,5,37,24.5,8.7,"MISS Ferrell 4' Driving Layup, Bledsoe BLOCK (1 BLK)"
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,6,8,00:08:06,00:03:54,00:00:00,45,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,BUCKS Rebound
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,6,10,00:07:53,00:04:07,00:00:13,46,MIL,shot,Eric Bledsoe,,,,,,,,,Giannis Antetokounmpo,2,,,made,,Hook Shot,7,0,71,25.0,81.9,Antetokounmpo 7' Hook Shot (4 PTS) (Bledsoe 1 AST)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,8,10,00:07:33,00:04:27,00:00:20,48,DAL,shot,Harrison Barnes,,,,,,,,,Maxi Kleber,2,,,made,,unknown,2,-8,19,25.8,6.9,Kleber 2' Cutting Dunk Shot (2 PTS) (Barnes 2 AST)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,8,10,00:07:19,00:04:41,00:00:14,50,DAL,foul,,,,,,,,Eric Bledsoe,,Yogi Ferrell,,,s.foul,,,s.foul,,,,,,Ferrell S.FOUL (P2.T2) (D.Guthrie)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,8,11,00:07:19,00:04:41,00:00:00,52,MIL,free throw,,,,,,,1,,2,Eric Bledsoe,1,,,made,,Free Throw 1 of 2,,,,,,Bledsoe Free Throw 1 of 2 (5 PTS)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Gary Payton II,Eric Bledsoe,1,8,12,00:07:19,00:04:41,00:00:00,58,MIL,free throw,,,,,,,2,,2,Eric Bledsoe,1,,,made,,Free Throw 2 of 2,,,,,,Bledsoe Free Throw 2 of 2 (6 PTS)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Yogi Ferrell,Khris Middleton,Giannis Antetokounmpo,John Henson,Eric Bledsoe,Rashad Vaughn,1,8,12,00:07:19,00:04:41,00:00:00,53,MIL,sub,,,,,Rashad Vaughn,Gary Payton II,,,,Gary Payton II,,,,,,sub,,,,,,SUB: Vaughn FOR Payton II
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,J.J. Barea,Khris Middleton,Giannis Antetokounmpo,John Henson,Eric Bledsoe,Rashad Vaughn,1,8,12,00:07:19,00:04:41,00:00:00,54,DAL,sub,,,,,J.J. Barea,Yogi Ferrell,,,,Yogi Ferrell,,,,,,sub,,,,,,SUB: Barea FOR Ferrell
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,J.J. Barea,Khris Middleton,Giannis Antetokounmpo,John Henson,Eric Bledsoe,Rashad Vaughn,1,8,12,00:07:00,00:05:00,00:00:19,57,DAL,miss,,,,,,,,,,Dirk Nowitzki,0,,,missed,,Jump Shot,26,150,218,10.0,26.8,MISS Nowitzki 26' 3PT Jump Shot
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,J.J. Barea,Khris Middleton,Giannis Antetokounmpo,John Henson,Eric Bledsoe,Rashad Vaughn,1,8,12,00:06:53,00:05:07,00:00:07,59,MIL,rebound,,,,,,,,,,John Henson,,,,,,rebound defensive,,,,,,Henson REBOUND (Off:0 Def:2)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,J.J. Barea,Khris Middleton,Giannis Antetokounmpo,John Henson,Eric Bledsoe,Rashad Vaughn,1,8,12,00:06:52,00:05:08,00:00:01,60,DAL,foul,,,,,,,,Giannis Antetokounmpo,,Maxi Kleber,,,s.foul,,,s.foul,,,,,,Kleber S.FOUL (P1.T3) (B.Adair)
"=""0021700372""",2017-2018 Regular Season,2017-12-08,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,J.J. Barea,Khris Middleton,Giannis Antetokounmpo,John Henson,Eric Bledsoe,Rashad Vaughn,1,8,12,00:06:52,00:05:08,00:00:00,62,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,BUCKS Timeout: Regular (Full 1 Short 0)
