game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,0,0,00:11:57,00:00:03,00:00:03,5,WAS,foul,,,,,,,,DeAndre Jordan,,Marcin Gortat,,,l.b.foul,,,l.b.foul,,,,,,Gortat L.B.FOUL (P1.T1) (C.Washington)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,0,0,00:11:45,00:00:15,00:00:12,7,LAC,turnover,,,,,,,,,,DeAndre Jordan,,,,,,unknown,,,,,,Jordan Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:11:34,00:00:26,00:00:11,8,WAS,shot,Bradley Beal,,,,,,,,,Marcin Gortat,2,,,made,,Turnaround Hook Shot,9,41,79,20.9,12.9,Gortat 9' Turnaround Hook Shot (2 PTS) (Beal 1 AST)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:11:22,00:00:38,00:00:12,10,LAC,miss,,,,,,,,,,Sindarius Thornwell,0,,,missed,,Jump Shot,21,212,22,46.2,86.8,MISS Thornwell 21' Jump Shot
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:11:21,00:00:39,00:00:01,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Wizards Rebound
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:11:08,00:00:52,00:00:13,12,LAC,foul,,,,,,,,Marcin Gortat,,DeAndre Jordan,,,p.foul,,,p.foul,,,,,,Jordan P.FOUL (P1.T1) (R.Mott)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:11:02,00:00:58,00:00:06,14,WAS,miss,,,,,,,,,,Bradley Beal,0,,,missed,,Jump Shot,25,73,236,17.7,28.6,MISS Beal 25' 3PT Jump Shot
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:11:01,00:00:59,00:00:01,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CLIPPERS Rebound
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:10:44,00:01:16,00:00:17,16,LAC,miss,,,,,,,,,,Danilo Gallinari,0,,,missed,,Jump Shot,16,-95,129,15.5,76.1,MISS Gallinari 16' Jump Shot
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:10:39,00:01:21,00:00:05,17,WAS,rebound,,,,,,,,,,Otto Porter Jr.,,,,,,rebound defensive,,,,,,Porter Jr. REBOUND (Off:0 Def:1)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:10:36,00:01:24,00:00:03,18,LAC,violation,,,,,,,,,,Wesley Johnson,,,,,,violation:kicked ball,,,,,,W. Johnson Violation:Kicked Ball (C.Washington)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:10:21,00:01:39,00:00:15,19,WAS,turnover,,,,,,,,,,Marcin Gortat,,,bad pass ,,Sindarius Thornwell,bad pass ,,,,,,"Gortat Bad Pass Turnover (P1.T1), Thornwell STEAL (1 STL)"
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:10:10,00:01:50,00:00:11,21,LAC,miss,,,,,,,,,,Wesley Johnson,0,,,missed,,Jump Shot,25,-156,189,9.4,70.1,MISS W. Johnson 25' 3PT Jump Shot
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,2,0,00:10:07,00:01:53,00:00:03,22,WAS,rebound,,,,,,,,,,Tim Frazier,,,,,,rebound defensive,,,,,,Frazier REBOUND (Off:0 Def:1)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,4,0,00:09:57,00:02:03,00:00:10,23,WAS,shot,Otto Porter Jr.,,,,,,,,,Marcin Gortat,2,,,made,,Floating Jump Shot,13,-65,109,31.5,15.9,Gortat 13' Floating Jump Shot (4 PTS) (Porter Jr. 1 AST)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,4,0,00:09:38,00:02:22,00:00:19,25,LAC,miss,,,,,,,,,,Austin Rivers,0,,,missed,,unknown,2,11,13,26.1,87.7,MISS Rivers 2' Driving Layup
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,4,0,00:09:36,00:02:24,00:00:02,26,WAS,rebound,,,,,,,,,,Tim Frazier,,,,,,rebound defensive,,,,,,Frazier REBOUND (Off:0 Def:2)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,7,0,00:09:32,00:02:28,00:00:04,27,WAS,shot,Tim Frazier,,,,,,,,,Otto Porter Jr.,3,,,made,,Jump Shot,25,172,178,7.8,22.8,Porter Jr. 25' 3PT Jump Shot (3 PTS) (Frazier 1 AST)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,7,0,00:09:29,00:02:31,00:00:03,29,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,CLIPPERS Timeout: Regular (Full 1 Short 0)
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,7,0,00:09:14,00:02:46,00:00:15,33,LAC,miss,,,,,,,,,,Danilo Gallinari,0,,,missed,,Jump Shot,25,-146,204,10.4,68.6,MISS Gallinari 25' 3PT Jump Shot
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,7,0,00:09:11,00:02:49,00:00:03,34,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Wizards Rebound
"=""0021700375""",2017-2018 Regular Season,2017-12-09,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,Tim Frazier,Wesley Johnson,Danilo Gallinari,DeAndre Jordan,Sindarius Thornwell,Austin Rivers,1,7,0,00:08:51,00:03:09,00:00:20,35,WAS,miss,,,,,,,,,,Tim Frazier,0,,,missed,,Pullup Jump Shot,20,141,136,10.9,18.6,MISS Frazier 20' Pullup Jump Shot
