game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Brook Lopez,Dwight Howard,,,,,,,Dwight Howard,,Marvin Williams,,,,jump ball,,,,,,Jump Ball Howard vs. Lopez: Tip to Williams
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:42,00:00:18,00:00:18,8,CHA,miss,,,,,,,,,,Dwight Howard,0,,,missed,,Hook Shot,9,-81,32,16.9,85.8,MISS Howard 9' Hook Shot
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:40,00:00:20,00:00:02,9,LAL,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound defensive,,,,,,Nance Jr. REBOUND (Off:0 Def:1)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:21,00:00:39,00:00:19,10,CHA,foul,,,,,,,,Brook Lopez,,Dwight Howard,,,p.foul,,,p.foul,,,,,,Howard P.FOUL (P1.T1) (C.Blair)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:17,00:00:43,00:00:04,12,CHA,foul,,,,,,,,Lonzo Ball,,Kemba Walker,,,s.foul,,,s.foul,,,,,,Walker S.FOUL (P1.T2) (D.Guthrie)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:17,00:00:43,00:00:00,14,LAL,free throw,,,,,,,1,,2,Lonzo Ball,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Ball Free Throw 1 of 2
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:17,00:00:43,00:00:00,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Lakers Rebound
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:17,00:00:43,00:00:00,16,LAL,free throw,,,,,,,2,,2,Lonzo Ball,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Ball Free Throw 2 of 2
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:14,00:00:46,00:00:03,17,CHA,rebound,,,,,,,,,,Dwight Howard,,,,,,rebound defensive,,,,,,Howard REBOUND (Off:0 Def:1)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:11:05,00:00:55,00:00:09,18,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Jump Shot,16,-20,158,23.0,73.2,MISS Walker 16' Jump Shot
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,00:10:59,00:01:01,00:00:06,19,CHA,rebound,,,,,,,,,,Dwight Howard,,,,,,rebound offensive,,,,,,Howard REBOUND (Off:1 Def:1)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,2,00:10:59,00:01:01,00:00:00,20,CHA,shot,,,,,,,,,,Dwight Howard,2,,,made,,Putback Dunk,1,0,-6,25.0,89.6,Howard 1' Putback Dunk (2 PTS)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,2,00:10:55,00:01:05,00:00:04,21,LAL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Layup,2,6,17,24.4,6.7,MISS Lopez 2' Layup
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,2,00:10:52,00:01:08,00:00:03,22,LAL,rebound,,,,,,,,,,Brandon Ingram,,,,,,rebound offensive,,,,,,Ingram REBOUND (Off:1 Def:0)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,2,00:10:52,00:01:08,00:00:00,23,LAL,shot,,,,,,,,,,Brandon Ingram,2,,,made,,Putback Dunk,1,0,-6,25.0,4.4,Ingram 1' Putback Dunk (2 PTS)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,2,4,00:10:42,00:01:18,00:00:10,24,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,unknown,1,13,7,26.3,88.3,Walker 1' Driving Layup (2 PTS)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,4,4,00:10:35,00:01:25,00:00:07,25,LAL,shot,,,,,,,,,,Lonzo Ball,2,,,made,,unknown,1,3,11,24.7,6.1,Ball 1' Driving Layup (2 PTS)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,4,6,00:10:18,00:01:42,00:00:17,26,CHA,shot,Marvin Williams,,,,,,,,,Michael Kidd-Gilchrist,2,,,made,,unknown,1,3,5,25.3,88.5,Kidd-Gilchrist 1' Driving Layup (2 PTS) (Williams 1 AST)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,7,6,00:09:59,00:02:01,00:00:19,28,LAL,shot,Brandon Ingram,,,,,,,,,Lonzo Ball,3,,,made,,Jump Shot,26,88,240,16.2,29.0,Ball 26' 3PT Jump Shot (5 PTS) (Ingram 1 AST)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,7,8,00:09:40,00:02:20,00:00:19,30,CHA,shot,,,,,,,,,,Marvin Williams,2,,,made,,Hook Shot,7,-27,63,22.3,82.7,Williams 7' Hook Shot (2 PTS)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,7,8,00:09:24,00:02:36,00:00:16,31,LAL,miss,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,Layup,6,-58,26,30.8,7.6,MISS Caldwell-Pope 6' Layup
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,7,8,00:09:22,00:02:38,00:00:02,32,CHA,rebound,,,,,,,,,,Michael Kidd-Gilchrist,,,,,,rebound defensive,,,,,,Kidd-Gilchrist REBOUND (Off:0 Def:1)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,7,10,00:09:16,00:02:44,00:00:06,33,CHA,shot,Nicolas Batum,,,,,,,,,Dwight Howard,2,,,made,,unknown,1,-5,12,24.5,87.8,Howard 1' Cutting Dunk Shot (4 PTS) (Batum 1 AST)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,9,10,00:08:55,00:03:05,00:00:21,35,LAL,shot,Brook Lopez,,,,,,,,,Larry Nance Jr.,2,,,made,,Jump Shot,10,23,101,22.7,15.1,Nance Jr. 10' Jump Shot (2 PTS) (Lopez 1 AST)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,9,10,00:08:39,00:03:21,00:00:16,37,CHA,miss,,,,,,,,,,Nicolas Batum,0,,,missed,,Jump Shot,23,-231,17,1.9,87.3,MISS Batum  3PT Jump Shot
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,9,10,00:08:36,00:03:24,00:00:03,38,LAL,rebound,,,,,,,,,,Brandon Ingram,,,,,,rebound defensive,,,,,,Ingram REBOUND (Off:1 Def:1)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,9,10,00:08:30,00:03:30,00:00:06,39,LAL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,25,82,237,16.8,28.7,MISS Lopez 25' 3PT Jump Shot
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,9,10,00:08:28,00:03:32,00:00:02,40,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Lakers Rebound
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,9,10,00:08:28,00:03:32,00:00:00,41,CHA,foul,,,,,,,,Larry Nance Jr.,,Marvin Williams,,,l.b.foul,,,l.b.foul,,,,,,Williams L.B.FOUL (P1.T3) (C.Blair)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,9,10,00:08:22,00:03:38,00:00:06,43,LAL,turnover,,,,,,,,,,Brandon Ingram,,,traveling ,,,traveling ,,,,,,Ingram Traveling Turnover (P1.T1)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,9,10,00:08:04,00:03:56,00:00:18,44,CHA,miss,,,,,,,,,,Dwight Howard,0,,,missed,,Reverse Layup,2,13,12,26.3,87.8,MISS Howard 2' Reverse Layup
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,9,10,00:08:02,00:03:58,00:00:02,45,LAL,rebound,,,,,,,,,,Brook Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,11,10,00:07:56,00:04:04,00:00:06,46,LAL,shot,Lonzo Ball,,,,,,,,,Brandon Ingram,2,,,made,,Layup,1,11,9,23.9,5.9,Ingram 1' Layup (4 PTS) (Ball 1 AST)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,11,13,00:07:46,00:04:14,00:00:10,48,CHA,shot,,,,,,,,,,Kemba Walker,3,,,made,,Jump Shot,26,-84,242,16.6,64.8,Walker 26' 3PT Jump Shot (5 PTS)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,13,13,00:07:36,00:04:24,00:00:10,49,LAL,shot,Lonzo Ball,,,,,,,,,Brook Lopez,2,,,made,,Hook Shot,10,-30,92,28.0,14.2,Lopez 10' Hook Shot (2 PTS) (Ball 2 AST)
"=""0021700377""",2017-2018 Regular Season,2017-12-09,Brandon Ingram,Larry Nance Jr.,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,13,15,00:07:24,00:04:36,00:00:12,51,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,Pullup Jump Shot,17,41,160,29.1,73.0,Walker 17' Pullup Jump Shot (7 PTS)
