game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,DEN,jump ball,,Mason Plumlee,Andre Drummond,,,,,,,Andre Drummond,,Will Barton,,,,jump ball,,,,,,Jump Ball Drummond vs. Plumlee: Tip to Barton
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:11:45,00:00:15,00:00:15,7,DEN,shot,Will Barton,,,,,,,,,Jamal Murray,2,,,made,,Floating Jump Shot,7,-27,69,27.7,11.9,Murray 7' Floating Jump Shot (2 PTS) (Barton 1 AST)
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:11:45,00:00:15,00:00:00,9,DET,violation,,,,,,,,,,Andre Drummond,,,,,,violation:defensive goaltending,,,,,,Drummond Violation:Defensive Goaltending (T.Brown)
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:11:27,00:00:33,00:00:18,10,DET,foul,,,,,,,,Wilson Chandler,,Andre Drummond,,,p.foul,,,p.foul,,,,,,Drummond P.FOUL (P1.T1) (J.Williams)
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:11:27,00:00:33,00:00:00,12,DET,turnover,,,,,,,,,,Andre Drummond,,,turnover,,,turnover,,,,,,Drummond No Turnover (P1.T1)
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:11:05,00:00:55,00:00:22,13,DEN,miss,,,,,,,,,,Will Barton,0,,,missed,,Fadeaway Jumper,17,58,157,19.2,20.7,MISS Barton 17' Fadeaway Jumper
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:11:02,00:00:58,00:00:03,14,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:11:02,00:00:58,00:00:00,15,DET,turnover,,,,,,,,,,Andre Drummond,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Drummond Out of Bounds Lost Ball Turnover (P2.T2)
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:53,00:01:07,00:00:09,16,DEN,turnover,,,,,,,,,,Jamal Murray,,,lost ball ,,Reggie Bullock,lost ball ,,,,,,"Murray Lost Ball Turnover (P1.T1), Bullock STEAL (1 STL)"
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:41,00:01:19,00:00:12,18,DET,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Jump Shot,24,41,233,29.1,65.7,MISS Bradley 24' Jump Shot
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:39,00:01:21,00:00:02,19,DEN,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:1)
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:29,00:01:31,00:00:10,20,DEN,miss,,,,,,,,,,Mason Plumlee,0,,,missed,,Hook Shot,3,5,26,24.5,7.6,MISS Plumlee 3' Hook Shot
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:27,00:01:33,00:00:02,21,DET,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:22,00:01:38,00:00:05,22,DET,turnover,,,,,,,,,,Tobias Harris,,,bad pass ,,,bad pass ,,,,,,Harris Bad Pass Turnover (P1.T3)
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:06,00:01:54,00:00:16,23,DEN,miss,,,,,,,,,,Gary Harris,0,,,missed,,Floating Jump Shot,7,-41,52,29.1,10.2,MISS Harris 7' Floating Jump Shot
"=""0021700398""",2017-2018 Regular Season,2017-12-12,Will Barton,Wilson Chandler,Mason Plumlee,Gary Harris,Jamal Murray,Reggie Bullock,Tobias Harris,Andre Drummond,Avery Bradley,Reggie Jackson,1,2,0,00:10:01,00:01:59,00:00:05,24,DEN,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound offensive,,,,,,Plumlee REBOUND (Off:1 Def:1)
