game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Brook Lopez,Kristaps Porzingis,,,,,,,Kristaps Porzingis,,Larry Nance Jr.,,,,jump ball,,,,,,Jump Ball Porzingis vs. Lopez: Tip to Nance Jr.
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:11:44,00:00:16,00:00:16,8,LAL,turnover,,,,,,,,,,Brook Lopez,,,lost ball ,,Lance Thomas,lost ball ,,,,,,"Lopez Lost Ball Turnover (P1.T1), Thomas STEAL (1 STL)"
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:11:27,00:00:33,00:00:17,10,NYK,miss,,,,,,,,,,Jarrett Jack,0,,,missed,,Floating Jump Shot,12,-14,115,23.6,77.5,MISS Jack 12' Floating Jump Shot
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:11:26,00:00:34,00:00:01,11,LAL,rebound,,,,,,,,,,Lonzo Ball,,,,,,rebound defensive,,,,,,Ball REBOUND (Off:0 Def:1)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:11:14,00:00:46,00:00:12,12,LAL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,23,231,32,1.9,8.2,MISS Lopez  3PT Jump Shot
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:11:12,00:00:48,00:00:02,13,NYK,rebound,,,,,,,,,,Kristaps Porzingis,,,,,,rebound defensive,,,,,,Porzingis REBOUND (Off:0 Def:1)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:10:56,00:01:04,00:00:16,14,NYK,miss,,,,,,,,,,Enes Kanter,0,,,missed,,Fadeaway Jumper,8,-78,1,17.2,88.9,MISS Kanter 8' Fadeaway Jumper
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:10:54,00:01:06,00:00:02,15,LAL,rebound,,,,,,,,,,Lonzo Ball,,,,,,rebound defensive,,,,,,Ball REBOUND (Off:0 Def:2)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:10:47,00:01:13,00:00:07,16,LAL,miss,,,,,,,,,,Brandon Ingram,0,,,missed,,unknown,2,3,15,24.7,6.5,MISS Ingram 2' Driving Layup
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,0,00:10:45,00:01:15,00:00:02,17,NYK,rebound,,,,,,,,,,Jarrett Jack,,,,,,rebound defensive,,,,,,Jack REBOUND (Off:0 Def:1)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,0,2,00:10:40,00:01:20,00:00:05,18,NYK,shot,,,,,,,,,,Courtney Lee,2,,,made,,unknown,1,2,10,25.2,88.0,Lee 1' Driving Layup (2 PTS)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,2,2,00:10:27,00:01:33,00:00:13,19,LAL,shot,Brook Lopez,,,,,,,,,Kentavious Caldwell-Pope,2,,,made,,unknown,2,-3,16,25.3,6.6,Caldwell-Pope 2' Cutting Layup Shot (2 PTS) (Lopez 1 AST)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,2,2,00:10:09,00:01:51,00:00:18,21,NYK,turnover,,,,,,,,,,Kristaps Porzingis,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Porzingis Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,2,00:09:51,00:02:09,00:00:18,22,LAL,shot,Brandon Ingram,,,,,,,,,Kentavious Caldwell-Pope,3,,,made,,Jump Shot,25,-241,55,49.1,10.5,Caldwell-Pope 25' 3PT Jump Shot (5 PTS) (Ingram 1 AST)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,2,00:09:37,00:02:23,00:00:14,24,NYK,miss,,,,,,,,,,Jarrett Jack,0,,,missed,,Reverse Layup,1,-8,-1,24.2,89.1,MISS Jack 1' Reverse Layup
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,2,00:09:37,00:02:23,00:00:00,25,NYK,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound offensive,,,,,,Kanter REBOUND (Off:1 Def:0)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,4,00:09:35,00:02:25,00:00:02,26,NYK,shot,,,,,,,,,,Enes Kanter,2,,,made,,unknown,1,0,-6,25.0,89.6,Kanter 1' Tip Layup Shot (2 PTS)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,4,00:09:23,00:02:37,00:00:12,27,LAL,miss,,,,,,,,,,Brandon Ingram,0,,,missed,,Jump Shot,18,54,167,19.6,21.7,MISS Ingram 18' Jump Shot
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,4,00:09:22,00:02:38,00:00:01,28,NYK,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound defensive,,,,,,Kanter REBOUND (Off:1 Def:1)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,4,00:09:02,00:02:58,00:00:20,29,LAL,foul,,,,,,,,Kristaps Porzingis,,Brandon Ingram,,,p.foul,,,p.foul,,,,,,Ingram P.FOUL (P1.T1) (C.Kirkland)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,4,00:08:51,00:03:09,00:00:11,31,NYK,miss,,,,,,,,,,Kristaps Porzingis,0,,,missed,,Turnaround Fadeaway ,10,-104,4,14.6,88.6,MISS Porzingis 10' Turnaround Fadeaway Shot
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,4,00:08:50,00:03:10,00:00:01,32,LAL,rebound,,,,,,,,,,Larry Nance Jr.,,,,,,rebound defensive,,,,,,Nance Jr. REBOUND (Off:0 Def:1)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,4,00:08:43,00:03:17,00:00:07,33,LAL,miss,,,,,,,,,,Lonzo Ball,0,,,missed,,Jump Shot,26,-96,237,34.6,28.7,MISS Ball 26' 3PT Jump Shot
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,4,00:08:41,00:03:19,00:00:02,34,NYK,rebound,,,,,,,,,,Kristaps Porzingis,,,,,,rebound defensive,,,,,,Porzingis REBOUND (Off:0 Def:2)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,5,6,00:08:30,00:03:30,00:00:11,35,NYK,shot,,,,,,,,,,Courtney Lee,2,,,made,,Pullup Jump Shot,17,-30,169,22.0,72.1,Lee 17' Pullup Jump Shot (4 PTS)
"=""0021700399""",2017-2018 Regular Season,2017-12-12,Larry Nance Jr.,Brandon Ingram,Brook Lopez,Kentavious Caldwell-Pope,Lonzo Ball,Kristaps Porzingis,Lance Thomas,Enes Kanter,Courtney Lee,Jarrett Jack,1,7,6,00:08:21,00:03:39,00:00:09,36,LAL,shot,Lonzo Ball,,,,,,,,,Brook Lopez,2,,,made,,Layup,1,1,8,24.9,5.8,Lopez 1' Layup (2 PTS) (Ball 1 AST)
