game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,DeAndre Jordan,Marcin Gortat,,,,,,,Marcin Gortat,,John Wall,,,,jump ball,,,,,,Jump Ball Gortat vs. Jordan: Tip to Wall
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:11:46,00:00:14,00:00:14,7,WAS,miss,,,,,,,,,,Markieff Morris,0,,,missed,,Fadeaway Jumper,11,-111,0,13.9,89.0,MISS Mark Morris 11' Fadeaway Jumper
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:11:40,00:00:20,00:00:06,8,WAS,rebound,,,,,,,,,,Otto Porter Jr.,,,,,,rebound offensive,,,,,,Porter Jr. REBOUND (Off:1 Def:0)
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:11:40,00:00:20,00:00:00,9,WAS,shot,,,,,,,,,,Otto Porter Jr.,2,,,made,,unknown,1,0,-6,25.0,89.6,Porter Jr. 1' Tip Layup Shot (2 PTS)
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:11:27,00:00:33,00:00:13,10,LAC,miss,,,,,,,,,,Lou Williams,0,,,missed,,Fadeaway Jumper,17,-123,115,37.3,16.5,MISS Williams 17' Fadeaway Jumper
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:11:24,00:00:36,00:00:03,11,WAS,rebound,,,,,,,,,,Bradley Beal,,,,,,rebound defensive,,,,,,Beal REBOUND (Off:0 Def:1)
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:11:10,00:00:50,00:00:14,12,WAS,miss,,,,,,,,,,Markieff Morris,0,,,missed,,Pullup Jump Shot,12,113,46,36.3,84.4,MISS Mark Morris 12' Pullup Jump Shot
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:11:06,00:00:54,00:00:04,13,LAC,rebound,,,,,,,,,,Wesley Johnson,,,,,,rebound defensive,,,,,,W. Johnson REBOUND (Off:0 Def:1)
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:10:53,00:01:07,00:00:13,14,WAS,foul,,,,,,,,Sindarius Thornwell,,Otto Porter Jr.,,,s.foul,,,s.foul,,,,,,Porter Jr. S.FOUL (P1.T1) (M.Ervin)
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:10:53,00:01:07,00:00:00,16,LAC,free throw,,,,,,,1,,2,Sindarius Thornwell,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Thornwell Free Throw 1 of 2
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:10:53,00:01:07,00:00:00,17,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Clippers Rebound
"=""0021700422""",2017-2018 Regular Season,2017-12-15,Wesley Johnson,Jamil Wilson,DeAndre Jordan,Sindarius Thornwell,Lou Williams,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,1,2,00:10:53,00:01:07,00:00:00,18,LAC,free throw,,,,,,,2,,2,Sindarius Thornwell,1,,,made,,Free Throw 2 of 2,,,,,,Thornwell Free Throw 2 of 2 (1 PTS)
