game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Rudy Gobert,Al Horford,,,,,,,Al Horford,,Derrick Favors,,,,jump ball,,,,,,Jump Ball Horford vs. Gobert: Tip to Favors
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,0,00:11:36,00:00:24,00:00:24,7,UTA,shot,Donovan Mitchell,,,,,,,,,Ricky Rubio,2,,,made,,Jump Shot,18,30,180,22.0,23.0,Rubio 18' Jump Shot (2 PTS) (Mitchell 1 AST)
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:11:17,00:00:43,00:00:19,9,BOS,shot,Kyrie Irving,,,,,,,,,Al Horford,3,,,made,,Jump Shot,26,-177,197,7.3,69.3,Horford 26' 3PT Jump Shot (3 PTS) (Irving 1 AST)
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:11:07,00:00:53,00:00:10,11,UTA,miss,,,,Aron Baynes,,,,,,Rudy Gobert,0,,,missed,,Driving Finger Roll Layup,1,4,4,24.6,5.4,"MISS Gobert 1' Driving Finger Roll Layup, Baynes BLOCK (1 BLK)"
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:11:04,00:00:56,00:00:03,13,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:11:01,00:00:59,00:00:03,14,BOS,miss,,,,,,,,,,Jaylen Brown,0,,,missed,,Jump Shot,23,230,10,48.0,88.0,MISS Brown  3PT Jump Shot
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:11:01,00:00:59,00:00:00,15,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:37,00:01:23,00:00:24,16,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Jump Shot,27,-159,218,40.9,26.8,MISS Mitchell 27' 3PT Jump Shot
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:33,00:01:27,00:00:04,17,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:26,00:01:34,00:00:07,18,BOS,miss,,,,,,,,,,Aron Baynes,0,,,missed,,Jump Shot,19,73,178,32.3,71.2,MISS Baynes 19' Jump Shot
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:23,00:01:37,00:00:03,19,UTA,rebound,,,,,,,,,,Joe Ingles,,,,,,rebound defensive,,,,,,Ingles REBOUND (Off:0 Def:1)
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:14,00:01:46,00:00:09,20,UTA,miss,,,,,,,,,,Derrick Favors,0,,,missed,,Driving Hook Shot,3,-22,22,27.2,7.2,MISS Favors 3' Driving Hook Shot
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:11,00:01:49,00:00:03,22,UTA,rebound,,,,,,,,,,Derrick Favors,,,,,,rebound offensive,,,,,,Favors REBOUND (Off:1 Def:0)
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:11,00:01:49,00:00:00,23,UTA,miss,,,,Aron Baynes,,,,,,Derrick Favors,0,,,missed,,Driving Hook Shot,4,-25,29,27.5,7.9,"MISS Favors 4' Driving Hook Shot, Baynes BLOCK (2 BLK)"
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:11,00:01:49,00:00:00,25,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Jazz Rebound
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:11,00:01:49,00:00:00,26,BOS,foul,,,,,,,,Derrick Favors,,Al Horford,,,p.foul,,,p.foul,,,,,,Horford P.FOUL (P1.T1) (R.Acosta)
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:11,00:01:49,00:00:00,28,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Jazz Timeout: Regular (Reg.1 Short 0)
"=""0021700423""",2017-2018 Regular Season,2017-12-15,Joe Ingles,Derrick Favors,Donovan Mitchell,Ricky Rubio,Jonas Jerebko,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,2,3,00:10:11,00:01:49,00:00:00,29,UTA,sub,,,,,Jonas Jerebko,Rudy Gobert,,,,Rudy Gobert,,,,,,sub,,,,,,SUB: Jerebko FOR Gobert
