game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Willie Cauley-Stein,Amir Johnson,,,,,,,Amir Johnson,,Ben Simmons,,,,jump ball,,,,,,Jump Ball Johnson vs. Cauley-Stein: Tip to Simmons
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:11:39,00:00:21,00:00:21,7,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Jump Shot,22,-195,95,5.5,79.5,MISS Redick 22' Jump Shot
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:11:38,00:00:22,00:00:01,8,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Kings Rebound
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:11:38,00:00:22,00:00:00,9,PHI,foul,,,,,,,,Zach Randolph,,Amir Johnson,,,l.b.foul,,,l.b.foul,,,,,,Johnson L.B.FOUL (P1.T1) (E.Lewis)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:11:28,00:00:32,00:00:10,11,SAC,miss,,,,,,,,,,Bogdan Bogdanovic,0,,,missed,,Jump Shot,25,-214,138,46.4,18.8,MISS Bogdanovic 25' 3PT Jump Shot
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,0,00:11:23,00:00:37,00:00:05,12,PHI,rebound,,,,,,,,,,Dario Saric,,,,,,rebound defensive,,,,,,Saric REBOUND (Off:0 Def:1)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,0,3,00:11:17,00:00:43,00:00:06,13,PHI,shot,Ben Simmons,,,,,,,,,Dario Saric,3,,,made,,Jump Shot,25,148,206,39.8,68.4,Saric 25' 3PT Jump Shot (3 PTS) (Simmons 1 AST)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,2,3,00:11:00,00:01:00,00:00:17,15,SAC,shot,,,,,,,,,,Bogdan Bogdanovic,2,,,made,,Pullup Jump Shot,23,-95,204,34.5,25.4,Bogdanovic 23' Pullup Jump Shot (2 PTS)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,2,3,00:10:41,00:01:19,00:00:19,17,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Jump Shot,18,176,30,42.6,86.0,MISS Redick 18' Jump Shot
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,2,3,00:10:37,00:01:23,00:00:04,18,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,4,3,00:10:23,00:01:37,00:00:14,19,SAC,shot,,,,,,,,,,Zach Randolph,2,,,made,,Jump Shot,15,123,79,12.7,12.9,Randolph 15' Jump Shot (2 PTS)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,4,5,00:10:15,00:01:45,00:00:08,20,PHI,shot,,,,,,,,,,Ben Simmons,2,,,made,,unknown,15,-81,126,16.9,76.4,Simmons 15' Running Pull-Up Jump Shot (2 PTS)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,5,00:10:05,00:01:55,00:00:10,21,SAC,shot,De'Aaron Fox,,,,,,,,,Willie Cauley-Stein,2,,,made,,Turnaround Hook Shot,4,3,43,24.7,9.3,Cauley-Stein 4' Turnaround Hook Shot (2 PTS) (Fox 1 AST)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,5,00:09:57,00:02:03,00:00:08,23,PHI,miss,,,,,,,,,,Dario Saric,0,,,missed,,Jump Shot,27,-68,258,18.2,63.2,MISS Saric 27' 3PT Jump Shot
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,5,00:09:53,00:02:07,00:00:04,24,PHI,rebound,,,,,,,,,,Amir Johnson,,,,,,rebound offensive,,,,,,Johnson REBOUND (Off:1 Def:0)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,5,00:09:46,00:02:14,00:00:07,25,SAC,foul,,,,,,,,Ben Simmons,,De'Aaron Fox,,,p.foul,,,p.foul,,,,,,Fox P.FOUL (P1.T1) (S.Wall)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,5,00:09:40,00:02:20,00:00:06,27,PHI,turnover,,,,,,,,,,Ben Simmons,,,traveling ,,,traveling ,,,,,,Simmons Traveling Turnover (P1.T1)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,5,00:09:22,00:02:38,00:00:18,28,PHI,foul,,,,,,,,Willie Cauley-Stein,,Robert Covington,,,s.foul,,,s.foul,,,,,,Covington S.FOUL (P1.T2) (E.Lewis)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,5,00:09:22,00:02:38,00:00:00,30,SAC,free throw,,,,,,,1,,2,Willie Cauley-Stein,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Cauley-Stein Free Throw 1 of 2
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,5,00:09:22,00:02:38,00:00:00,31,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Kings Rebound
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,5,00:09:22,00:02:38,00:00:00,32,SAC,free throw,,,,,,,2,,2,Willie Cauley-Stein,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Cauley-Stein Free Throw 2 of 2
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,5,00:09:20,00:02:40,00:00:02,33,PHI,rebound,,,,,,,,,,Dario Saric,,,,,,rebound defensive,,,,,,Saric REBOUND (Off:0 Def:2)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,7,00:09:07,00:02:53,00:00:13,34,PHI,shot,,,,,,,,,,Ben Simmons,2,,,made,,Pullup Jump Shot,14,-97,101,15.3,78.9,Simmons 14' Pullup Jump Shot (4 PTS)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,7,00:08:59,00:03:01,00:00:08,35,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Pullup Jump Shot,7,-46,46,29.6,9.6,MISS Fox 7' Pullup Jump Shot
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,7,00:08:57,00:03:03,00:00:02,36,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,7,00:08:51,00:03:09,00:00:06,37,PHI,turnover,,,,,,,,,,Robert Covington,,,lost ball ,,Garrett Temple,lost ball ,,,,,,"Temple STEAL (1 STL), Covington Lost Ball Turnover (P1.T2)"
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,7,00:08:42,00:03:18,00:00:09,39,SAC,miss,,,,,,,,,,Willie Cauley-Stein,0,,,missed,,Jump Shot,4,-9,38,25.9,8.8,MISS Cauley-Stein 4' Jump Shot
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,7,00:08:40,00:03:20,00:00:02,40,PHI,rebound,,,,,,,,,,Amir Johnson,,,,,,rebound defensive,,,,,,Johnson REBOUND (Off:1 Def:1)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,7,00:08:27,00:03:33,00:00:13,41,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Jump Shot,26,163,199,41.3,69.1,MISS Redick 26' 3PT Jump Shot
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,7,00:08:23,00:03:37,00:00:04,42,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,7,00:08:13,00:03:47,00:00:10,43,SAC,miss,,,,,,,,,,Garrett Temple,0,,,missed,,Driving Reverse Layup,5,-16,47,26.6,9.7,MISS Temple 5' Driving Reverse Layup
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Dario Saric,Amir Johnson,JJ Redick,Ben Simmons,1,6,7,00:08:13,00:03:47,00:00:00,44,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,76ERS Rebound
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Robert Covington,Amir Johnson,JJ Redick,Ben Simmons,Trevor Booker,1,6,7,00:08:13,00:03:47,00:00:00,45,PHI,sub,,,,,Trevor Booker,Dario Saric,,,,Dario Saric,,,,,,sub,,,,,,SUB: Booker FOR Saric
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Amir Johnson,JJ Redick,Ben Simmons,Trevor Booker,Timothe Luwawu-Cabarrot,1,6,7,00:08:13,00:03:47,00:00:00,46,PHI,sub,,,,,Timothe Luwawu-Cabarrot,Robert Covington,,,,Robert Covington,,,,,,sub,,,,,,SUB: Luwawu-Cabarrot FOR Covington
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Amir Johnson,JJ Redick,Ben Simmons,Trevor Booker,Timothe Luwawu-Cabarrot,1,6,7,00:08:04,00:03:56,00:00:09,49,PHI,turnover,,,,,,,,,,Ben Simmons,,,,,,unknown,,,,,,Simmons Out of Bounds - Bad Pass Turnover Turnover (P2.T3)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Amir Johnson,JJ Redick,Ben Simmons,Trevor Booker,Timothe Luwawu-Cabarrot,1,8,7,00:07:48,00:04:12,00:00:16,50,SAC,shot,,,,,,,,,,Zach Randolph,2,,,made,,Fadeaway Jumper,16,156,16,9.4,6.6,Randolph 16' Fadeaway Jumper (4 PTS)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,Amir Johnson,JJ Redick,Ben Simmons,Trevor Booker,Timothe Luwawu-Cabarrot,1,8,7,00:07:48,00:04:12,00:00:00,51,PHI,foul,,,,,,,,Zach Randolph,,Amir Johnson,,,s.foul,,,s.foul,,,,,,Johnson S.FOUL (P2.T3) (B.Nansel)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,JJ Redick,Ben Simmons,Trevor Booker,Timothe Luwawu-Cabarrot,Richaun Holmes,1,8,7,00:07:48,00:04:12,00:00:00,53,PHI,sub,,,,,Richaun Holmes,Amir Johnson,,,,Amir Johnson,,,,,,sub,,,,,,SUB: Holmes FOR Johnson
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,JJ Redick,Ben Simmons,Trevor Booker,Timothe Luwawu-Cabarrot,Richaun Holmes,1,8,7,00:07:48,00:04:12,00:00:00,55,SAC,free throw,,,,,,,1,,1,Zach Randolph,0,,,missed,,Free Throw 1 of 1,,,,,,MISS Randolph Free Throw 1 of 1
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,JJ Redick,Ben Simmons,Trevor Booker,Timothe Luwawu-Cabarrot,Richaun Holmes,1,8,7,00:07:46,00:04:14,00:00:02,56,PHI,rebound,,,,,,,,,,Ben Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:2)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,JJ Redick,Ben Simmons,Trevor Booker,Timothe Luwawu-Cabarrot,Richaun Holmes,1,8,7,00:07:31,00:04:29,00:00:15,57,PHI,turnover,,,,,,,,,,Timothe Luwawu-Cabarrot,,,,,,unknown,,,,,,Luwawu-Cabarrot Out of Bounds - Bad Pass Turnover Turnover (P1.T4)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,JJ Redick,Ben Simmons,Trevor Booker,Timothe Luwawu-Cabarrot,Richaun Holmes,1,11,7,00:07:16,00:04:44,00:00:15,58,SAC,shot,Bogdan Bogdanovic,,,,,,,,,Zach Randolph,3,,,made,,Jump Shot,27,-24,265,27.4,31.5,Randolph 27' 3PT Jump Shot (7 PTS) (Bogdanovic 1 AST)
"=""0021700451""",2017-2018 Regular Season,2017-12-19,Bogdan Bogdanovic,Zach Randolph,Willie Cauley-Stein,Garrett Temple,De'Aaron Fox,JJ Redick,Ben Simmons,Trevor Booker,Timothe Luwawu-Cabarrot,Richaun Holmes,1,11,7,00:07:15,00:04:45,00:00:01,60,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,76ERS Timeout: Regular (Full 1 Short 0)
