game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Pau Gasol,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Dejounte Murray,,,,jump ball,,,,,,Jump Ball Nurkic vs. Gasol: Tip to Murray
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,0,00:11:42,00:00:18,00:00:18,7,SAS,shot,,,,,,,,,,Pau Gasol,2,,,made,,Turnaround Jump Shot,14,-28,136,27.8,18.6,Gasol 14' Turnaround Jump Shot (2 PTS)
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,2,2,00:11:23,00:00:37,00:00:19,8,POR,shot,,,,,,,,,,Evan Turner,2,,,made,,Turnaround Fadeaway ,8,-2,82,24.8,80.8,Turner 8' Turnaround Fadeaway (2 PTS)
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:11:09,00:00:51,00:00:14,9,SAS,shot,Bryn Forbes,,,,,,,,,Pau Gasol,2,,,made,,Jump Shot,20,105,175,14.5,22.5,Gasol 20' Jump Shot (4 PTS) (Forbes 1 AST)
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:52,00:01:08,00:00:17,11,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,Pullup Jump Shot,13,-134,-4,11.6,89.4,MISS McCollum 13' Pullup Jump Shot
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:49,00:01:11,00:00:03,12,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound offensive,,,,,,Nurkic REBOUND (Off:1 Def:0)
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:43,00:01:17,00:00:06,13,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Driving Hook Shot,4,-8,43,24.2,84.7,MISS Nurkic 4' Driving Hook Shot
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:40,00:01:20,00:00:03,14,SAS,rebound,,,,,,,,,,Dejounte Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:35,00:01:25,00:00:05,15,SAS,miss,,,,,,,,,,Dejounte Murray,0,,,missed,,unknown,4,29,23,22.1,7.3,MISS Murray 4' Driving Floating Bank Jump Shot
"=""0021700463""",2017-2018 Regular Season,2017-12-20,Danny Green,LaMarcus Aldridge,Pau Gasol,Bryn Forbes,Dejounte Murray,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,1,4,2,00:10:34,00:01:26,00:00:01,16,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound defensive,,,,,,Nurkic REBOUND (Off:1 Def:1)
