game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700466""",2017-2018 Regular Season,2017-12-21,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Kris Dunn,LeBron James,Channing Frye,Kevin Love,Jae Crowder,Jose Calderon,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700466""",2017-2018 Regular Season,2017-12-21,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Kris Dunn,LeBron James,Channing Frye,Kevin Love,Jae Crowder,Jose Calderon,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Robin Lopez,Channing Frye,,,,,,,Channing Frye,,Jose Calderon,,,,jump ball,,,,,,Jump Ball Frye vs. Lopez: Tip to Calderon
"=""0021700466""",2017-2018 Regular Season,2017-12-21,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Kris Dunn,LeBron James,Channing Frye,Kevin Love,Jae Crowder,Jose Calderon,1,0,0,00:11:46,00:00:14,00:00:14,7,CLE,miss,,,,,,,,,,Kevin Love,0,,,missed,,unknown,2,9,13,25.9,87.7,MISS Love 2' Cutting Layup Shot
"=""0021700466""",2017-2018 Regular Season,2017-12-21,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Kris Dunn,LeBron James,Channing Frye,Kevin Love,Jae Crowder,Jose Calderon,1,0,0,00:11:39,00:00:21,00:00:07,8,CLE,rebound,,,,,,,,,,Kevin Love,,,,,,rebound offensive,,,,,,Love REBOUND (Off:1 Def:0)
"=""0021700466""",2017-2018 Regular Season,2017-12-21,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Kris Dunn,LeBron James,Channing Frye,Kevin Love,Jae Crowder,Jose Calderon,1,0,2,00:11:39,00:00:21,00:00:00,9,CLE,shot,,,,,,,,,,Kevin Love,2,,,made,,Putback Layup,1,0,-6,25.0,89.6,Love 1' Putback Layup (2 PTS)
"=""0021700466""",2017-2018 Regular Season,2017-12-21,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Kris Dunn,LeBron James,Channing Frye,Kevin Love,Jae Crowder,Jose Calderon,1,0,2,00:11:26,00:00:34,00:00:13,10,CHI,miss,,,,,,,,,,Robin Lopez,0,,,missed,,Hook Shot,6,-18,55,26.8,10.5,MISS Lopez 6' Hook Shot
"=""0021700466""",2017-2018 Regular Season,2017-12-21,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Kris Dunn,LeBron James,Channing Frye,Kevin Love,Jae Crowder,Jose Calderon,1,0,2,00:11:23,00:00:37,00:00:03,11,CLE,rebound,,,,,,,,,,Channing Frye,,,,,,rebound defensive,,,,,,Frye REBOUND (Off:0 Def:1)
"=""0021700466""",2017-2018 Regular Season,2017-12-21,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Kris Dunn,LeBron James,Channing Frye,Kevin Love,Jae Crowder,Jose Calderon,1,0,2,00:11:20,00:00:40,00:00:03,12,CLE,miss,,,,,,,,,,LeBron James,0,,,missed,,Pullup Jump Shot,19,155,107,40.5,78.3,MISS James 19' Pullup Jump Shot
"=""0021700466""",2017-2018 Regular Season,2017-12-21,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Kris Dunn,LeBron James,Channing Frye,Kevin Love,Jae Crowder,Jose Calderon,1,0,2,00:11:17,00:00:43,00:00:03,13,CHI,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021700466""",2017-2018 Regular Season,2017-12-21,Denzel Valentine,Lauri Markkanen,Robin Lopez,Justin Holiday,Kris Dunn,LeBron James,Channing Frye,Kevin Love,Jae Crowder,Jose Calderon,1,0,2,00:11:09,00:00:51,00:00:08,14,CHI,turnover,,,,,,,,,,Denzel Valentine,,,bad pass ,,LeBron James,bad pass ,,,,,,"Valentine Bad Pass Turnover (P1.T1), James STEAL (1 STL)"
