game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700469""",2017-2018 Regular Season,2017-12-21,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,TJ Warren,Marquese Chriss,Greg Monroe,Josh Jackson,Tyler Ulis,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700469""",2017-2018 Regular Season,2017-12-21,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,TJ Warren,Marquese Chriss,Greg Monroe,Josh Jackson,Tyler Ulis,1,0,0,00:12:00,00:00:00,00:00:00,4,MEM,jump ball,,Marc Gasol,Marquese Chriss,,,,,,,Marquese Chriss,,Tyreke Evans,,,,jump ball,,,,,,Jump Ball Chriss vs. Gasol: Tip to Evans
"=""0021700469""",2017-2018 Regular Season,2017-12-21,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,TJ Warren,Marquese Chriss,Greg Monroe,Josh Jackson,Tyler Ulis,1,2,0,00:11:40,00:00:20,00:00:20,7,MEM,shot,,,,,,,,,,Tyreke Evans,2,,,made,,Layup,0,0,5,25.0,5.5,Evans 1' Layup (2 PTS)
"=""0021700469""",2017-2018 Regular Season,2017-12-21,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,TJ Warren,Marquese Chriss,Greg Monroe,Josh Jackson,Tyler Ulis,1,2,2,00:11:16,00:00:44,00:00:24,8,PHX,shot,Tyler Ulis,,,,,,,,,Greg Monroe,2,,,made,,unknown,1,-5,2,24.5,88.8,Monroe 1' Cutting Layup Shot (2 PTS) (Ulis 1 AST)
"=""0021700469""",2017-2018 Regular Season,2017-12-21,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,TJ Warren,Marquese Chriss,Greg Monroe,Josh Jackson,Tyler Ulis,1,4,2,00:11:01,00:00:59,00:00:15,10,MEM,shot,,,,,,,,,,Tyreke Evans,2,,,made,,unknown,0,1,4,24.9,5.4,Evans  Driving Layup (4 PTS)
"=""0021700469""",2017-2018 Regular Season,2017-12-21,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,TJ Warren,Marquese Chriss,Greg Monroe,Josh Jackson,Tyler Ulis,1,4,2,00:10:53,00:01:07,00:00:08,11,MEM,foul,,,,,,,,Josh Jackson,,Marc Gasol,,,s.foul,,,s.foul,,,,,,Gasol S.FOUL (P1.T1) (S.Twardoski)
"=""0021700469""",2017-2018 Regular Season,2017-12-21,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,TJ Warren,Marquese Chriss,Greg Monroe,Josh Jackson,Tyler Ulis,1,4,3,00:10:53,00:01:07,00:00:00,13,PHX,free throw,,,,,,,1,,2,Josh Jackson,1,,,made,,Free Throw 1 of 2,,,,,,Jackson Free Throw 1 of 2 (1 PTS)
"=""0021700469""",2017-2018 Regular Season,2017-12-21,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,TJ Warren,Marquese Chriss,Greg Monroe,Josh Jackson,Tyler Ulis,1,4,4,00:10:53,00:01:07,00:00:00,14,PHX,free throw,,,,,,,2,,2,Josh Jackson,1,,,made,,Free Throw 2 of 2,,,,,,Jackson Free Throw 2 of 2 (2 PTS)
"=""0021700469""",2017-2018 Regular Season,2017-12-21,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,TJ Warren,Marquese Chriss,Greg Monroe,Josh Jackson,Tyler Ulis,1,6,4,00:10:34,00:01:26,00:00:19,15,MEM,shot,,,,,,,,,,Tyreke Evans,2,,,made,,unknown,3,5,25,24.5,7.5,Evans 3' Driving Layup (6 PTS)
"=""0021700469""",2017-2018 Regular Season,2017-12-21,Dillon Brooks,JaMychal Green,Marc Gasol,Andrew Harrison,Tyreke Evans,TJ Warren,Marquese Chriss,Greg Monroe,Josh Jackson,Tyler Ulis,1,6,4,00:10:13,00:01:47,00:00:21,16,PHX,miss,,,,,,,,,,Tyler Ulis,0,,,missed,,unknown,1,3,7,25.3,88.3,MISS Ulis 1' Driving Layup
