game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,NOP,jump ball,,Anthony Davis,Nikola Vucevic,,,,,,,Nikola Vucevic,,DeMarcus Cousins,,,,jump ball,,,,,,Jump Ball Vucevic vs. Davis: Tip to Cousins
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,0,0,00:11:43,00:00:17,00:00:17,7,NOP,turnover,,,,,,,,,,E'Twaun Moore,,,bad pass ,,Jonathon Simmons,bad pass ,,,,,,"Moore Bad Pass Turnover (P1.T1), Simmons STEAL (1 STL)"
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,0,0,00:11:34,00:00:26,00:00:09,9,ORL,miss,,,,,,,,,,Marreese Speights,0,,,missed,,Jump Shot,20,73,184,32.3,70.6,MISS Speights 20' Jump Shot
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,0,0,00:11:34,00:00:26,00:00:00,14,NOP,rebound,,,,,,,,,,Jrue Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,0,0,00:11:28,00:00:32,00:00:06,10,ORL,foul,,,,,,,,Rajon Rondo,,Elfrid Payton,,,s.foul,,,s.foul,,,,,,Payton S.FOUL (P1.T1) (T.Brown)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,1,0,00:11:28,00:00:32,00:00:00,12,NOP,free throw,,,,,,,1,,2,Rajon Rondo,1,,,made,,Free Throw 1 of 2,,,,,,Rondo Free Throw 1 of 2 (1 PTS)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,2,0,00:11:28,00:00:32,00:00:00,13,NOP,free throw,,,,,,,2,,2,Rajon Rondo,1,,,made,,Free Throw 2 of 2,,,,,,Rondo Free Throw 2 of 2 (2 PTS)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,2,0,00:11:10,00:00:50,00:00:18,15,ORL,miss,,,,,,,,,,Nikola Vucevic,0,,,missed,,Jump Shot,16,-40,153,21.0,73.7,MISS Vucevic 16' Jump Shot
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,2,0,00:11:06,00:00:54,00:00:04,16,NOP,rebound,,,,,,,,,,Anthony Davis,,,,,,rebound defensive,,,,,,Davis REBOUND (Off:0 Def:1)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,2,0,00:10:59,00:01:01,00:00:07,18,NOP,miss,,,,,,,,,,E'Twaun Moore,0,,,missed,,Jump Shot,9,-63,58,31.3,10.8,MISS Moore 9' Jump Shot
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,2,0,00:10:57,00:01:03,00:00:02,19,ORL,rebound,,,,,,,,,,Jonathon Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,2,0,00:10:49,00:01:11,00:00:08,20,ORL,foul,,,,,,,,DeMarcus Cousins,,Marreese Speights,,,offensive charge foul,,,offensive charge foul,,,,,,Speights Offensive Charge Foul (P1.T2) (M.Smith)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,2,0,00:10:49,00:01:11,00:00:00,22,ORL,turnover,,,,,,,,,,Marreese Speights,,,offensive foul turnover,,,offensive foul turnover,,,,,,Speights Offensive Foul Turnover (P1.T1)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,5,0,00:10:25,00:01:35,00:00:24,23,NOP,shot,DeMarcus Cousins,,,,,,,,,Jrue Holiday,3,,,made,,Jump Shot,24,-228,79,47.8,12.9,Holiday 24' 3PT Jump Shot (3 PTS) (Cousins 1 AST)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,5,0,00:10:17,00:01:43,00:00:08,25,NOP,foul,,,,,,,,Elfrid Payton,,Rajon Rondo,,,p.foul,,,p.foul,,,,,,Rondo P.FOUL (P1.T1) (M.Smith)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,5,0,00:10:02,00:01:58,00:00:15,27,ORL,turnover,,,,,,,,,,Elfrid Payton,,,,,,unknown,,,,,,Payton Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,8,0,00:09:57,00:02:03,00:00:05,28,NOP,shot,Rajon Rondo,,,,,,,,,E'Twaun Moore,3,,,made,,Running Jump Shot,24,-235,38,48.5,8.8,Moore 24' 3PT Running Jump Shot (3 PTS) (Rondo 1 AST)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,8,0,00:09:40,00:02:20,00:00:17,30,ORL,miss,,,,,,,,,,Marreese Speights,0,,,missed,,Jump Shot,25,-2,253,24.8,63.7,MISS Speights 25' 3PT Jump Shot
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,8,0,00:09:37,00:02:23,00:00:03,31,NOP,rebound,,,,,,,,,,Rajon Rondo,,,,,,rebound defensive,,,,,,Rondo REBOUND (Off:0 Def:1)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,8,0,00:09:23,00:02:37,00:00:14,32,ORL,foul,,,,,,,,DeMarcus Cousins,,Nikola Vucevic,,,s.foul,,,s.foul,,,,,,Vucevic S.FOUL (P1.T3) (M.Smith)
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,8,0,00:09:23,00:02:37,00:00:00,34,NOP,free throw,,,,,,,1,,2,DeMarcus Cousins,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Cousins Free Throw 1 of 2
"=""0021700472""",2017-2018 Regular Season,2017-12-22,E'Twaun Moore,Anthony Davis,DeMarcus Cousins,Jrue Holiday,Rajon Rondo,Jonathon Simmons,Marreese Speights,Nikola Vucevic,D.J. Augustin,Elfrid Payton,1,8,0,00:09:23,00:02:37,00:00:00,35,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Pelicans Rebound
