game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700495""",2017-2018 Regular Season,2017-12-25,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700495""",2017-2018 Regular Season,2017-12-25,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,Marcin Gortat,Al Horford,,,,,,,Al Horford,,Bradley Beal,,,,jump ball,,,,,,Jump Ball Horford vs. Gortat: Tip to Beal
"=""0021700495""",2017-2018 Regular Season,2017-12-25,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,3,0,00:11:36,00:00:24,00:00:24,7,WAS,shot,John Wall,,,,,,,,,Markieff Morris,3,,,made,,Jump Shot,24,-237,3,48.7,5.3,Mark Morris 24' 3PT Jump Shot (3 PTS) (Wall 1 AST)
"=""0021700495""",2017-2018 Regular Season,2017-12-25,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,3,0,00:11:16,00:00:44,00:00:20,9,BOS,miss,,,,,,,,,,Jaylen Brown,0,,,missed,,Jump Shot,23,225,-1,47.5,89.1,MISS Brown  3PT Jump Shot
"=""0021700495""",2017-2018 Regular Season,2017-12-25,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,3,0,00:11:14,00:00:46,00:00:02,10,WAS,rebound,,,,,,,,,,Marcin Gortat,,,,,,rebound defensive,,,,,,Gortat REBOUND (Off:0 Def:1)
"=""0021700495""",2017-2018 Regular Season,2017-12-25,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,3,0,00:11:07,00:00:53,00:00:07,11,BOS,foul,,,,,,,,Bradley Beal,,Aron Baynes,,,p.foul,,,p.foul,,,,,,Baynes P.FOUL (P1.T1) (S.Foster)
"=""0021700495""",2017-2018 Regular Season,2017-12-25,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,5,0,00:11:03,00:00:57,00:00:04,13,WAS,shot,John Wall,,,,,,,,,Bradley Beal,2,,,made,,unknown,2,12,13,23.8,6.3,Beal 2' Cutting Finger Roll Layup Shot (2 PTS) (Wall 2 AST)
"=""0021700495""",2017-2018 Regular Season,2017-12-25,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,5,0,00:10:47,00:01:13,00:00:16,15,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Jump Shot,25,91,230,34.1,66.0,MISS Irving 25' 3PT Jump Shot
"=""0021700495""",2017-2018 Regular Season,2017-12-25,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,5,0,00:10:44,00:01:16,00:00:03,16,WAS,rebound,,,,,,,,,,Markieff Morris,,,,,,rebound defensive,,,,,,Mark Morris REBOUND (Off:0 Def:1)
"=""0021700495""",2017-2018 Regular Season,2017-12-25,Otto Porter Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,1,5,0,00:10:34,00:01:26,00:00:10,17,WAS,miss,,,,Aron Baynes,,,,,,Marcin Gortat,0,,,missed,,Driving Finger Roll Layup,2,-10,14,26.0,6.4,"MISS Gortat 2' Driving Finger Roll Layup, Baynes BLOCK (1 BLK)"
