game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Karl-Anthony Towns,Andrew Bogut,,,,,,,Andrew Bogut,,Jordan Clarkson,,,,jump ball,,,,,,Jump Ball Bogut vs. Towns: Tip to Clarkson
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,0,0,00:11:40,00:00:20,00:00:20,7,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Jump Shot,27,60,262,31.0,62.8,MISS Kuzma 27' 3PT Jump Shot
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,0,0,00:11:40,00:00:20,00:00:00,8,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Timberwolves Rebound
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,0,0,00:11:27,00:00:33,00:00:13,9,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Jump Shot,26,-217,141,46.7,19.1,MISS Towns 26' 3PT Jump Shot
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,0,0,00:11:23,00:00:37,00:00:04,10,LAL,rebound,,,,,,,,,,Josh Hart,,,,,,rebound defensive,,,,,,Hart REBOUND (Off:0 Def:1)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,0,0,00:11:12,00:00:48,00:00:11,11,LAL,miss,,,,,,,,,,Josh Hart,0,,,missed,,Jump Shot,26,105,242,35.5,64.8,MISS Hart 26' 3PT Jump Shot
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,0,0,00:11:10,00:00:50,00:00:02,12,MIN,rebound,,,,,,,,,,Jeff Teague,,,,,,rebound defensive,,,,,,Teague REBOUND (Off:0 Def:1)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,3,0,00:11:02,00:00:58,00:00:08,13,MIN,shot,Jeff Teague,,,,,,,,,Karl-Anthony Towns,3,,,made,,Jump Shot,27,-45,262,29.5,31.2,Towns 27' 3PT Jump Shot (3 PTS) (Teague 1 AST)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,3,0,00:10:50,00:01:10,00:00:12,15,MIN,foul,,,,,,,,Kyle Kuzma,,Karl-Anthony Towns,,,s.foul,,,s.foul,,,,,,Towns S.FOUL (P1.T1) (D.Richardson)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,3,1,00:10:50,00:01:10,00:00:00,17,LAL,free throw,,,,,,,1,,2,Kyle Kuzma,1,,,made,,Free Throw 1 of 2,,,,,,Kuzma Free Throw 1 of 2 (1 PTS)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,3,2,00:10:50,00:01:10,00:00:00,18,LAL,free throw,,,,,,,2,,2,Kyle Kuzma,1,,,made,,Free Throw 2 of 2,,,,,,Kuzma Free Throw 2 of 2 (2 PTS)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,5,2,00:10:42,00:01:18,00:00:08,19,MIN,shot,,,,,,,,,,Andrew Wiggins,2,,,made,,unknown,2,10,12,24.0,6.2,Wiggins 2' Driving Layup (2 PTS)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,5,4,00:10:37,00:01:23,00:00:05,20,LAL,shot,Jordan Clarkson,,,,,,,,,Kyle Kuzma,2,,,made,,Running Layup,2,-5,17,24.5,87.3,Kuzma 2' Running Layup (4 PTS) (Clarkson 1 AST)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,5,4,00:10:37,00:01:23,00:00:00,22,MIN,foul,,,,,,,,Kyle Kuzma,,Jeff Teague,,,s.foul,,,s.foul,,,,,,Teague S.FOUL (P1.T2) (B.Adams)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,5,4,00:10:37,00:01:23,00:00:00,24,LAL,free throw,,,,,,,1,,1,Kyle Kuzma,0,,,missed,,Free Throw 1 of 1,,,,,,MISS Kuzma Free Throw 1 of 1
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,5,4,00:10:31,00:01:29,00:00:06,25,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,5,4,00:10:22,00:01:38,00:00:09,26,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Pullup Jump Shot,20,-131,147,38.1,19.7,MISS Wiggins 20' Pullup Jump Shot
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,5,4,00:10:22,00:01:38,00:00:00,27,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Timberwolves Rebound
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,7,4,00:10:10,00:01:50,00:00:12,28,MIN,shot,Jeff Teague,,,,,,,,,Taj Gibson,2,,,made,,Layup,2,9,20,24.1,7.0,Gibson 2' Layup (2 PTS) (Teague 2 AST)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,7,6,00:09:56,00:02:04,00:00:14,30,LAL,shot,Andrew Bogut,,,,,,,,,Kentavious Caldwell-Pope,2,,,made,,unknown,1,6,8,25.6,88.2,Caldwell-Pope 1' Driving Dunk (2 PTS) (Bogut 1 AST)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,7,6,00:09:31,00:02:29,00:00:25,31,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Jump Shot,29,-136,254,38.6,30.4,MISS Wiggins 29' 3PT Jump Shot
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,7,6,00:09:26,00:02:34,00:00:05,32,LAL,rebound,,,,,,,,,,Josh Hart,,,,,,rebound defensive,,,,,,Hart REBOUND (Off:0 Def:2)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,7,6,00:09:08,00:02:52,00:00:18,33,LAL,miss,,,,,,,,,,Jordan Clarkson,0,,,missed,,Pullup Jump Shot,15,95,121,34.5,76.9,MISS Clarkson 15' Pullup Jump Shot
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,7,6,00:09:06,00:02:54,00:00:02,34,MIN,rebound,,,,,,,,,,Jeff Teague,,,,,,rebound defensive,,,,,,Teague REBOUND (Off:0 Def:2)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,9,6,00:08:46,00:03:14,00:00:20,35,MIN,shot,Jeff Teague,,,,,,,,,Taj Gibson,2,,,made,,unknown,2,3,16,24.7,6.6,Gibson 2' Driving Layup (4 PTS) (Teague 3 AST)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,9,6,00:08:31,00:03:29,00:00:15,37,LAL,miss,,,,,,,,,,Jordan Clarkson,0,,,missed,,Pullup Jump Shot,16,62,148,31.2,74.2,MISS Clarkson 16' Pullup Jump Shot
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,9,6,00:08:29,00:03:31,00:00:02,38,MIN,rebound,,,,,,,,,,Jeff Teague,,,,,,rebound defensive,,,,,,Teague REBOUND (Off:0 Def:3)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,9,6,00:08:24,00:03:36,00:00:05,39,MIN,miss,,,,,,,,,,Jeff Teague,0,,,missed,,Jump Shot,26,54,259,19.6,30.9,MISS Teague 26' 3PT Jump Shot
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,9,6,00:08:21,00:03:39,00:00:03,40,LAL,rebound,,,,,,,,,,Kyle Kuzma,,,,,,rebound defensive,,,,,,Kuzma REBOUND (Off:0 Def:1)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,9,8,00:08:14,00:03:46,00:00:07,41,LAL,shot,Kyle Kuzma,,,,,,,,,Josh Hart,2,,,made,,unknown,1,-5,4,24.5,88.6,Hart 1' Cutting Dunk Shot (2 PTS) (Kuzma 1 AST)
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,9,8,00:08:00,00:04:00,00:00:14,43,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Driving Finger Roll Layup,2,-14,18,26.4,6.8,MISS Wiggins 2' Driving Finger Roll Layup
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,9,8,00:08:00,00:04:00,00:00:00,44,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Timberwolves Rebound
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,9,8,00:07:48,00:04:12,00:00:12,45,MIN,miss,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,Jump Shot,25,245,39,0.5,8.9,MISS Towns 25' 3PT Jump Shot
"=""0021700497""",2017-2018 Regular Season,2017-12-25,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Josh Hart,Kyle Kuzma,Andrew Bogut,Kentavious Caldwell-Pope,Jordan Clarkson,1,9,8,00:07:45,00:04:15,00:00:03,46,LAL,rebound,,,,,,,,,,Josh Hart,,,,,,rebound defensive,,,,,,Hart REBOUND (Off:0 Def:3)
