game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700500""",2017-2018 Regular Season,2017-12-26,Evan Fournier,Mario Hezonja,Bismack Biyombo,Jonathon Simmons,Elfrid Payton,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700500""",2017-2018 Regular Season,2017-12-26,Evan Fournier,Mario Hezonja,Bismack Biyombo,Jonathon Simmons,Elfrid Payton,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,5,MIA,jump ball,,Bismack Biyombo,Hassan Whiteside,,,,,,,Hassan Whiteside,,Goran Dragic,,,,jump ball,,,,,,Jump Ball Whiteside vs. Biyombo: Tip to Dragic
"=""0021700500""",2017-2018 Regular Season,2017-12-26,Evan Fournier,Mario Hezonja,Bismack Biyombo,Jonathon Simmons,Elfrid Payton,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,2,00:11:41,00:00:19,00:00:19,8,MIA,shot,Josh Richardson,,,,,,,,,Kelly Olynyk,2,,,made,,unknown,4,36,26,28.6,86.4,Olynyk 4' Driving Layup (2 PTS) (Richardson 1 AST)
"=""0021700500""",2017-2018 Regular Season,2017-12-26,Evan Fournier,Mario Hezonja,Bismack Biyombo,Jonathon Simmons,Elfrid Payton,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,2,00:11:26,00:00:34,00:00:15,10,ORL,miss,,,,,,,,,,Bismack Biyombo,0,,,missed,,Jump Shot,5,-45,12,29.5,6.2,MISS Biyombo 5' Jump Shot
"=""0021700500""",2017-2018 Regular Season,2017-12-26,Evan Fournier,Mario Hezonja,Bismack Biyombo,Jonathon Simmons,Elfrid Payton,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,2,00:11:26,00:00:34,00:00:00,11,MIA,rebound,,,,,,,,,,Goran Dragic,,,,,,rebound defensive,,,,,,Dragic REBOUND (Off:0 Def:1)
"=""0021700500""",2017-2018 Regular Season,2017-12-26,Evan Fournier,Mario Hezonja,Bismack Biyombo,Jonathon Simmons,Elfrid Payton,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,2,00:11:16,00:00:44,00:00:10,12,MIA,miss,,,,,,,,,,Josh Richardson,0,,,missed,,Jump Shot,23,230,24,48.0,86.6,MISS Richardson  3PT Jump Shot
"=""0021700500""",2017-2018 Regular Season,2017-12-26,Evan Fournier,Mario Hezonja,Bismack Biyombo,Jonathon Simmons,Elfrid Payton,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,2,00:11:11,00:00:49,00:00:05,13,ORL,rebound,,,,,,,,,,Jonathon Simmons,,,,,,rebound defensive,,,,,,Simmons REBOUND (Off:0 Def:1)
"=""0021700500""",2017-2018 Regular Season,2017-12-26,Evan Fournier,Mario Hezonja,Bismack Biyombo,Jonathon Simmons,Elfrid Payton,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,2,00:10:56,00:01:04,00:00:15,14,ORL,miss,,,,,,,,,,Evan Fournier,0,,,missed,,unknown,2,-23,8,27.3,5.8,MISS Fournier 2' Driving Layup
"=""0021700500""",2017-2018 Regular Season,2017-12-26,Evan Fournier,Mario Hezonja,Bismack Biyombo,Jonathon Simmons,Elfrid Payton,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,2,00:10:56,00:01:04,00:00:00,15,MIA,rebound,,,,,,,,,,Hassan Whiteside,,,,,,rebound defensive,,,,,,Whiteside REBOUND (Off:0 Def:1)
"=""0021700500""",2017-2018 Regular Season,2017-12-26,Evan Fournier,Mario Hezonja,Bismack Biyombo,Jonathon Simmons,Elfrid Payton,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,2,00:10:38,00:01:22,00:00:18,16,MIA,miss,,,,Bismack Biyombo,,,,,,Hassan Whiteside,0,,,missed,,Turnaround Hook Shot,5,23,42,27.3,84.8,"Biyombo BLOCK (1 BLK), MISS Whiteside 5' Turnaround Hook Shot"
