game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Willie Cauley-Stein,DeAndre Jordan,,,,,,,DeAndre Jordan,,Jamil Wilson,,,,jump ball,,,,,,Jump Ball Jordan vs. Cauley-Stein: Tip to Wilson
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,0,2,00:11:34,00:00:26,00:00:26,7,LAC,shot,,,,,,,,,,DeAndre Jordan,2,,,made,,Layup,2,11,21,26.1,86.9,Jordan 2' Layup (2 PTS)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,0,2,00:11:21,00:00:39,00:00:13,8,SAC,miss,,,,,,,,,,George Hill,0,,,missed,,Floating Jump Shot,12,22,122,22.8,17.2,MISS G. Hill 12' Floating Jump Shot
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,0,2,00:11:21,00:00:39,00:00:00,9,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Kings Rebound
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,2,2,00:11:16,00:00:44,00:00:05,10,SAC,shot,Willie Cauley-Stein,,,,,,,,,Zach Randolph,2,,,made,,Jump Shot,18,86,163,16.4,21.3,Randolph 18' Jump Shot (2 PTS) (Cauley-Stein 1 AST)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,2,2,00:11:06,00:00:54,00:00:10,12,LAC,miss,,,,,,,,,,Milos Teodosic,0,,,missed,,Jump Shot,26,-133,218,11.7,67.2,MISS Teodosic 26' 3PT Jump Shot
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,2,2,00:11:04,00:00:56,00:00:02,13,LAC,rebound,,,,,,,,,,C.J. Williams,,,,,,rebound offensive,,,,,,Williams REBOUND (Off:1 Def:0)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,2,5,00:10:59,00:01:01,00:00:05,14,LAC,shot,Milos Teodosic,,,,,,,,,Jamil Wilson,3,,,made,,Jump Shot,26,149,208,39.9,68.2,Wilson 26' 3PT Jump Shot (3 PTS) (Teodosic 1 AST)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,4,5,00:10:37,00:01:23,00:00:22,16,SAC,shot,,,,,,,,,,Zach Randolph,2,,,made,,Jump Shot,19,109,158,14.1,20.8,Randolph 19' Jump Shot (4 PTS)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,4,5,00:10:28,00:01:32,00:00:09,17,LAC,miss,,,,,,,,,,Austin Rivers,0,,,missed,,Jump Shot,26,-154,209,9.6,68.1,MISS Rivers 26' 3PT Jump Shot
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,4,5,00:10:24,00:01:36,00:00:04,18,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,5,00:10:16,00:01:44,00:00:08,19,SAC,shot,,,,,,,,,,George Hill,2,,,made,,Pullup Jump Shot,12,-6,122,25.6,17.2,G. Hill 12' Pullup Jump Shot (2 PTS)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:10:06,00:01:54,00:00:10,20,LAC,shot,Milos Teodosic,,,,,,,,,Jamil Wilson,3,,,made,,Jump Shot,26,150,218,40.0,67.2,Wilson 26' 3PT Jump Shot (6 PTS) (Teodosic 2 AST)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:09:49,00:02:11,00:00:17,22,SAC,miss,,,,,,,,,,George Hill,0,,,missed,,Jump Shot,24,-230,63,48.0,11.3,MISS G. Hill 24' 3PT Jump Shot
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:09:49,00:02:11,00:00:00,23,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CLIPPERS Rebound
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:09:29,00:02:31,00:00:20,24,LAC,miss,,,,,,,,,,Austin Rivers,0,,,missed,,Jump Shot,26,203,169,45.3,72.1,MISS Rivers 26' 3PT Jump Shot
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:09:28,00:02:32,00:00:01,25,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CLIPPERS Rebound
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:09:28,00:02:32,00:00:00,26,SAC,foul,,,,,,,,DeAndre Jordan,,Buddy Hield,,,l.b.foul,,,l.b.foul,,,,,,Hield L.B.FOUL (P1.T1) (R.Garretson)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:09:24,00:02:36,00:00:04,28,LAC,miss,,,,,,,,,,Jamil Wilson,0,,,missed,,Jump Shot,26,-69,251,18.1,63.9,MISS Wilson 26' 3PT Jump Shot
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:09:20,00:02:40,00:00:04,29,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:09:10,00:02:50,00:00:10,30,SAC,miss,,,,,,,,,,Zach Randolph,0,,,missed,,Layup,2,2,21,24.8,7.1,MISS Randolph 2' Layup
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:09:08,00:02:52,00:00:02,31,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,rebound defensive,,,,,,Jordan REBOUND (Off:0 Def:1)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:09:02,00:02:58,00:00:06,32,LAC,miss,,,,Garrett Temple,,,,,,Austin Rivers,0,,,missed,,unknown,5,40,24,29.0,86.6,"Temple BLOCK (1 BLK), MISS Rivers 5' Driving Layup"
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,6,8,00:08:59,00:03:01,00:00:03,34,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:2)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,9,8,00:08:52,00:03:08,00:00:07,35,SAC,shot,George Hill,,,,,,,,,Buddy Hield,3,,,made,,Jump Shot,24,241,34,0.9,8.4,Hield 24' 3PT Jump Shot (3 PTS) (G. Hill 1 AST)
"=""0021700505""",2017-2018 Regular Season,2017-12-26,Garrett Temple,Zach Randolph,Willie Cauley-Stein,Buddy Hield,George Hill,C.J. Williams,Jamil Wilson,DeAndre Jordan,Austin Rivers,Milos Teodosic,1,9,10,00:08:41,00:03:19,00:00:11,37,LAC,shot,Austin Rivers,,,,,,,,,Milos Teodosic,2,,,made,,Pullup Jump Shot,17,-82,152,16.8,73.8,Teodosic 17' Pullup Jump Shot (2 PTS) (Rivers 1 AST)
