game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,0:12:00,0:00:00,0:00:00,4,BOS,jump ball,,Al Horford,Dwight Howard,,,,,,,Dwight Howard,,Marcus Smart,,,,jump ball,,,,,,Jump Ball Howard vs. Horford: Tip to Smart
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,0:11:46,0:00:14,0:00:14,7,BOS,miss,,,,,,,,,,Aron Baynes,0,,,missed,,Jump Shot,11,-32,106,28.2,15.6,MISS Baynes 11' Jump Shot
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,0:11:43,0:00:17,0:00:03,8,CHA,rebound,,,,,,,,,,Dwight Howard,,,,,,rebound defensive,,,,,,Howard REBOUND (Off:0 Def:1)
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,0,0,0:11:30,0:00:30,0:00:13,9,CHA,turnover,,,,,,,,,,Dwight Howard,,,step out of bounds turnover,,,step out of bounds turnover,,,,,,Howard Step Out of Bounds Turnover (P1.T1)
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,3,0,0:11:12,0:00:48,0:00:18,10,BOS,shot,Kyrie Irving,,,,,,,,,Al Horford,3,,,made,,Jump Shot,26,-126,223,37.6,27.3,Horford 26' 3PT Jump Shot (3 PTS) (Irving 1 AST)
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,3,0,0:10:54,0:01:06,0:00:18,13,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Jump Shot,26,-4,256,24.6,63.4,MISS Walker 26' 3PT Jump Shot
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,3,0,0:10:49,0:01:11,0:00:05,14,BOS,rebound,,,,,,,,,,Aron Baynes,,,,,,rebound defensive,,,,,,Baynes REBOUND (Off:0 Def:1)
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,5,0,0:10:42,0:01:18,0:00:07,15,BOS,shot,Kyrie Irving,,,,,,,,,Aron Baynes,2,,,made,,Jump Bank Shot,11,90,65,16,11.5,Baynes 11' Jump Bank Shot (2 PTS) (Irving 2 AST)
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,5,0,0:10:18,0:01:42,0:00:24,17,CHA,miss,,,,,,,,,,Dwight Howard,0,,,missed,,Jump Shot,17,30,168,28,72.2,MISS Howard 17' Jump Shot
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,5,0,0:10:15,0:01:45,0:00:03,18,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,5,0,0:09:59,0:02:01,0:00:16,19,BOS,miss,,,,,,,,,,Marcus Smart,0,,,missed,,Jump Shot,2,3,21,24.7,7.1,MISS Smart 2' Jump Shot
0021700506,2017-2018 Regular Season,12/27/2017,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,1,5,0,0:09:57,0:02:03,0:00:02,20,CHA,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:1)
