game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700530""",2017-2018 Regular Season,2017-12-30,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Tobias Harris,Anthony Tolliver,Andre Drummond,Reggie Bullock,Ish Smith,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700530""",2017-2018 Regular Season,2017-12-30,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Tobias Harris,Anthony Tolliver,Andre Drummond,Reggie Bullock,Ish Smith,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Pau Gasol,Andre Drummond,,,,,,,Andre Drummond,,Kawhi Leonard,,,,jump ball,,,,,,Jump Ball Drummond vs. Gasol: Tip to Leonard
"=""0021700530""",2017-2018 Regular Season,2017-12-30,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Tobias Harris,Anthony Tolliver,Andre Drummond,Reggie Bullock,Ish Smith,1,0,0,00:11:35,00:00:25,00:00:25,7,SAS,miss,,,,,,,,,,Danny Green,0,,,missed,,Floating Jump Shot,8,74,38,17.6,8.8,MISS Green 8' Floating Jump Shot
"=""0021700530""",2017-2018 Regular Season,2017-12-30,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Tobias Harris,Anthony Tolliver,Andre Drummond,Reggie Bullock,Ish Smith,1,0,0,00:11:31,00:00:29,00:00:04,8,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021700530""",2017-2018 Regular Season,2017-12-30,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Tobias Harris,Anthony Tolliver,Andre Drummond,Reggie Bullock,Ish Smith,1,0,3,00:11:26,00:00:34,00:00:05,9,DET,shot,Ish Smith,,,,,,,,,Reggie Bullock,3,,,made,,Jump Shot,23,230,3,48.0,88.7,Bullock  3PT Jump Shot (3 PTS) (Smith 1 AST)
"=""0021700530""",2017-2018 Regular Season,2017-12-30,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Tobias Harris,Anthony Tolliver,Andre Drummond,Reggie Bullock,Ish Smith,1,0,3,00:11:10,00:00:50,00:00:16,11,SAS,miss,,,,,,,,,,Pau Gasol,0,,,missed,,Jump Shot,22,-224,6,47.4,5.6,MISS Gasol  3PT Jump Shot
"=""0021700530""",2017-2018 Regular Season,2017-12-30,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Tobias Harris,Anthony Tolliver,Andre Drummond,Reggie Bullock,Ish Smith,1,0,3,00:11:06,00:00:54,00:00:04,12,DET,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021700530""",2017-2018 Regular Season,2017-12-30,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Tobias Harris,Anthony Tolliver,Andre Drummond,Reggie Bullock,Ish Smith,1,0,3,00:10:58,00:01:02,00:00:08,13,DET,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,25,-26,251,22.4,63.9,MISS Harris 25' 3PT Jump Shot
"=""0021700530""",2017-2018 Regular Season,2017-12-30,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Tobias Harris,Anthony Tolliver,Andre Drummond,Reggie Bullock,Ish Smith,1,0,3,00:10:55,00:01:05,00:00:03,14,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021700530""",2017-2018 Regular Season,2017-12-30,Kawhi Leonard,LaMarcus Aldridge,Pau Gasol,Danny Green,Tony Parker,Tobias Harris,Anthony Tolliver,Andre Drummond,Reggie Bullock,Ish Smith,1,0,3,00:10:45,00:01:15,00:00:10,15,SAS,miss,,,,,,,,,,Kawhi Leonard,0,,,missed,,Jump Shot,15,85,126,16.5,17.6,MISS Leonard 15' Jump Shot
