game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:12:00,00:00:00,00:00:00,4,ATL,jump ball,,Jusuf Nurkic,Miles Plumlee,,,,,,,Miles Plumlee,,Kent Bazemore,,,,jump ball,,,,,,Jump Ball Plumlee vs. Nurkic: Tip to Bazemore
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:11:44,00:00:16,00:00:16,7,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Jump Shot,25,-116,220,13.4,67.0,MISS Prince 25' 3PT Jump Shot
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:11:43,00:00:17,00:00:01,8,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Trail Blazers Rebound
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:11:29,00:00:31,00:00:14,9,POR,turnover,,,,,,,,,,Al-Farouq Aminu,,,bad pass ,,Miles Plumlee,bad pass ,,,,,,"Aminu Bad Pass Turnover (P1.T1), Plumlee STEAL (1 STL)"
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:11:25,00:00:35,00:00:04,11,ATL,miss,,,,Shabazz Napier,,,,,,Dennis Schroder,0,,,missed,,Running Layup,1,-5,8,24.5,88.2,"Napier BLOCK (1 BLK), MISS Schroder 1' Running Layup"
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,0,0,00:11:25,00:00:35,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Trail Blazers Rebound
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,2,0,00:11:09,00:00:51,00:00:16,13,POR,shot,Shabazz Napier,,,,,,,,,Al-Farouq Aminu,2,,,made,,Reverse Layup,1,9,8,24.1,5.8,Aminu 1' Reverse Layup (2 PTS) (Napier 1 AST)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,2,3,00:10:52,00:01:08,00:00:17,15,ATL,shot,Taurean Prince,,,,,,,,,Ersan Ilyasova,3,,,made,,Jump Shot,23,-229,-5,2.1,89.5,Ilyasova  3PT Jump Shot (3 PTS) (Prince 1 AST)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,3,00:10:37,00:01:23,00:00:15,17,POR,shot,Jusuf Nurkic,,,,,,,,,Evan Turner,2,,,made,,Turnaround Jump Shot,14,45,131,20.5,18.1,Turner 14' Turnaround Jump Shot (2 PTS) (Nurkic 1 AST)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,5,00:10:16,00:01:44,00:00:21,19,ATL,shot,Taurean Prince,,,,,,,,,Miles Plumlee,2,,,made,,Layup,1,-7,12,24.3,87.8,Plumlee 1' Layup (2 PTS) (Prince 2 AST)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,5,00:10:00,00:02:00,00:00:16,21,POR,turnover,,,,,,,,,,Jusuf Nurkic,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Nurkic Out of Bounds Lost Ball Turnover (P1.T2)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:09:49,00:02:11,00:00:11,22,ATL,shot,,,,,,,,,,Dennis Schroder,2,,,made,,Pullup Jump Shot,18,-130,131,12.0,75.9,Schroder 18' Pullup Jump Shot (2 PTS)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:09:37,00:02:23,00:00:12,24,POR,miss,,,,,,,,,,Shabazz Napier,0,,,missed,,Pullup Jump Shot,3,5,30,24.5,8.0,MISS Napier 3' Pullup Jump Shot
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:09:33,00:02:27,00:00:04,25,ATL,rebound,,,,,,,,,,Miles Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:1)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:09:31,00:02:29,00:00:02,26,ATL,miss,,,,,,,,,,Dennis Schroder,0,,,missed,,Jump Shot,25,-147,207,10.3,68.3,MISS Schroder 25' 3PT Jump Shot
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:09:26,00:02:34,00:00:05,27,POR,rebound,,,,,,,,,,Evan Turner,,,,,,rebound defensive,,,,,,Turner REBOUND (Off:0 Def:1)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:09:19,00:02:41,00:00:07,28,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Jump Shot,18,-170,67,42.0,11.7,MISS Nurkic 18' Jump Shot
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:09:19,00:02:41,00:00:00,29,ATL,rebound,,,,,,,,,,Miles Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:2)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:09:07,00:02:53,00:00:12,30,ATL,turnover,,,,,,,,,,Kent Bazemore,,,lost ball ,,CJ McCollum,lost ball ,,,,,,"McCollum STEAL (1 STL), Bazemore Lost Ball Turnover (P1.T1)"
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:08:55,00:03:05,00:00:12,32,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,Layup,2,6,16,24.4,6.6,MISS McCollum 2' Layup
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:08:51,00:03:09,00:00:04,33,POR,rebound,,,,,,,,,,Jusuf Nurkic,,,,,,rebound offensive,,,,,,Nurkic REBOUND (Off:1 Def:0)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:08:49,00:03:11,00:00:02,34,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,unknown,2,3,19,24.7,6.9,MISS Nurkic 2' Tip Layup Shot
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:08:49,00:03:11,00:00:00,35,ATL,rebound,,,,,,,,,,Ersan Ilyasova,,,,,,rebound defensive,,,,,,Ilyasova REBOUND (Off:0 Def:1)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:08:48,00:03:12,00:00:01,36,ATL,turnover,,,,,,,,,,Taurean Prince,,,,,,unknown,,,,,,Prince Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:08:32,00:03:28,00:00:16,37,POR,miss,,,,,,,,,,Evan Turner,0,,,missed,,Pullup Jump Shot,16,109,122,14.1,17.2,MISS Turner 16' Pullup Jump Shot
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:08:30,00:03:30,00:00:02,38,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound offensive,,,,,,Aminu REBOUND (Off:1 Def:0)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,4,7,00:08:30,00:03:30,00:00:00,39,ATL,foul,,,,,,,,Al-Farouq Aminu,,Ersan Ilyasova,,,s.foul,,,s.foul,,,,,,Ilyasova S.FOUL (P1.T1) (G.Zielinski)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,5,7,00:08:30,00:03:30,00:00:00,41,POR,free throw,,,,,,,1,,2,Al-Farouq Aminu,1,,,made,,Free Throw 1 of 2,,,,,,Aminu Free Throw 1 of 2 (3 PTS)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,5,7,00:08:30,00:03:30,00:00:00,42,POR,free throw,,,,,,,2,,2,Al-Farouq Aminu,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Aminu Free Throw 2 of 2
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,5,7,00:08:27,00:03:33,00:00:03,43,ATL,rebound,,,,,,,,,,Ersan Ilyasova,,,,,,rebound defensive,,,,,,Ilyasova REBOUND (Off:0 Def:2)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,5,7,00:08:18,00:03:42,00:00:09,44,ATL,turnover,,,,,,,,,,Miles Plumlee,,,bad pass ,,Shabazz Napier,bad pass ,,,,,,"Napier STEAL (1 STL), Plumlee Bad Pass Turnover (P1.T3)"
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,5,7,00:08:04,00:03:56,00:00:14,46,POR,miss,,,,,,,,,,Jusuf Nurkic,0,,,missed,,Jump Shot,21,123,166,12.7,21.6,MISS Nurkic 21' Jump Shot
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,5,7,00:08:00,00:04:00,00:00:04,47,ATL,rebound,,,,,,,,,,Taurean Prince,,,,,,rebound defensive,,,,,,Prince REBOUND (Off:0 Def:1)
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,5,7,00:07:55,00:04:05,00:00:05,64,ATL,miss,,,,Shabazz Napier,,,,,,Dennis Schroder,0,,,missed,,Layup,4,35,9,28.5,88.1,"Napier BLOCK (2 BLK), MISS Schroder 4' Layup"
"=""0021700533""",2017-2018 Regular Season,2017-12-30,Evan Turner,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Shabazz Napier,Taurean Prince,Ersan Ilyasova,Miles Plumlee,Kent Bazemore,Dennis Schroder,1,5,7,00:07:55,00:04:05,00:00:00,66,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,HAWKS Rebound
