game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Dwight Howard,Skal Labissiere,,,,,,,Skal Labissiere,,Marvin Williams,,,,jump ball,,,,,,Jump Ball Labissiere vs. Howard: Tip to Williams
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:11:41,00:00:19,00:00:19,7,CHA,miss,,,,,,,,,,Dwight Howard,0,,,missed,,Hook Shot,5,-33,39,28.3,8.9,MISS Howard 5' Hook Shot
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:11:39,00:00:21,00:00:02,8,SAC,rebound,,,,,,,,,,Zach Randolph,,,,,,rebound defensive,,,,,,Randolph REBOUND (Off:0 Def:1)
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,0,0,00:11:24,00:00:36,00:00:15,9,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,bad pass ,,Kemba Walker,bad pass ,,,,,,"Walker STEAL (1 STL), Fox Bad Pass Turnover (P1.T1)"
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,2,0,00:11:19,00:00:41,00:00:05,11,CHA,shot,,,,,,,,,,Marvin Williams,2,,,made,,Running Layup,0,4,-3,24.6,4.7,Williams 1' Running Layup (2 PTS)
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,2,3,00:11:08,00:00:52,00:00:11,12,SAC,shot,George Hill,,,,,,,,,Garrett Temple,3,,,made,,Jump Shot,25,67,243,31.7,64.7,Temple 25' 3PT Jump Shot (3 PTS) (G. Hill 1 AST)
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,4,3,00:10:48,00:01:12,00:00:20,14,CHA,shot,Nicolas Batum,,,,,,,,,Michael Kidd-Gilchrist,2,,,made,,Hook Shot,8,-39,73,28.9,12.3,Kidd-Gilchrist 8' Hook Shot (2 PTS) (Batum 1 AST)
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,4,3,00:10:42,00:01:18,00:00:06,15,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Fox Out of Bounds Lost Ball Turnover (P2.T2)
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,6,3,00:10:32,00:01:28,00:00:10,17,CHA,shot,Kemba Walker,,,,,,,,,Dwight Howard,2,,,made,,unknown,1,3,6,24.7,5.6,Howard 1' Cutting Dunk Shot (2 PTS) (Walker 1 AST)
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,6,3,00:10:05,00:01:55,00:00:27,19,SAC,miss,,,,,,,,,,George Hill,0,,,missed,,Fadeaway Jumper,15,145,17,39.5,87.3,MISS G. Hill 15' Fadeaway Jumper
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,6,3,00:10:00,00:02:00,00:00:05,20,SAC,rebound,,,,,,,,,,Skal Labissiere,,,,,,rebound offensive,,,,,,Labissiere REBOUND (Off:1 Def:0)
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,6,5,00:09:59,00:02:01,00:00:01,21,SAC,shot,,,,,,,,,,Skal Labissiere,2,,,made,,Layup,1,-5,8,24.5,88.2,Labissiere 1' Layup (2 PTS)
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,9,5,00:09:48,00:02:12,00:00:11,22,CHA,shot,,,,,,,,,,Kemba Walker,3,,,made,,Pullup Jump Shot,25,185,170,6.5,22.0,Walker 25' 3PT Pullup Jump Shot (3 PTS)
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,9,5,00:09:36,00:02:24,00:00:12,23,SAC,miss,,,,,,,,,,Garrett Temple,0,,,missed,,Jump Shot,25,-52,242,19.8,64.8,MISS Temple 25' 3PT Jump Shot
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,9,5,00:09:32,00:02:28,00:00:04,24,CHA,rebound,,,,,,,,,,Kemba Walker,,,,,,rebound defensive,,,,,,Walker REBOUND (Off:0 Def:1)
"=""0021700552""",2017-2018 Regular Season,2018-01-02,Michael Kidd-Gilchrist,Marvin Williams,Dwight Howard,Nicolas Batum,Kemba Walker,Garrett Temple,Skal Labissiere,Zach Randolph,George Hill,De'Aaron Fox,1,11,5,00:09:27,00:02:33,00:00:05,25,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,unknown,1,8,0,24.2,5.0,Walker 1' Driving Layup (5 PTS)
