game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700558""",2017-2018 Regular Season,2018-01-03,Tobias Harris,Avery Bradley,Boban Marjanovic,Reggie Bullock,Ish Smith,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700558""",2017-2018 Regular Season,2018-01-03,Tobias Harris,Avery Bradley,Boban Marjanovic,Reggie Bullock,Ish Smith,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:12:00,00:00:00,00:00:00,4,MIA,jump ball,,Boban Marjanovic,Hassan Whiteside,,,,,,,Hassan Whiteside,,Goran Dragic,,,,jump ball,,,,,,Jump Ball Whiteside vs. Marjanovic: Tip to Dragic
"=""0021700558""",2017-2018 Regular Season,2018-01-03,Tobias Harris,Avery Bradley,Boban Marjanovic,Reggie Bullock,Ish Smith,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:11:31,00:00:29,00:00:29,7,MIA,miss,,,,,,,,,,Tyler Johnson,0,,,missed,,Jump Shot,24,231,46,48.1,84.4,MISS Johnson 24' 3PT Jump Shot
"=""0021700558""",2017-2018 Regular Season,2018-01-03,Tobias Harris,Avery Bradley,Boban Marjanovic,Reggie Bullock,Ish Smith,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:11:29,00:00:31,00:00:02,8,DET,rebound,,,,,,,,,,Boban Marjanovic,,,,,,rebound defensive,,,,,,Marjanovic REBOUND (Off:0 Def:1)
"=""0021700558""",2017-2018 Regular Season,2018-01-03,Tobias Harris,Avery Bradley,Boban Marjanovic,Reggie Bullock,Ish Smith,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:11:18,00:00:42,00:00:11,9,DET,miss,,,,,,,,,,Avery Bradley,0,,,missed,,Jump Shot,26,-186,188,43.6,23.8,MISS Bradley 26' 3PT Jump Shot
"=""0021700558""",2017-2018 Regular Season,2018-01-03,Tobias Harris,Avery Bradley,Boban Marjanovic,Reggie Bullock,Ish Smith,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,0,00:11:16,00:00:44,00:00:02,10,MIA,rebound,,,,,,,,,,Kelly Olynyk,,,,,,rebound defensive,,,,,,Olynyk REBOUND (Off:0 Def:1)
"=""0021700558""",2017-2018 Regular Season,2018-01-03,Tobias Harris,Avery Bradley,Boban Marjanovic,Reggie Bullock,Ish Smith,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,3,00:11:02,00:00:58,00:00:14,11,MIA,shot,Hassan Whiteside,,,,,,,,,Kelly Olynyk,3,,,made,,Jump Shot,27,149,231,39.9,65.9,Olynyk 27' 3PT Jump Shot (3 PTS) (Whiteside 1 AST)
"=""0021700558""",2017-2018 Regular Season,2018-01-03,Tobias Harris,Avery Bradley,Boban Marjanovic,Reggie Bullock,Ish Smith,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,3,00:10:46,00:01:14,00:00:16,13,DET,miss,,,,Hassan Whiteside,,,,,,Reggie Bullock,0,,,missed,,Layup,2,-16,18,26.6,6.8,"MISS Bullock 2' Layup, Whiteside BLOCK (1 BLK)"
"=""0021700558""",2017-2018 Regular Season,2018-01-03,Tobias Harris,Avery Bradley,Boban Marjanovic,Reggie Bullock,Ish Smith,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,0,3,00:10:46,00:01:14,00:00:00,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Pistons Rebound
"=""0021700558""",2017-2018 Regular Season,2018-01-03,Tobias Harris,Avery Bradley,Boban Marjanovic,Reggie Bullock,Ish Smith,Josh Richardson,Kelly Olynyk,Hassan Whiteside,Tyler Johnson,Goran Dragic,1,2,3,00:10:35,00:01:25,00:00:11,16,DET,shot,,,,,,,,,,Boban Marjanovic,2,,,made,,Turnaround Jump Shot,9,-33,89,28.3,13.9,Marjanovic 9' Turnaround Jump Shot (2 PTS)
