game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021700565,2017-2018 Regular Season,1/3/2018,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Brandon Ingram,Kyle Kuzma,Julius Randle,Kentavious Caldwell-Pope,Tyler Ennis,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021700565,2017-2018 Regular Season,1/3/2018,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Brandon Ingram,Kyle Kuzma,Julius Randle,Kentavious Caldwell-Pope,Tyler Ennis,1,0,0,0:12:00,0:00:00,0:00:00,4,LAL,jump ball,,Steven Adams,Julius Randle,,,,,,,Julius Randle,,Tyler Ennis,,,,jump ball,,,,,,Jump Ball Randle vs. Adams: Tip to Ennis
0021700565,2017-2018 Regular Season,1/3/2018,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Brandon Ingram,Kyle Kuzma,Julius Randle,Kentavious Caldwell-Pope,Tyler Ennis,1,0,0,0:11:49,0:00:11,0:00:11,7,LAL,miss,,,,,,,,,,Kyle Kuzma,0,,,missed,,Jump Shot,27,165,215,41.5,67.5,MISS Kuzma 27' 3PT Jump Shot
0021700565,2017-2018 Regular Season,1/3/2018,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Brandon Ingram,Kyle Kuzma,Julius Randle,Kentavious Caldwell-Pope,Tyler Ennis,1,0,0,0:11:44,0:00:16,0:00:05,8,OKC,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:0 Def:1)
0021700565,2017-2018 Regular Season,1/3/2018,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Brandon Ingram,Kyle Kuzma,Julius Randle,Kentavious Caldwell-Pope,Tyler Ennis,1,0,0,0:11:32,0:00:28,0:00:12,9,OKC,turnover,,,,,,,,,,Paul George,,,bad pass ,,Julius Randle,bad pass ,,,,,,"George Bad Pass Turnover (P1.T1), Randle STEAL (1 STL)"
0021700565,2017-2018 Regular Season,1/3/2018,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Brandon Ingram,Kyle Kuzma,Julius Randle,Kentavious Caldwell-Pope,Tyler Ennis,1,0,0,0:11:28,0:00:32,0:00:04,11,LAL,turnover,,,,,,,,,,Julius Randle,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Randle Out of Bounds Lost Ball Turnover (P1.T1)
0021700565,2017-2018 Regular Season,1/3/2018,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Brandon Ingram,Kyle Kuzma,Julius Randle,Kentavious Caldwell-Pope,Tyler Ennis,1,0,0,0:11:12,0:00:48,0:00:16,12,OKC,turnover,,,,,,,,,,Paul George,,,backcourt,,,backcourt,,,,,,George Backcourt Turnover (P2.T2)
0021700565,2017-2018 Regular Season,1/3/2018,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Brandon Ingram,Kyle Kuzma,Julius Randle,Kentavious Caldwell-Pope,Tyler Ennis,1,0,2,0:11:02,0:00:58,0:00:10,13,LAL,shot,Tyler Ennis,,,,,,,,,Kyle Kuzma,2,,,made,,Driving Hook Shot,3,24,24,27.4,86.6,Kuzma 3' Driving Hook Shot (2 PTS) (Ennis 1 AST)
0021700565,2017-2018 Regular Season,1/3/2018,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Brandon Ingram,Kyle Kuzma,Julius Randle,Kentavious Caldwell-Pope,Tyler Ennis,1,0,2,0:10:47,0:01:13,0:00:15,15,OKC,miss,,,,,,,,,,Terrance Ferguson,0,,,missed,,Jump Shot,23,-223,33,47.3,8.3,MISS Ferguson  3PT Jump Shot
0021700565,2017-2018 Regular Season,1/3/2018,Paul George,Carmelo Anthony,Steven Adams,Terrance Ferguson,Russell Westbrook,Brandon Ingram,Kyle Kuzma,Julius Randle,Kentavious Caldwell-Pope,Tyler Ennis,1,0,2,0:10:44,0:01:16,0:00:03,16,LAL,rebound,,,,,,,,,,Kentavious Caldwell-Pope,,,,,,rebound defensive,,,,,,Caldwell-Pope REBOUND (Off:0 Def:1)
