game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700573""",2017-2018 Regular Season,2018-01-05,Josh Jackson,Marquese Chriss,Tyson Chandler,Devin Booker,Tyler Ulis,Kawhi Leonard,Kyle Anderson,Pau Gasol,Bryn Forbes,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700573""",2017-2018 Regular Season,2018-01-05,Josh Jackson,Marquese Chriss,Tyson Chandler,Devin Booker,Tyler Ulis,Kawhi Leonard,Kyle Anderson,Pau Gasol,Bryn Forbes,Tony Parker,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Tyson Chandler,Pau Gasol,,,,,,,Pau Gasol,,Tony Parker,,,,jump ball,,,,,,Jump Ball Gasol vs. Chandler: Tip to Parker
"=""0021700573""",2017-2018 Regular Season,2018-01-05,Josh Jackson,Marquese Chriss,Tyson Chandler,Devin Booker,Tyler Ulis,Kawhi Leonard,Kyle Anderson,Pau Gasol,Bryn Forbes,Tony Parker,1,0,2,00:11:45,00:00:15,00:00:15,7,SAS,shot,Kawhi Leonard,,,,,,,,,Pau Gasol,2,,,made,,unknown,7,67,25,31.7,86.5,Gasol 7' Driving Floating Jump Shot (2 PTS) (Leonard 1 AST)
"=""0021700573""",2017-2018 Regular Season,2018-01-05,Josh Jackson,Marquese Chriss,Tyson Chandler,Devin Booker,Tyler Ulis,Kawhi Leonard,Kyle Anderson,Pau Gasol,Bryn Forbes,Tony Parker,1,0,2,00:11:29,00:00:31,00:00:16,9,PHX,miss,,,,,,,,,,Marquese Chriss,0,,,missed,,Jump Shot,23,227,-8,2.3,4.2,MISS Chriss  3PT Jump Shot
"=""0021700573""",2017-2018 Regular Season,2018-01-05,Josh Jackson,Marquese Chriss,Tyson Chandler,Devin Booker,Tyler Ulis,Kawhi Leonard,Kyle Anderson,Pau Gasol,Bryn Forbes,Tony Parker,1,0,2,00:11:26,00:00:34,00:00:03,10,PHX,rebound,,,,,,,,,,Tyson Chandler,,,,,,rebound offensive,,,,,,Chandler REBOUND (Off:1 Def:0)
"=""0021700573""",2017-2018 Regular Season,2018-01-05,Josh Jackson,Marquese Chriss,Tyson Chandler,Devin Booker,Tyler Ulis,Kawhi Leonard,Kyle Anderson,Pau Gasol,Bryn Forbes,Tony Parker,1,3,2,00:11:24,00:00:36,00:00:02,11,PHX,shot,Tyler Ulis,,,,,,,,,Devin Booker,3,,,made,,Jump Shot,27,-139,235,38.9,28.5,Booker 27' 3PT Jump Shot (3 PTS) (Ulis 1 AST)
"=""0021700573""",2017-2018 Regular Season,2018-01-05,Josh Jackson,Marquese Chriss,Tyson Chandler,Devin Booker,Tyler Ulis,Kawhi Leonard,Kyle Anderson,Pau Gasol,Bryn Forbes,Tony Parker,1,3,5,00:10:57,00:01:03,00:00:27,13,SAS,shot,Tony Parker,,,,,,,,,Kyle Anderson,3,,,made,,Jump Shot,24,225,75,47.5,81.5,Anderson 24' 3PT Jump Shot (3 PTS) (Parker 1 AST)
"=""0021700573""",2017-2018 Regular Season,2018-01-05,Josh Jackson,Marquese Chriss,Tyson Chandler,Devin Booker,Tyler Ulis,Kawhi Leonard,Kyle Anderson,Pau Gasol,Bryn Forbes,Tony Parker,1,3,5,00:10:46,00:01:14,00:00:11,15,PHX,foul,,,,,,,,Bryn Forbes,,Devin Booker,,,off.foul,,,off.foul,,,,,,Booker OFF.Foul (P1) (J.Williams)
"=""0021700573""",2017-2018 Regular Season,2018-01-05,Josh Jackson,Marquese Chriss,Tyson Chandler,Devin Booker,Tyler Ulis,Kawhi Leonard,Kyle Anderson,Pau Gasol,Bryn Forbes,Tony Parker,1,3,5,00:10:46,00:01:14,00:00:00,17,PHX,turnover,,,,,,,,,,Devin Booker,,,offensive foul turnover,,,offensive foul turnover,,,,,,Booker Offensive Foul Turnover (P1.T1)
"=""0021700573""",2017-2018 Regular Season,2018-01-05,Josh Jackson,Marquese Chriss,Tyson Chandler,Devin Booker,Tyler Ulis,Kawhi Leonard,Kyle Anderson,Pau Gasol,Bryn Forbes,Tony Parker,1,3,8,00:10:28,00:01:32,00:00:18,18,SAS,shot,Tony Parker,,,,,,,,,Bryn Forbes,3,,,made,,Jump Shot,25,-65,240,18.5,65.0,Forbes 25' 3PT Jump Shot (3 PTS) (Parker 2 AST)
