game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700574""",2017-2018 Regular Season,2018-01-05,Joe Ingles,Thabo Sefolosha,Derrick Favors,Donovan Mitchell,Ricky Rubio,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700574""",2017-2018 Regular Season,2018-01-05,Joe Ingles,Thabo Sefolosha,Derrick Favors,Donovan Mitchell,Ricky Rubio,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Derrick Favors,Mason Plumlee,,,,,,,Mason Plumlee,,Ricky Rubio,,,,jump ball,,,,,,Jump Ball Plumlee vs. Favors: Tip to Rubio
"=""0021700574""",2017-2018 Regular Season,2018-01-05,Joe Ingles,Thabo Sefolosha,Derrick Favors,Donovan Mitchell,Ricky Rubio,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,1,0,0,00:11:44,00:00:16,00:00:16,7,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,23,-231,2,48.1,5.2,MISS Ingles  3PT Jump Shot
"=""0021700574""",2017-2018 Regular Season,2018-01-05,Joe Ingles,Thabo Sefolosha,Derrick Favors,Donovan Mitchell,Ricky Rubio,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,1,0,0,00:11:42,00:00:18,00:00:02,8,DEN,rebound,,,,,,,,,,Jamal Murray,,,,,,rebound defensive,,,,,,Murray REBOUND (Off:0 Def:1)
"=""0021700574""",2017-2018 Regular Season,2018-01-05,Joe Ingles,Thabo Sefolosha,Derrick Favors,Donovan Mitchell,Ricky Rubio,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,1,0,0,00:11:27,00:00:33,00:00:15,9,DEN,turnover,,,,,,,,,,Wilson Chandler,,,bad pass ,,Ricky Rubio,bad pass ,,,,,,"Rubio STEAL (1 STL), Chandler Bad Pass Turnover (P1.T1)"
"=""0021700574""",2017-2018 Regular Season,2018-01-05,Joe Ingles,Thabo Sefolosha,Derrick Favors,Donovan Mitchell,Ricky Rubio,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,1,2,0,00:11:12,00:00:48,00:00:15,11,UTA,shot,Joe Ingles,,,,,,,,,Derrick Favors,2,,,made,,Step Back Jump Shot,8,38,71,21.2,12.1,Favors 8' Step Back Jump Shot (2 PTS) (Ingles 1 AST)
"=""0021700574""",2017-2018 Regular Season,2018-01-05,Joe Ingles,Thabo Sefolosha,Derrick Favors,Donovan Mitchell,Ricky Rubio,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,1,2,2,00:10:45,00:01:15,00:00:27,13,DEN,shot,,,,,,,,,,Jamal Murray,2,,,made,,Pullup Jump Shot,14,-4,142,24.6,74.8,Murray 14' Pullup Jump Shot (2 PTS)
"=""0021700574""",2017-2018 Regular Season,2018-01-05,Joe Ingles,Thabo Sefolosha,Derrick Favors,Donovan Mitchell,Ricky Rubio,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,1,5,2,00:10:25,00:01:35,00:00:20,14,UTA,shot,Thabo Sefolosha,,,,,,,,,Ricky Rubio,3,,,made,,Jump Shot,25,-213,134,46.3,18.4,Rubio 25' 3PT Jump Shot (3 PTS) (Sefolosha 1 AST)
"=""0021700574""",2017-2018 Regular Season,2018-01-05,Joe Ingles,Thabo Sefolosha,Derrick Favors,Donovan Mitchell,Ricky Rubio,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,1,5,4,00:10:04,00:01:56,00:00:21,16,DEN,shot,Mason Plumlee,,,,,,,,,Nikola Jokic,2,,,made,,Layup,5,40,26,29.0,86.4,Jokic 5' Layup (2 PTS) (Plumlee 1 AST)
"=""0021700574""",2017-2018 Regular Season,2018-01-05,Joe Ingles,Thabo Sefolosha,Derrick Favors,Donovan Mitchell,Ricky Rubio,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,1,5,4,00:09:51,00:02:09,00:00:13,18,UTA,miss,,,,,,,,,,Donovan Mitchell,0,,,missed,,Pullup Jump Shot,13,-14,126,26.4,17.6,MISS Mitchell 13' Pullup Jump Shot
