game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,John Henson,Marcin Gortat,,,,,,,Marcin Gortat,,John Wall,,,,jump ball,,,,,,Jump Ball Gortat vs. Henson: Tip to Wall
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:11:36,00:00:24,00:00:24,7,WAS,miss,,,,,,,,,,John Wall,0,,,missed,,Pullup Jump Shot,16,-159,0,9.1,89.0,MISS Wall 16' Pullup Jump Shot
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:11:32,00:00:28,00:00:04,8,MIL,rebound,,,,,,,,,,Malcolm Brogdon,,,,,,rebound defensive,,,,,,Brogdon REBOUND (Off:0 Def:1)
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:11:27,00:00:33,00:00:05,9,MIL,miss,,,,Marcin Gortat,,,,,,John Henson,0,,,missed,,Reverse Layup,5,52,6,19.8,5.6,"MISS Henson 5' Reverse Layup, Gortat BLOCK (1 BLK)"
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,0,00:11:27,00:00:33,00:00:00,11,WAS,rebound,,,,,,,,,,Markieff Morris,,,,,,rebound defensive,,,,,,Mark Morris REBOUND (Off:0 Def:1)
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:11:14,00:00:46,00:00:13,12,WAS,shot,John Wall,,,,,,,,,Markieff Morris,2,,,made,,Pullup Jump Shot,16,-73,139,17.7,75.1,Mark Morris 16' Pullup Jump Shot (2 PTS) (Wall 1 AST)
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:11:01,00:00:59,00:00:13,14,MIL,miss,,,,Bradley Beal,,,,,,Malcolm Brogdon,0,,,missed,,Jump Shot,4,29,30,22.1,8.0,"MISS Brogdon 4' Jump Shot, Beal BLOCK (1 BLK)"
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,2,00:11:01,00:00:59,00:00:00,16,WAS,rebound,,,,,,,,,,Bradley Beal,,,,,,rebound defensive,,,,,,Beal REBOUND (Off:0 Def:1)
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,5,00:10:54,00:01:06,00:00:07,17,WAS,shot,John Wall,,,,,,,,,Kelly Oubre Jr.,3,,,made,,Jump Shot,23,230,13,48.0,87.7,Oubre Jr.  3PT Jump Shot (3 PTS) (Wall 2 AST)
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,5,00:10:37,00:01:23,00:00:17,19,MIL,miss,,,,,,,,,,Malcolm Brogdon,0,,,missed,,Jump Shot,23,229,42,2.1,9.2,MISS Brogdon  3PT Jump Shot
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,5,00:10:34,00:01:26,00:00:03,20,WAS,rebound,,,,,,,,,,John Wall,,,,,,rebound defensive,,,,,,Wall REBOUND (Off:0 Def:1)
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,5,00:10:24,00:01:36,00:00:10,21,WAS,miss,,,,,,,,,,Bradley Beal,0,,,missed,,Jump Shot,23,-234,6,1.6,88.4,MISS Beal  3PT Jump Shot
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,5,00:10:20,00:01:40,00:00:04,22,WAS,rebound,,,,,,,,,,Markieff Morris,,,,,,rebound offensive,,,,,,Mark Morris REBOUND (Off:1 Def:1)
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,0,7,00:10:20,00:01:40,00:00:00,23,WAS,shot,,,,,,,,,,Markieff Morris,2,,,made,,unknown,1,0,-6,25.0,89.6,Mark Morris 1' Tip Layup Shot (4 PTS)
"=""0021700583""",2017-2018 Regular Season,2018-01-06,Khris Middleton,Giannis Antetokounmpo,John Henson,Malcolm Brogdon,Eric Bledsoe,Kelly Oubre Jr.,Markieff Morris,Marcin Gortat,Bradley Beal,John Wall,1,2,7,00:09:58,00:02:02,00:00:22,24,MIL,shot,Giannis Antetokounmpo,,,,,,,,,John Henson,2,,,made,,Jump Shot,20,190,68,6.0,11.8,Henson 20' Jump Shot (2 PTS) (Antetokounmpo 1 AST)
