game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,Mason Plumlee,Zaza Pachulia,,,,,,,Zaza Pachulia,,Klay Thompson,,,,jump ball,,,,,,Jump Ball Pachulia vs. Plumlee: Tip to Thompson
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,0,2,00:11:46,00:00:14,00:00:14,7,GSW,shot,Draymond Green,,,,,,,,,Klay Thompson,2,,,made,,Jump Shot,21,160,133,41.0,75.7,Thompson 21' Jump Shot (2 PTS) (Green 1 AST)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,3,2,00:11:30,00:00:30,00:00:16,9,DEN,shot,Nikola Jokic,,,,,,,,,Gary Harris,3,,,made,,Jump Shot,26,27,256,22.3,30.6,Harris 26' 3PT Jump Shot (3 PTS) (Jokic 1 AST)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,3,5,00:11:20,00:00:40,00:00:10,11,GSW,shot,Zaza Pachulia,,,,,,,,,Draymond Green,3,,,made,,Pullup Jump Shot,27,-19,272,23.1,61.8,Green 27' 3PT Pullup Jump Shot (3 PTS) (Pachulia 1 AST)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,3,5,00:10:56,00:01:04,00:00:24,13,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,Turnaround Hook Shot,10,-46,92,29.6,14.2,MISS Jokic 10' Turnaround Hook Shot
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,3,5,00:10:53,00:01:07,00:00:03,14,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,3,5,00:10:49,00:01:11,00:00:04,15,GSW,miss,,,,,,,,,,Zaza Pachulia,0,,,missed,,Layup,2,8,13,25.8,87.7,MISS Pachulia 2' Layup
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,3,5,00:10:47,00:01:13,00:00:02,16,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,6,5,00:10:42,00:01:18,00:00:05,17,DEN,shot,Wilson Chandler,,,,,,,,,Nikola Jokic,3,,,made,,Jump Shot,26,-134,218,38.4,26.8,Jokic 26' 3PT Jump Shot (3 PTS) (Chandler 1 AST)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,6,7,00:10:24,00:01:36,00:00:18,19,GSW,shot,Draymond Green,,,,,,,,,Klay Thompson,2,,,made,,Jump Shot,19,-117,153,13.3,73.7,Thompson 19' Jump Shot (4 PTS) (Green 2 AST)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,8,7,00:10:09,00:01:51,00:00:15,21,DEN,shot,Gary Harris,,,,,,,,,Nikola Jokic,2,,,made,,Hook Shot,6,1,63,24.9,11.3,Jokic 6' Hook Shot (5 PTS) (Harris 1 AST)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,8,9,00:09:56,00:02:04,00:00:13,23,GSW,shot,Stephen Curry,,,,,,,,,Draymond Green,2,,,made,,Floating Jump Shot,11,-17,106,23.3,78.4,Green 11' Floating Jump Shot (5 PTS) (Curry 1 AST)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,8,9,00:09:37,00:02:23,00:00:19,26,DEN,miss,,,,,,,,,,Nikola Jokic,0,,,missed,,Jump Shot,18,139,120,11.1,17.0,MISS Jokic 18' Jump Shot
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,8,9,00:09:34,00:02:26,00:00:03,27,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,rebound defensive,,,,,,Curry REBOUND (Off:0 Def:1)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,8,9,00:09:34,00:02:26,00:00:00,28,DEN,foul,,,,,,,,Stephen Curry,,Nikola Jokic,,,p.foul,,,p.foul,,,,,,Jokic P.FOUL (P1.T1) (M.Kogut)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,8,9,00:09:25,00:02:35,00:00:09,30,GSW,miss,,,,,,,,,,Andre Iguodala,0,,,missed,,Jump Shot,25,211,142,46.1,74.8,MISS Iguodala 25' 3PT Jump Shot
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,8,9,00:09:20,00:02:40,00:00:05,31,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,rebound offensive,,,,,,Curry REBOUND (Off:1 Def:1)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,8,11,00:09:18,00:02:42,00:00:02,32,GSW,shot,Draymond Green,,,,,,,,,Zaza Pachulia,2,,,made,,Layup,2,5,15,25.5,87.5,Pachulia 2' Layup (2 PTS) (Green 3 AST)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,8,11,00:08:57,00:03:03,00:00:21,34,DEN,miss,,,,,,,,,,Jamal Murray,0,,,missed,,unknown,10,-90,52,34.0,10.2,MISS Murray 10' Driving Floating Jump Shot
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,8,11,00:08:55,00:03:05,00:00:02,35,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound offensive,,,,,,Jokic REBOUND (Off:1 Def:1)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,10,11,00:08:55,00:03:05,00:00:00,36,DEN,shot,,,,,,,,,,Nikola Jokic,2,,,made,,unknown,1,0,-6,25.0,4.4,Jokic 1' Tip Layup Shot (7 PTS)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,10,14,00:08:41,00:03:19,00:00:14,37,GSW,shot,Draymond Green,,,,,,,,,Andre Iguodala,3,,,made,,Jump Shot,23,225,64,47.5,82.6,Iguodala  3PT Jump Shot (3 PTS) (Green 4 AST)
"=""0021700597""",2017-2018 Regular Season,2018-01-08,Wilson Chandler,Nikola Jokic,Mason Plumlee,Gary Harris,Jamal Murray,Andre Iguodala,Draymond Green,Zaza Pachulia,Klay Thompson,Stephen Curry,1,10,14,00:08:40,00:03:20,00:00:01,39,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Nuggets Timeout: Regular (Reg.1 Short 0)
