game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021700601""",2017-2018 Regular Season,2018-01-09,Mario Hezonja,Jonathon Simmons,Bismack Biyombo,Evan Fournier,Elfrid Payton,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021700601""",2017-2018 Regular Season,2018-01-09,Mario Hezonja,Jonathon Simmons,Bismack Biyombo,Evan Fournier,Elfrid Payton,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:12:00,00:00:00,00:00:00,4,ORL,jump ball,,Bismack Biyombo,Maxi Kleber,,,,,,,Maxi Kleber,,Elfrid Payton,,,,jump ball,,,,,,Jump Ball Kleber vs. Biyombo: Tip to Payton
"=""0021700601""",2017-2018 Regular Season,2018-01-09,Mario Hezonja,Jonathon Simmons,Bismack Biyombo,Evan Fournier,Elfrid Payton,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:41,00:00:19,00:00:19,7,ORL,miss,,,,,,,,,,Evan Fournier,0,,,missed,,Jump Shot,25,-155,197,40.5,24.7,MISS Fournier 25' 3PT Jump Shot
"=""0021700601""",2017-2018 Regular Season,2018-01-09,Mario Hezonja,Jonathon Simmons,Bismack Biyombo,Evan Fournier,Elfrid Payton,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,0,00:11:38,00:00:22,00:00:03,8,DAL,rebound,,,,,,,,,,Harrison Barnes,,,,,,rebound defensive,,,,,,Barnes REBOUND (Off:0 Def:1)
"=""0021700601""",2017-2018 Regular Season,2018-01-09,Mario Hezonja,Jonathon Simmons,Bismack Biyombo,Evan Fournier,Elfrid Payton,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:11:24,00:00:36,00:00:14,9,DAL,shot,Wesley Matthews,,,,,,,,,Maxi Kleber,2,,,made,,unknown,1,6,8,25.6,88.2,Kleber 1' Cutting Layup Shot (2 PTS) (Matthews 1 AST)
"=""0021700601""",2017-2018 Regular Season,2018-01-09,Mario Hezonja,Jonathon Simmons,Bismack Biyombo,Evan Fournier,Elfrid Payton,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:11:09,00:00:51,00:00:15,11,DAL,foul,,,,,,,,Elfrid Payton,,Maxi Kleber,,,s.foul,,,s.foul,,,,,,Kleber S.FOUL (P1.T1) (L.Richardson)
"=""0021700601""",2017-2018 Regular Season,2018-01-09,Mario Hezonja,Jonathon Simmons,Bismack Biyombo,Evan Fournier,Elfrid Payton,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:11:09,00:00:51,00:00:00,13,ORL,free throw,,,,,,,1,,2,Elfrid Payton,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Payton Free Throw 1 of 2
"=""0021700601""",2017-2018 Regular Season,2018-01-09,Mario Hezonja,Jonathon Simmons,Bismack Biyombo,Evan Fournier,Elfrid Payton,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:11:09,00:00:51,00:00:00,14,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Magic Rebound
"=""0021700601""",2017-2018 Regular Season,2018-01-09,Mario Hezonja,Jonathon Simmons,Bismack Biyombo,Evan Fournier,Elfrid Payton,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:11:09,00:00:51,00:00:00,15,ORL,free throw,,,,,,,2,,2,Elfrid Payton,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Payton Free Throw 2 of 2
"=""0021700601""",2017-2018 Regular Season,2018-01-09,Mario Hezonja,Jonathon Simmons,Bismack Biyombo,Evan Fournier,Elfrid Payton,Harrison Barnes,Maxi Kleber,Dirk Nowitzki,Wesley Matthews,Dennis Smith Jr.,1,0,2,00:11:07,00:00:53,00:00:02,16,DAL,rebound,,,,,,,,,,Maxi Kleber,,,,,,rebound defensive,,,,,,Kleber REBOUND (Off:0 Def:1)
